title,link,image_url,tags
"سوريا.. القبض على 3 من ""مرتكبي مجزرة التضامن""",https://www.alhurra.com/syria/2025/02/17/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D9%82%D8%A8%D8%B6-3-%D9%85%D8%B1%D8%AA%D9%83%D8%A8%D9%8A-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%A7%D9%84%D8%AA%D8%B6%D8%A7%D9%85%D9%86,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",سوريا
حاملا ملفي غزة وأوكرانيا.. روبيو يصل إلى السعودية,https://www.alhurra.com/arabic-and-international/2025/02/17/%D8%AD%D8%A7%D9%85%D9%84%D8%A7-%D9%85%D9%84%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9-%D9%88%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D8%B1%D9%88%D8%A8%D9%8A%D9%88-%D9%8A%D8%B5%D9%84-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",عربي ودولي
القمة العربية الطارئة في مصر.. تأجيل محتمل وغزة في قلب الأجندة,https://www.alhurra.com/egypt/2025/02/17/%D8%A7%D9%84%D9%82%D9%85%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B7%D8%A7%D8%B1%D8%A6%D8%A9-%D9%81%D9%8A-%D9%85%D8%B5%D8%B1-%D8%AA%D8%A3%D8%AC%D9%8A%D9%84-%D9%85%D8%AD%D8%AA%D9%85%D9%84-%D9%88%D8%BA%D8%B2%D8%A9-%D9%81%D9%8A-%D9%82%D9%84%D8%A8-%D8%A7%D9%84%D8%A3%D8%AC%D9%86%D8%AF%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",مصر
كواليس القرار.. غوارديولا يكشف أسباب التعاقد مع المصري مرموش,https://www.alhurra.com/sport/2025/02/17/%D9%83%D9%88%D8%A7%D9%84%D9%8A%D8%B3-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D8%B1-%D8%BA%D9%88%D8%A7%D8%B1%D8%AF%D9%8A%D9%88%D9%84%D8%A7-%D9%8A%D9%83%D8%B4%D9%81-%D8%A3%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%82%D8%AF-%D9%85%D8%B9-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D9%85%D8%B1%D9%85%D9%88%D8%B4,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",رياضة
"""المشاركون والتوقيت"".. ""تفاصيل"" عن الاجتماع الأميركي الروسي بالسعودية",https://www.alhurra.com/arabic-and-international/2025/02/17/%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%83%D9%88%D9%86-%D9%88%D8%A7%D9%84%D8%AA%D9%88%D9%82%D9%8A%D8%AA-%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9-%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A-%D8%A8%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",عربي ودولي
المأساة تتكرر.. قتلى وجرحى بانهيار عقار في مصر,https://www.alhurra.com/egypt/2025/02/17/%D8%A7%D9%84%D9%85%D8%A3%D8%B3%D8%A7%D8%A9-%D8%AA%D8%AA%D9%83%D8%B1%D8%B1-%D9%82%D8%AA%D9%84%D9%89-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D8%A8%D8%A7%D9%86%D9%87%D9%8A%D8%A7%D8%B1-%D8%B9%D9%82%D8%A7%D8%B1-%D9%81%D9%8A-%D9%85%D8%B5%D8%B1,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",مصر
"""مخاوف"" على صحة الأميركيين بسبب خفض التمويل ""غير المباشر""",https://www.alhurra.com/top-news/2025/02/17/%D9%85%D8%AE%D8%A7%D9%88%D9%81-%D8%B5%D8%AD%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D9%8A%D9%86-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%AE%D9%81%D8%B6-%D8%A7%D9%84%D8%AA%D9%85%D9%88%D9%8A%D9%84-%D8%BA%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D8%B4%D8%B1,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار- الرئيسية
العثور على ممثلة كورية معروفة ميتة في منزلها,https://www.alhurra.com/varieties/2025/02/17/%D8%A7%D9%84%D8%B9%D8%AB%D9%88%D8%B1-%D9%85%D9%85%D8%AB%D9%84%D8%A9-%D9%83%D9%88%D8%B1%D9%8A%D8%A9-%D9%85%D8%B9%D8%B1%D9%88%D9%81%D8%A9-%D9%85%D9%8A%D8%AA%D8%A9-%D9%81%D9%8A-%D9%85%D9%86%D8%B2%D9%84%D9%87%D8%A7,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",منوعات
القوات الروسية تكثف هجماتها على شرق أوكرانيا,https://www.alhurra.com/top-news/2025/02/17/%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A%D8%A9-%D8%AA%D9%83%D8%AB%D9%81-%D9%87%D8%AC%D9%85%D8%A7%D8%AA%D9%87%D8%A7-%D8%B4%D8%B1%D9%82-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار- الرئيسية
أسعار النفط تواصل التراجع وسط توقعات باتفاق سلام بين موسكو وكييف,https://www.alhurra.com/top-news/2025/02/17/%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D8%A7%D9%84%D9%86%D9%81%D8%B7-%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%AC%D8%B9-%D8%AA%D9%88%D9%82%D8%B9%D8%A7%D8%AA-%D8%A8%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%B3%D9%84%D8%A7%D9%85-%D8%A8%D9%8A%D9%86-%D9%85%D9%88%D8%B3%D9%83%D9%88-%D9%88%D9%83%D9%8A%D9%8A%D9%81,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار- الرئيسية
"سول تعلق تطبيق ""ديب سيك"" الصيني بسبب انتهاك قواعد الخصوصية",https://www.alhurra.com/top-news/2025/02/17/%D8%B3%D9%88%D9%84-%D8%AA%D8%B9%D9%84%D9%82-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AF%D9%8A%D8%A8-%D8%B3%D9%8A%D9%83-%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%A7%D9%86%D8%AA%D9%87%D8%A7%D9%83-%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D8%A7%D9%84%D8%AE%D8%B5%D9%88%D8%B5%D9%8A%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار- الرئيسية
