source,author?,title,content,description?,url,image_url?,published_at,tags
France 24,No Author,"مدير المرصد السوري لحقوق الإنسان لفرانس24: زيارة الشرع إلى اللاذقية وطرطوس ""رسالة طمأنة إلى الطائفة العلوية""",No Content,لاقت زيارة الرئيس السوري الانتقالي أحمد الشرع الأحد إلى محافظتي اللاذقية وطرطوس الساحليتين استقبالا شعبيا لافتا، إذ تجمع آلاف الأشخاص أثناء مرور موكب الزعيم السوري الجديد وهتفوا بشعارات مرحبة بقدومه. وخلال حلوله بالمنطقتين اللتين كانتا معقلا للرئيس المخلوع بشار الأسد، التقى الشرع عددا من الوجهاء والأعيان، ما جعل مراقبين يقدرون أن ذلك يعكس استعداد القوى الحية والمجتمعية بما فيها تلك المنتمية إلى الطائفة العلوية للانخراط في التحول الجاري بسوريا. في مقابلة مع فرانس24، اعتبر مدير المرصد السوري لحقوق الإنسان، رامي عبد الرحمن أن الخطوة تعد رسالة طمأنة قوية إلى الطائفة العلوية، وتعبيرا عن الرغبة في تحقيق السلم الأهلي والحيلولة دون أي تدخل خارجي.,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250217-%D9%85%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%B1%D8%B5%D8%AF-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D9%84%D8%AD%D9%82%D9%88%D9%82-%D8%A7%D9%84%D8%A5%D9%86%D8%B3%D8%A7%D9%86-%D9%84%D9%81%D8%B1%D8%A7%D9%86%D8%B324-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%B4%D8%B1%D8%B9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D9%84%D8%A7%D8%B0%D9%82%D9%8A%D8%A9-%D9%88%D8%B7%D8%B1%D8%B7%D9%88%D8%B3-%D8%B1%D8%B3%D8%A7%D9%84%D8%A9-%D8%B7%D9%85%D8%A3%D9%86%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D9%81%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D9%88%D9%8A%D8%A9,https://s.france24.com/media/display/e72d61b4-ed3c-11ef-b6d5-005056bfb2b6/w:1280/p:16x9/000_36XZ7CZ.jpg,No Published Date,"حوار


                                    الشرق الأوسط"
France 24,No Author,في أوكرانيا... مدنيون متطوعون يطاردون الطائرات المسيرة,No Content,No Description,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20250217-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D9%85%D8%AF%D9%86%D9%8A%D9%88%D9%86-%D9%85%D8%AA%D8%B7%D9%88%D8%B9%D9%88%D9%86-%D9%8A%D8%B7%D8%A7%D8%B1%D8%AF%D9%88%D9%86-%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B3%D9%8A%D8%B1%D8%A9,https://s.france24.com/media/display/a1a18f58-ea4e-11ef-840d-005056bfb2b6/w:720/p:16x9/02-7.png,No Published Date,"ريبورتاج


                                    أوروبا"
France 24,No Author,"الحكومة اللبنانية تؤكد في بيانها الوزاري... ""احتكار"" الدولة لحمل السلاح و""تحرير"" جميع الأراضي",No Content,No Description,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250217-%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A%D8%A9-%D8%AA%D8%A4%D9%83%D8%AF-%D9%81%D9%8A-%D8%A8%D9%8A%D8%A7%D9%86%D9%87%D8%A7-%D8%A7%D9%84%D9%88%D8%B2%D8%A7%D8%B1%D9%8A-%D8%A7%D8%AD%D8%AA%D9%83%D8%A7%D8%B1-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A9-%D9%84%D8%AD%D9%85%D9%84-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D8%AD-%D9%88-%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A,https://s.france24.com/media/display/defc3aaa-d258-11ef-bd10-005056a97e36/w:720/p:16x9/capture-184285036367862c7cdf63c3.38304257.jpg,No Published Date,الشرق الأوسط
France 24,No Author,رشيدة داتي أول وزيرة فرنسية تزور الصحراء الغربية دعما للسيادة المغربية على المنطقة,No Content,No Description,https://www.france24.com/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%8A%D8%A9/20250217-%D8%B1%D8%B4%D9%8A%D8%AF%D8%A9-%D8%AF%D8%A7%D8%AA%D9%8A-%D8%A3%D9%88%D9%84-%D9%88%D8%B2%D9%8A%D8%B1%D8%A9-%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D8%A9-%D8%AA%D8%B2%D9%88%D8%B1-%D8%A7%D9%84%D8%B5%D8%AD%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AF%D8%B9%D9%85%D8%A7-%D9%84%D9%84%D8%B3%D9%8A%D8%A7%D8%AF%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D9%86%D8%B7%D9%82%D8%A9,https://s.france24.com/media/display/bf1b3168-ed52-11ef-8648-005056a90284/w:720/p:16x9/f1b1367056dde039d8d03c38994401ae25dabd7e.jpg,No Published Date,الأخبار المغاربية
France 24,No Author,"البابا فرنسيس يعاني من ""حالة سريرية معقدة"" تستدعي تمديد فترة إقامته بالمستشفى",No Content,No Description,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20250217-%D8%A7%D9%84%D8%A8%D8%A7%D8%A8%D8%A7-%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D8%B3-%D9%8A%D8%B9%D8%A7%D9%86%D9%8A-%D9%85%D9%86-%D8%AD%D8%A7%D9%84%D8%A9-%D8%B3%D8%B1%D9%8A%D8%B1%D9%8A%D8%A9-%D9%85%D8%B9%D9%82%D8%AF%D8%A9-%D8%AA%D8%B3%D8%AA%D8%AF%D8%B9%D9%8A-%D8%AA%D9%85%D8%AF%D9%8A%D8%AF-%D9%81%D8%AA%D8%B1%D8%A9-%D8%A5%D9%82%D8%A7%D9%85%D8%AA%D9%87-%D8%A8%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89,https://s.france24.com/media/display/2d2d45c2-ecc4-11ef-aa1d-005056bf30b7/w:720/p:16x9/000_36WW4T9.jpg,No Published Date,أوروبا
France 24,No Author,"المغني الفرنسي إنريكو ماسياس: ""أحلم بالعودة إلى الجزائر قبل أن أغادر الحياة""",No Content,No Description,https://www.france24.com/ar/%D8%AB%D9%82%D8%A7%D9%81%D8%A9/20250217-%D8%A7%D9%84%D9%85%D8%BA%D9%86%D9%8A-%D8%A5%D9%86%D8%B1%D9%8A%D9%83%D9%88-%D9%85%D8%A7%D8%B3%D9%8A%D8%A7%D8%B3-%D8%A3%D8%B1%D9%8A%D8%AF-%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D9%82%D8%A8%D9%84-%D8%A7%D9%84%D9%85%D9%88%D8%AA,https://s.france24.com/media/display/ae17b1a6-ed17-11ef-9b56-005056a90284/w:720/p:16x9/15022019v_enrico_macias_maroc-1.jpg,No Published Date,ثقافة
France 24,No Author,إرجاء القمة العربية المصغرة في الرياض بشأن غزة إلى الجمعة,No Content,No Description,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250217-%D8%BA%D8%B2%D8%A9-%D8%AD%D9%85%D8%A7%D8%B3-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%82%D9%85%D8%A9-%D8%A5%D8%B1%D8%AC%D8%A7%D8%A1-%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%85%D8%B5%D8%BA%D8%B1%D8%A9-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6-%D8%AE%D8%B7%D8%A9-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8,https://s.france24.com/media/display/75768016-e0a1-11ef-8265-005056bf30b7/w:720/p:16x9/000_36WT8ZC.jpg,No Published Date,الشرق الأوسط
France 24,No Author,الحكومة الإسرائيلية المصغرة تناقش المرحلة الثانية من اتفاق الهدنة في غزة وروبيو في السعودية,No Content,"تبحث الحكومة الإسرائيلية المصغرة الإثنين المرحلة الثانية من اتفاق الهدنة في غزة. وفي هذا الإطار، قال مكتب بنيامين نتانياهو إن مجلس الوزراء الأمني سيعقد اجتماعا الإثنين لمناقشة المرحلة الثانية، وصرح ""إن رئيس الوزراء سيرسل أيضا مفاوضين إلى القاهرة لمناقشة مواصلة تنفيذ المرحلة الأولى"". بالتزامن، وصل وزير الخارجية الأمريكي ماركو روبيو إلى السعودية قادما من إسرائيل للدفاع عن اقتراح دونالد ترامب السيطرة على قطاع غزة.",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250217-%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D8%BA%D8%B1%D8%A9-%D8%AA%D9%86%D8%A7%D9%82%D8%B4-%D8%A7%D9%84%D9%85%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D9%85%D9%86-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%A7%D9%84%D9%87%D8%AF%D9%86%D8%A9-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9-%D9%88%D8%B1%D9%88%D8%A8%D9%8A%D9%88-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,https://s.france24.com/media/display/dfbfa514-a75a-11ee-8927-005056bfb2b6/w:1280/p:16x9/000_348W9AH.jpg,No Published Date,No Tags
France 24,No Author,النزاع الإسرائيلي - الفلسطيني: مبادرات السلام في الشرق الأوسط منذ حرب 1967,No Content,No Description,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250214-%D8%A7%D9%84%D9%86%D8%B2%D8%A7%D8%B9-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A-%D9%85%D8%A8%D8%A7%D8%AF%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7-%D9%85%D9%86%D8%B0-%D8%AD%D8%B1%D8%A8-1967,https://s.france24.com/media/display/ef917ebe-e902-11ef-a5de-005056bfb2b6/w:720/p:16x9/AP25042741864295.jpg,No Published Date,الشرق الأوسط
France 24,No Author,إسرائيل تصر على منع دخول المنازل المتنقلة إلى غزة رغم النزوح والدمار,No Content,No Description,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250217-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AA%D8%B5%D8%B1-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B9-%D8%AF%D8%AE%D9%88%D9%84-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B2%D9%84-%D8%A7%D9%84%D9%85%D8%AA%D9%86%D9%82%D9%84%D8%A9-%D8%A5%D9%84%D9%89-%D8%BA%D8%B2%D8%A9-%D8%B1%D8%BA%D9%85-%D8%A7%D9%84%D9%86%D8%B2%D9%88%D8%AD-%D9%88%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D8%B1,https://s.france24.com/media/display/dfaf0d5c-e52b-11ef-824a-005056bf30b7/w:720/p:16x9/000_36XA8VT.jpg,No Published Date,الشرق الأوسط
