source,title,content,description,url,published_at,tags
France 24,غزة: ما الصدمة النفسية التي تسببها الحرب؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B6%D9%8A%D9%81-%D8%A7%D9%84%D9%8A%D9%88%D9%85/20240404-%D8%BA%D8%B2%D8%A9-%D9%85%D8%A7-%D8%A7%D9%84%D8%B5%D8%AF%D9%85%D8%A9-%D8%A7%D9%84%D9%86%D9%81%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D9%8A-%D8%AA%D8%B3%D8%A8%D8%A8%D9%87%D8%A7-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8,"
                04 أبريل 2024
            ",
France 24,كأس ألمانيا: ليفركوزن يسحق دوسلدورف 4-صفر ويلحق بكايزرسلاوترن إلى النهائي,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240404-%D9%83%D8%A3%D8%B3-%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7-%D9%84%D9%8A%D9%81%D8%B1%D9%83%D9%88%D8%B2%D9%86-%D9%8A%D8%B3%D8%AD%D9%82-%D8%AF%D9%88%D8%B3%D9%84%D8%AF%D9%88%D8%B1%D9%81-4-%D8%B5%D9%81%D8%B1-%D9%88%D9%8A%D9%84%D8%AD%D9%82-%D8%A8%D9%83%D8%A7%D9%8A%D8%B2%D8%B1%D8%B3%D9%84%D8%A7%D9%88%D8%AA%D8%B1%D9%86-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D9%86%D9%87%D8%A7%D8%A6%D9%8A,"
                04 أبريل 2024
            ",
France 24,"الصحة العقلية: كيف يصمد الجيل ""زد"" أمام الاكتئاب والأزمات النفسية؟",,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%81%D9%8A-%D9%81%D9%84%D9%83-%D8%A7%D9%84%D9%85%D9%85%D9%86%D9%88%D8%B9/20240404-%D9%81%D9%8A-%D9%81%D9%8A-%D9%81%D9%84%D9%83,"
                04 أبريل 2024
            ",
France 24,ذكاء اصطناعي يرصد الدبابير الآسيوية ويبلغ عنها قبل أن تجتاح المناطق التي تتوجه نحوها!,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%AA%D9%83%D9%86%D9%88/20240404-%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%8A%D8%B1%D8%B5%D8%AF-%D8%A7%D9%84%D8%AF%D8%A8%D8%A7%D8%A8%D9%8A%D8%B1-%D8%A7%D9%84%D8%A3%D8%B3%D9%8A%D9%88%D9%8A%D8%A9-%D9%88%D9%8A%D8%A8%D9%84%D8%BA-%D8%B9%D9%86%D9%87%D8%A7-%D9%82%D8%A8%D9%84-%D8%A3%D9%86-%D8%AA%D8%AC%D8%AA%D8%A7%D8%AD-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B7%D9%82-%D8%A7%D9%84%D8%AA%D9%8A-%D8%AA%D8%AA%D9%88%D8%AC%D9%87-%D9%86%D8%AD%D9%88%D9%87%D8%A7,"
                04 أبريل 2024
            ",
France 24,موسكو وباريس... الاتصال الهاتفي بين وزيري دفاع البلدين يؤجج التوتر بشأن الحرب في أوكرانيا,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240404-%D9%85%D9%88%D8%B3%D9%83%D9%88-%D9%88%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3-%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84-%D8%A7%D9%84%D9%87%D8%A7%D8%AA%D9%81%D9%8A-%D8%A8%D9%8A%D9%86-%D9%88%D8%B2%D9%8A%D8%B1%D9%8A-%D8%AF%D9%81%D8%A7%D8%B9-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D9%86-%D9%8A%D8%A4%D8%AC%D8%AC-%D8%A7%D9%84%D8%AA%D9%88%D8%AA%D8%B1-%D8%A8%D8%B4%D8%A3%D9%86-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,"
                04 أبريل 2024
            ",
France 24,ساحل العاج.. تبييض وتفتيح لون البشرة بأي ثمن!,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%81%D9%8A-%D8%B9%D9%85%D9%82-%D8%A7%D9%84%D8%AD%D8%AF%D8%AB/20240404-%D8%B3%D8%A7%D8%AD%D9%84-%D8%A7%D9%84%D8%B9%D8%A7%D8%AC-%D8%AA%D8%A8%D9%8A%D9%8A%D8%B6-%D9%88%D8%AA%D9%81%D8%AA%D9%8A%D8%AD-%D9%84%D9%88%D9%86-%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D8%A9-%D8%A8%D8%A3%D9%8A-%D8%AB%D9%85%D9%86,"
                04 أبريل 2024
            ",
France 24,الناتو يحيي الذكرى الـ 75 لإنشائه في ظل تحديات أبرزها حرب أوكرانيا,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240404-%D8%A7%D9%84%D9%86%D8%A7%D8%AA%D9%88-%D9%8A%D8%AD%D8%AA%D9%81%D9%84-%D8%A8%D8%A7%D9%84%D8%B0%D9%83%D8%B1%D9%89-%D8%A7%D9%84%D9%80-70-%D9%84%D8%A5%D9%86%D8%B4%D8%A7%D8%A6%D9%87-%D9%81%D9%8A-%D8%B8%D9%84-%D8%AA%D8%AD%D8%AF%D9%8A%D8%A7%D8%AA-%D8%A3%D8%A8%D8%B1%D8%B2%D9%87%D8%A7-%D8%AD%D8%B1%D8%A8-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,"
                04 أبريل 2024
            ",
France 24,الرئيس السنغالي باسيرو فاي يحدد أولويات إدارته,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240404-%D9%81%D8%A7%D9%8A-%D9%8A%D8%AD%D8%AF%D8%AF-%D8%A3%D9%88%D9%84%D9%88%D9%8A%D8%A7%D8%AA-%D8%A5%D8%AF%D8%A7%D8%B1%D8%AA%D9%87-%D9%84%D9%84%D8%B3%D9%86%D8%BA%D8%A7%D9%84,"
                04 أبريل 2024
            ",
France 24,الضفة الغربية: الجيش الإسرائيلي يواصل الاقتحامات وجرف الطرقات وهدم المنازل,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240404-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%8A%D9%88%D8%A7%D8%B5%D9%84-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%AD%D8%A7%D9%85%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%A7%D8%B9%D8%AA%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D9%88%D8%AC%D8%B1%D9%81-%D8%A7%D9%84%D8%B7%D8%B1%D9%82%D8%A7%D8%AA,"
                04 أبريل 2024
            ",
France 24,غانتس يدعو لإجراء انتخابات مبكرة في إسرائيل,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240404-%D9%88%D8%B2%D9%8A%D8%B1-%D9%81%D9%8A-%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D9%8A%D8%AF%D8%B9%D9%88-%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D9%85%D8%A8%D9%83%D8%B1%D8%A9-%D9%88%D8%B3%D8%B7-%D8%AE%D9%84%D8%A7%D9%81%D8%A7%D8%AA-%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%AD%D8%B1%D8%A8-%D8%BA%D8%B2%D8%A9,"
                04 أبريل 2024
            ",
