source,title,content,description,url,published_at,tags
France 24,إسبانيا: المعارضة تتهم بيدرو سانشيز بالاستسلام للمغرب في قضية الجمارك بسبتة ومليلية,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250106-%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A%D8%A7-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B1%D8%B6%D8%A9-%D8%AA%D8%AA%D9%87%D9%85-%D8%B3%D8%A7%D9%86%D8%B4%D9%8A%D8%B2-%D8%A8%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%B3%D9%84%D8%A7%D9%85-%D9%84%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%81%D9%8A-%D9%82%D8%B6%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D8%B1%D9%83-%D8%A8%D8%B3%D8%A8%D8%AA%D8%A9-%D9%88%D9%85%D9%84%D9%8A%D9%84%D9%8A%D8%A9,"
                06 يناير 2025
            ",
France 24,"""لن نموت، سنظل أحياء..."" فلسطينيو مخيم اليرموك بدمشق يحلمون بحياة جديدة بعد سقوط نظام الأسد",,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250106-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%84%D9%86-%D9%86%D9%85%D9%88%D8%AA-%D8%A3%D8%AD%D9%8A%D8%A7%D8%A1-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%88-%D9%85%D8%AE%D9%8A%D9%85-%D8%A7%D9%84%D9%8A%D8%B1%D9%85%D9%88%D9%83-%D8%A8%D8%AF%D9%85%D8%B4%D9%82-%D9%8A%D8%AD%D9%84%D9%85%D9%88%D9%86-%D8%A8%D8%AD%D9%8A%D8%A7%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%A8%D8%B9%D8%AF-%D8%B3%D9%82%D9%88%D8%B7-%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D8%A3%D8%B3%D8%AF,"
                06 يناير 2025
            ",
France 24,إسرائيل تؤكد استئناف المفاوضات مع حماس في قطر وكتائب القسام تنشر فيديو لرهينة في غزة,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250106-%D8%AA%D8%AC%D8%AF%D8%AF-%D8%A7%D9%84%D9%85%D9%81%D8%A7%D9%88%D8%B6%D8%A7%D8%AA-%D8%A8%D8%B4%D8%A3%D9%86-%D8%A7%D9%84%D8%B1%D9%87%D8%A7%D8%A6%D9%86,"
                06 يناير 2025
            ",
France 24,تونس: أزمة غاز تثير استياء المواطنين,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%88%D9%8A%D8%A8/20250106-%D8%AA%D9%88%D9%86%D8%B3-%D8%A3%D8%B2%D9%85%D8%A9-%D8%BA%D8%A7%D8%B2-%D8%AA%D8%AB%D9%8A%D8%B1-%D8%A5%D8%B3%D8%AA%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A%D9%86,"
                06 يناير 2025
            ",
France 24,دوري أبطال أفريقيا: الهلال السوداني يتأهل إلى ربع النهائي وبيراميدز يقلب الطاولة على الترجي,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20250105-%D8%AF%D9%88%D8%B1%D9%8A-%D8%A3%D8%A8%D8%B7%D8%A7%D9%84-%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7-%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84-%D8%A8%D9%8A%D8%B1%D8%A7%D9%85%D9%8A%D8%AF%D8%B2-%D9%85%D9%88%D9%84%D9%88%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1,"
                06 يناير 2025
            ",
France 24,"ردود الفعل في الجزائر على قول الرئيس الفرنسي إن الجزائر""أساءت لسمعتها""",,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250106-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%A3%D8%B3%D8%A7%D8%A1%D8%AA-%D9%84%D9%85%D8%B3%D8%B9%D8%AA%D9%87%D8%A7-%D8%A8%D8%B1%D9%81%D8%B6%D9%87%D8%A7-%D8%A7%D9%84%D8%A5%D9%81%D8%B1%D8%A7%D8%AC-%D8%B9%D9%86-%D8%B5%D9%86%D8%B5%D8%A7%D9%84,"
                06 يناير 2025
            ",
France 24,دوري أبطال أفريقيا: الهلال السوداني أول المتأهلين وتألق الأندية المغربية والجزائرية,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-24/20250106-%D8%A7%D9%84%D9%87%D9%84%D8%A7%D9%84-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D8%A3%D9%88%D9%84-%D8%A7%D9%84%D9%85%D8%AA%D8%A3%D9%87%D9%84%D9%8A%D9%86-%D9%88%D8%AA%D8%A3%D9%84%D9%82-%D8%A7%D9%84%D8%A3%D9%86%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A%D8%A9,"
                06 يناير 2025
            ",
France 24,فرنسا: زعيمة اليمين المتطرف مارين لوبان تزور جزيرة مايوت بعد أسابيع من الإعصار المدمر,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20250106-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%B2%D8%B9%D9%8A%D9%85%D8%A9-%D8%A7%D9%84%D9%8A%D9%85%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D8%AA%D8%B7%D8%B1%D9%81-%D9%85%D8%A7%D8%B1%D9%8A%D9%86-%D9%84%D9%88%D8%A8%D8%A7%D9%86-%D8%AA%D8%B2%D9%88%D8%B1-%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9-%D9%85%D8%A7%D9%8A%D9%88%D8%AA-%D8%A8%D8%B9%D8%AF-%D8%A3%D8%B3%D8%A7%D8%A8%D9%8A%D8%B9-%D9%85%D9%86-%D8%A7%D9%84%D8%A5%D8%B9%D8%B5%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%AF%D9%85%D8%B1,"
                06 يناير 2025
            ",
France 24,في قرار مفاجئ... موريتانيا تفرض تأشيرة إلكترونية على الأجانب,,,https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250106-%D9%81%D9%8A-%D9%82%D8%B1%D8%A7%D8%B1-%D9%85%D9%81%D8%A7%D8%AC%D8%A6-%D9%85%D9%88%D8%B1%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D8%A7-%D8%AA%D9%81%D8%B1%D8%B6-%D8%AA%D8%A3%D8%B4%D9%8A%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D8%AC%D8%A7%D9%86%D8%A8,"
                06 يناير 2025
            ",
France 24,فرنسا تعبر عن شكوك بشأن التزام الجزائر إحياء العلاقات الثنائية,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250106-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%AA%D8%B9%D8%A8%D8%B1-%D8%B9%D9%86-%D8%B4%D9%83%D9%88%D9%83-%D8%A8%D8%B4%D8%A3%D9%86-%D8%A7%D9%84%D8%AA%D8%B2%D8%A7%D9%85-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%A5%D8%AD%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D8%AB%D9%86%D8%A7%D8%A6%D9%8A%D8%A9,"
                06 يناير 2025
            ",
