source,title,content,description,url,published_at,tags
France 24,عدا إسرائيل والمجر... انتقاد عالمي واسع لقرار ترامب فرض عقوبات على المحكمة الجنائية الدولية,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250207-%D8%B1%D8%AF%D9%88%D8%AF-%D9%81%D8%B9%D9%84-%D9%85%D8%AA%D8%A8%D8%A7%D9%8A%D9%86%D8%A9-%D8%A5%D8%B2%D8%A7%D8%A1-%D9%82%D8%B1%D8%A7%D8%B1-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%81%D8%B1%D8%B6-%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%AD%D9%83%D9%85%D8%A9-%D8%A7%D9%84%D8%AC%D9%86%D8%A7%D8%A6%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9,"
                07 فبراير 2025
            ",
France 24,الولايات المتحدة تأمر بوقف عشرات المنح المقدمة لبرنامج الأغذية العالمي,,,https://www.france24.com/ar/%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7/20250207-%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%AA%D8%A3%D9%85%D8%B1-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A7%D9%84%D8%A3%D8%BA%D8%B0%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D8%A8%D9%88%D9%82%D9%81-%D8%B9%D8%B4%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%86%D8%AD-%D8%A7%D9%84%D8%AA%D9%8A-%D8%AA%D9%85%D9%88%D9%84%D9%87%D8%A7,"
                07 فبراير 2025
            ",
France 24,الطيران الإسرائيلي يشن غارات على جنوب لبنان وشرقه رغم اتفاق وقف إطلاق النار,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250206-%D8%A7%D9%84%D8%B7%D9%8A%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%8A%D8%B4%D9%86-%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%AC%D9%86%D9%88%D8%A8-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D9%88%D8%B4%D8%B1%D9%82%D9%87-%D8%B1%D8%BA%D9%85-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D9%88%D9%82%D9%81-%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D8%A7%D8%B1,"
                07 فبراير 2025
            ",
France 24,"صدمة قوية وزلازل... علماء يحذرون من تداعيات اصطدام الكويكب ""بينو"" بالأرض",,,https://www.france24.com/ar/%D9%85%D8%AC%D8%AA%D9%85%D8%B9/20250207-%D8%B5%D8%AF%D9%85%D8%A9-%D9%82%D9%88%D9%8A%D8%A9-%D9%88%D8%B2%D9%84%D8%A7%D8%B2%D9%84-%D8%B9%D9%84%D9%85%D8%A7%D8%A1-%D9%8A%D8%AD%D8%B0%D8%B1%D9%88%D9%86-%D9%85%D9%86-%D8%AA%D8%AF%D8%A7%D8%B9%D9%8A%D8%A7%D8%AA-%D8%A7%D8%B5%D8%B7%D8%AF%D8%A7%D9%85-%D8%A7%D9%84%D9%83%D9%88%D9%8A%D9%83%D8%A8-%D8%A8%D9%8A%D9%86%D9%88-%D8%A8%D8%A7%D9%84%D8%A3%D8%B1%D8%B6,"
                07 فبراير 2025
            ",
France 24,حزب الله في مواجهة الرغبة الأمريكية بإبعاده عن الساحة السياسية في لبنان,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250207-%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D9%84%D9%87-%D9%88%D8%A7%D9%84%D8%B1%D8%BA%D8%A8%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A5%D8%A8%D8%B9%D8%A7%D8%AF%D9%87-%D8%B9%D9%86-%D8%A7%D9%84%D8%B3%D8%A7%D8%AD%D8%A9-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D9%81%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86,"
                07 فبراير 2025
            ",
France 24,نائبة المبعوث الأمريكي إلى لبنان تعلن بصريح العبارة أنها لا تريد حزب الله في الحكومة,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250207-%D8%A7%D9%84%D9%85%D8%A8%D8%B9%D9%88%D8%AB%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D8%A5%D9%84%D9%89-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D8%AA%D8%B9%D9%84%D9%86-%D8%A8%D8%B5%D8%B1%D9%8A%D8%AD-%D8%A7%D9%84%D8%B9%D8%A8%D8%A7%D8%B1%D8%A9-%D8%A3%D9%86%D9%87%D8%A7-%D9%84%D8%A7%D8%AA%D8%B1%D9%8A%D8%AF-%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D9%84%D9%87-%D9%81%D9%8A-%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9,"
                07 فبراير 2025
            ",
France 24,ما أبعاد اتصال شولتس بالشرع؟ وما تفاصيل مؤتمر باريس حول سوريا؟,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250207-%D9%85%D8%A7-%D8%A3%D8%A8%D8%B9%D8%A7%D8%AF-%D8%A7%D8%AA%D8%B5%D8%A7%D9%84-%D8%B4%D9%88%D9%84%D8%AA%D8%B3-%D8%A8%D8%A7%D9%84%D8%B4%D8%B1%D8%B9-%D9%88%D9%85%D8%A7-%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3-%D8%AD%D9%88%D9%84-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,"
                07 فبراير 2025
            ",
France 24,كأس رابطة الأندية الإنجليزية: ليفربول يسحق توتنهام ويضرب موعدا مع نيوكاسل في النهائي,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250207-%D8%B5%D9%84%D8%A7%D8%AD-%D9%8A%D9%82%D9%88%D8%AF-%D9%84%D9%8A%D9%81%D8%B1%D8%A8%D9%88%D9%84-%D9%84%D9%84%D8%AA%D8%A3%D9%87%D9%84-%D9%84%D9%87%D8%A7%D8%A6%D9%8A-%D8%B1%D8%A7%D8%A8%D8%B7%D8%A9-%D8%A7%D9%84%D8%A3%D9%86%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D9%83%D9%84%D9%8A%D8%B2%D9%8A%D8%A9,"
                07 فبراير 2025
            ",
France 24,كأس ملك إسبانيا: برشلونة يمطر شباك فالنسيا بخماسية نظيفة ويتأهل لنصف النهائي,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20250207-%D9%83%D8%A3%D8%B3-%D9%85%D9%84%D9%83-%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A%D8%A7-%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9-%D9%8A%D9%85%D8%B7%D8%B1-%D8%B4%D8%A8%D8%A7%D9%83-%D9%81%D8%A7%D9%84%D9%86%D8%B3%D9%8A%D8%A7-%D8%A8%D8%AE%D9%85%D8%A7%D8%B3%D9%8A%D8%A9-%D9%86%D8%B8%D9%8A%D9%81%D8%A9-%D9%88%D9%8A%D8%AA%D8%A3%D9%87%D9%84-%D9%84%D9%86%D8%B5%D9%81-%D8%A7%D9%84%D9%86%D9%87%D8%A7%D8%A6%D9%8A,"
                07 فبراير 2025
            ",
France 24,الذكاء الاصطناعي: عدو جديد للمرأة؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%87%D9%8A-%D8%A7%D9%84%D8%AD%D8%AF%D8%AB/20250207-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D8%B9%D8%AF%D9%88-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%84%D9%84%D9%85%D8%B1%D8%A3%D8%A9,"
                07 فبراير 2025
            ",
France 24,"الكونغو الديمقراطية: حركة ""إم23"" تستأنف القتال والأمم المتحدة تدعو إلى ""وقف التصعيد""",,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250207-%D8%A5%D9%8523-%D8%AA%D8%B3%D8%AA%D8%A3%D9%86%D9%81-%D8%A7%D9%84%D9%82%D8%AA%D8%A7%D9%84-%D9%88%D8%AA%D8%AA%D8%AC%D9%87-%D8%B5%D9%88%D8%A8-%D8%AC%D9%86%D9%88%D8%A8-%D9%83%D9%8A%D9%81%D9%88,"
                07 فبراير 2025
            ",
