source,title,content,description,url,published_at,tags
France 24,فرنسا: يساريون يرفضون الانضمام إليها... أين وصلت مساعي ميشال بارنييه لتشكيل حكومة جديدة؟,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240914-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%8A%D8%B3%D8%A7%D8%B1%D9%8A%D9%88%D9%86-%D9%8A%D8%B1%D9%81%D8%B6%D9%88%D9%86-%D8%A7%D9%84%D8%A7%D9%86%D8%B6%D9%85%D8%A7%D9%85-%D8%A5%D9%84%D9%8A%D9%87%D8%A7-%D8%A3%D9%8A%D9%86-%D9%88%D8%B5%D9%84%D8%AA-%D9%85%D8%B3%D8%A7%D8%B9%D9%8A-%D9%85%D9%8A%D8%B4%D8%A7%D9%84-%D8%A8%D8%A7%D8%B1%D9%86%D9%8A%D9%8A%D9%87-%D9%84%D8%AA%D8%B4%D9%83%D9%8A%D9%84-%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,"
                14 سبتمبر 2024
            ",
France 24,إسبانيا: اجتماع وزاري بشأن حل الدولتين للصراع الإسرائيلي الفلسطيني,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240914-%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A%D8%A7-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9-%D9%88%D8%B2%D8%A7%D8%B1%D9%8A-%D8%A8%D8%B4%D8%A3%D9%86-%D8%AD%D9%84-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%AA%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%B5%D8%B1%D8%A7%D8%B9-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A,"
                14 سبتمبر 2024
            ",
France 24,"البرازيل: قاض في المحكمة العليا يأمر بتحويل ثلاثة ملايين دولار من حساب ""إكس"" و""ستارلينك"" إلى الدولة",,,https://www.france24.com/ar/%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7/20240914-%D8%A7%D9%84%D8%A8%D8%B1%D8%A7%D8%B2%D9%8A%D9%84-%D9%82%D8%A7%D8%B6-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%AD%D9%83%D9%85%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D9%8A%D8%A7-%D9%8A%D8%A3%D9%85%D8%B1-%D8%A8%D8%AA%D8%AD%D9%88%D9%8A%D9%84-%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D9%85%D9%84%D8%A7%D9%8A%D9%8A%D9%86-%D8%AF%D9%88%D9%84%D8%A7%D8%B1-%D9%85%D9%86-%D8%AD%D8%B3%D8%A7%D8%A8-%D8%A5%D9%83%D8%B3-%D9%88-%D8%B3%D8%AA%D8%A7%D8%B1%D9%84%D9%8A%D9%86%D9%83-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A9,"
                14 سبتمبر 2024
            ",
France 24,"حزب الله يؤكد أن اندلاع ""حرب شاملة"" سيؤدي إلى نزوح مئات الآلاف من سكان شمال إسرائيل",,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240914-%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D9%84%D9%87-%D9%8A%D8%A4%D9%83%D8%AF-%D8%A3%D9%86-%D8%A7%D9%86%D8%AF%D9%84%D8%A7%D8%B9-%D8%AD%D8%B1%D8%A8-%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D8%B3%D9%8A%D8%A4%D8%AF%D9%8A-%D8%A5%D9%84%D9%89-%D9%86%D8%B2%D9%88%D8%AD-%D9%85%D8%A6%D8%A7%D8%AA-%D8%A7%D9%84%D8%A2%D9%84%D8%A7%D9%81-%D9%85%D9%86-%D8%B3%D9%83%D8%A7%D9%86-%D8%B4%D9%85%D8%A7%D9%84-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84,"
                14 سبتمبر 2024
            ",
France 24,ألعاب باريس 2024: استعراض الأبطال في الشانزليزيه تكريما للرياضيين ولمن ساهموا بإنجاح العرس الرياضي,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240914-%D8%A7%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%85%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D8%A7%D9%84%D9%85%D8%A8%D9%8A%D8%A9-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%AA%D9%83%D8%B1%D9%85-%D8%A7%D9%84%D8%A3%D8%A8%D8%B7%D8%A7%D9%84-%D9%88%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%87%D9%85%D9%8A%D9%86-%D8%A8%D8%A5%D9%86%D8%AC%D8%A7%D8%AD-%D8%A7%D9%84%D8%B9%D8%B1%D8%B3-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A-%D9%81%D9%8A-%D8%AD%D9%81%D9%84-%D9%83%D8%A8%D9%8A%D8%B1,"
                14 سبتمبر 2024
            ",
France 24,"تونس: احتجاجات معارضة لسعيّد ""دفاعا عن الحقوق والحريات"" قبيل الانتخابات الرئاسية",,,https://www.france24.com/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%8A%D8%A9/20240914-%D8%AA%D9%88%D9%86%D8%B3-%D8%A7%D8%AD%D8%AA%D8%AC%D8%A7%D8%AC%D8%A7%D8%AA-%D9%85%D8%B9%D8%A7%D8%B1%D8%B6%D8%A9-%D9%84%D8%B3%D8%B9%D9%8A%D9%91%D8%AF-%D8%AF%D9%81%D8%A7%D8%B9%D8%A7-%D8%B9%D9%86-%D8%A7%D9%84%D8%AD%D9%82%D9%88%D9%82-%D9%88%D8%A7%D9%84%D8%AD%D8%B1%D9%8A%D8%A7%D8%AA-%D9%82%D8%A8%D9%8A%D9%84-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%A6%D8%A7%D8%B3%D9%8A%D8%A9,"
                14 سبتمبر 2024
            ",
France 24,زعيمة اليمين المتطرف الفرنسي مارين لوبان تدعو إلى إجراء انتخابات تشريعية جديدة العام المقبل,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240914-%D8%B2%D8%B9%D9%8A%D9%85%D8%A9-%D8%A7%D9%84%D9%8A%D9%85%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D8%AA%D8%B7%D8%B1%D9%81-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A-%D9%85%D8%A7%D8%B1%D9%8A%D9%86-%D9%84%D9%88%D8%A8%D8%A7%D9%86-%D8%AA%D8%AF%D8%B9%D9%88-%D8%A5%D9%84%D9%89-%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%AA%D8%B4%D8%B1%D9%8A%D8%B9%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%85-%D8%A7%D9%84%D9%85%D9%82%D8%A8%D9%84,"
                14 سبتمبر 2024
            ",
France 24,الاستخبارات الأوكرانية تقدر أن كوريا الشمالية أكثر حلفاء روسيا خطرا على كييف,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240914-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%A8%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A9-%D8%AA%D9%82%D8%AF%D8%B1-%D8%A3%D9%86-%D9%83%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%A3%D9%83%D8%AB%D8%B1-%D8%AD%D9%84%D9%81%D8%A7%D8%A1-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7-%D8%AE%D8%B7%D8%B1%D8%A7-%D8%B9%D9%84%D9%89-%D9%83%D9%8A%D9%8A%D9%81,"
                14 سبتمبر 2024
            ",
France 24,ما أسباب التردد الغربي بالسماح لأوكرانيا باستخدام صواريخ بعيدة المدى ضد روسيا؟,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240914-%D9%85%D8%A7-%D8%A3%D8%B3%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D8%AA%D8%B1%D8%AF%D8%AF-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A-%D8%A8%D8%A7%D9%84%D8%B3%D9%85%D8%A7%D8%AD-%D9%84%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%B5%D9%88%D8%A7%D8%B1%D9%8A%D8%AE-%D8%A8%D8%B9%D9%8A%D8%AF%D8%A9-%D8%A7%D9%84%D9%85%D8%AF%D9%89-%D8%B6%D8%AF-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7,"
                14 سبتمبر 2024
            ",
France 24,لماذا تنتشر الجريمة على الحدود بين السويد والدانمارك؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%86%D8%A8%D8%B6-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240914-%D9%86%D8%A8%D8%B6-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7-%D9%84%D9%85%D8%A7%D8%B0%D8%A7-%D8%AA%D9%86%D8%AA%D8%B4%D8%B1-%D8%A7%D9%84%D8%AC%D8%B1%D9%8A%D9%85%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AD%D8%AF%D9%88%D8%AF-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D9%88%D9%8A%D8%AF-%D9%88%D8%A7%D9%84%D8%AF%D8%A7%D9%86%D9%85%D8%A7%D8%B1%D9%83,"
                14 سبتمبر 2024
            ",
