source,title,content,description,url,published_at,tags
France 24,من هو جيمس ديفيد فانس الذي اختاره ترامب مرشحا لمنصب نائب الرئيس الأمريكي؟,,,https://www.france24.com/ar/%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7/20240716-%D9%85%D9%86-%D9%87%D9%88-%D8%AC%D9%8A%D9%85%D8%B3-%D8%AF%D9%8A%D9%81%D9%8A%D8%AF-%D9%81%D8%A7%D9%86%D8%B3-%D8%A7%D9%84%D8%B0%D9%8A-%D8%A7%D8%AE%D8%AA%D8%A7%D8%B1%D9%87-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%85%D8%B1%D8%B4%D8%AD%D8%A7-%D9%84%D9%85%D9%86%D8%B5%D8%A8-%D9%86%D8%A7%D8%A6%D8%A8-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A,"
                16 يوليو 2024
            ",
France 24,غاريث ساوثغيت مدرب منتخب إنجلترا يعلن استقالته بعد فشله في الفوز بكأس الأمم الأوروبية,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240716-%D8%BA%D8%A7%D8%B1%D9%8A%D8%AB-%D8%B3%D8%A7%D9%88%D8%AB%D8%BA%D9%8A%D8%AA-%D9%85%D8%AF%D8%B1%D8%A8-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D8%A5%D9%86%D8%AC%D9%84%D8%AA%D8%B1%D8%A7-%D9%8A%D8%B9%D9%84%D9%86-%D8%A7%D8%B3%D8%AA%D9%82%D8%A7%D9%84%D8%AA%D9%87-%D8%A8%D8%B9%D8%AF-%D9%81%D8%B4%D9%84%D9%87-%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D9%88%D8%B2-%D8%A8%D9%83%D8%A3%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D9%85-%D8%A7%D9%84%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D9%8A%D8%A9,"
                16 يوليو 2024
            ",
France 24,مؤتمر الحزب الجمهوري: استقبال حافل لترامب في اليوم الأول واختيار فانس مرشحا لمنصب نائب الرئيس,,,https://www.france24.com/ar/%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7/20240716-%D8%A7%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%A3%D9%88%D9%84-%D9%84%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D8%A7%D9%84%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%8A%D8%B9%D9%84%D9%86-%D8%A7%D8%AE%D8%AA%D9%8A%D8%A7%D8%B1-%D9%86%D8%A7%D8%A6%D8%A8%D9%87-%D9%88%D9%8A%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%A8%D8%AA%D8%B1%D8%AD%D9%8A%D8%A8-%D9%83%D8%A8%D9%8A%D8%B1,"
                16 يوليو 2024
            ",
France 24,ترامب يختار فانس مرشحا لمنصب نائب الرئيس الأمريكي في حال فوزه.. ما ردود الأفعال؟,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240716-%D9%85%D9%86-%D9%87%D9%88-%D9%86%D8%A7%D8%A6%D8%A8-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8,"
                16 يوليو 2024
            ",
France 24,مصر.. تهريب أموال بسندويتشات شاورما!,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%88%D9%8A%D8%A8/20240716-%D9%85%D8%B5%D8%B1-%D8%AA%D9%87%D8%B1%D9%8A%D8%A8-%D8%A3%D9%85%D9%88%D8%A7%D9%84-%D8%A8%D8%B3%D9%86%D8%AF%D9%88%D9%8A%D8%AA%D8%B4%D8%A7%D8%AA-%D8%B4%D8%A7%D9%88%D8%B1%D9%85%D8%A7,"
                16 يوليو 2024
            ",
France 24,فرنسا: ماكرون يقبل استقالة أتال ويكلفه بتصريف الأعمال لغاية تعيين حكومة جديدة,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240716-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D8%A7%D8%B3%D8%AA%D9%82%D8%A7%D9%84%D8%A9-%D8%BA%D8%A7%D8%A8%D8%B1%D9%8A%D9%8A%D9%84-%D8%A3%D8%AA%D8%A7%D9%84-%D9%88%D9%8A%D9%83%D9%84%D9%81%D9%87-%D8%A8%D8%AA%D8%B5%D8%B1%D9%8A%D9%81-%D8%A7%D9%84%D8%A3%D8%B9%D9%85%D8%A7%D9%84-%D8%AA%D8%B9%D9%8A%D9%8A%D9%86-%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,"
                16 يوليو 2024
            ",
France 24,ماذا قال مبابي بالإسبانية لأكثر من 80 ألف مشجع كلاعب رسمي في ريال مدريد؟,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240716-%D8%A3%D9%83%D8%AB%D8%B1-%D9%85%D9%86-80-%D8%A3%D9%84%D9%81-%D9%85%D8%AA%D9%81%D8%B1%D8%AC-%D9%84%D8%A7%D8%B3%D8%AA%D9%82%D8%A8%D8%A7%D9%84-%D9%85%D8%A8%D8%A7%D8%A8%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D9%84,"
                16 يوليو 2024
            ",
France 24,الحزب الجمهوري الأمريكي: من هو فانس المرشح لمنصب نائب الرئيس بالانتخابات الرئاسية؟,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240716-%D8%A7%D9%84%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A-%D9%85%D9%86-%D9%87%D9%88-%D9%81%D8%A7%D9%86%D8%B3-%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D8%AD-%D9%84%D9%85%D9%86%D8%B5%D8%A8-%D9%86%D8%A7%D8%A6%D8%A8-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3,"
                16 يوليو 2024
            ",
France 24,إغلاق مركز صحي خلال ألعاب باريس.. مشكلة جديدة تزيد من معاناة المهاجرين في ضاحية سان دوني,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B1%D9%8A%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC/20240716-%D8%A5%D8%BA%D9%84%D8%A7%D9%82-%D9%85%D8%B1%D9%83%D8%B2-%D8%B5%D8%AD%D9%8A-%D8%AE%D9%84%D8%A7%D9%84-%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3-%D9%85%D8%B4%D9%83%D9%84%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%AA%D8%B2%D9%8A%D8%AF-%D9%85%D9%86-%D9%85%D8%B9%D8%A7%D9%86%D8%A7%D8%A9-%D8%A7%D9%84%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D9%8A%D9%86-%D9%81%D9%8A-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D8%B3%D8%A7%D9%86-%D8%AF%D9%88%D9%86%D9%8A,"
                16 يوليو 2024
            ",
France 24,"مبابي ينضم رسميا لريال مدريد.. النادي ""الأفضل في تاريخ كرة القدم""",,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240716-%D9%85%D8%A8%D8%A7%D8%A8%D9%8A-%D9%8A%D9%86%D8%B6%D9%85-%D8%B1%D8%B3%D9%85%D9%8A%D8%A7-%D9%84%D8%A3%D9%82%D9%88%D9%89-%D9%81%D8%B1%D9%8A%D9%82-%D8%B1%D9%8A%D8%A7%D9%84-%D9%85%D8%AF%D8%B1%D9%8A%D8%AF,"
                16 يوليو 2024
            ",
