source,title,content,description,url,published_at,tags
France 24,الفلبين: إعصار مان-يي القوي يجتاح الأرخبيل من دون وقوع ضحايا,,,https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20241117-%D8%A7%D9%84%D9%81%D9%84%D8%A8%D9%8A%D9%86-%D8%A5%D8%B9%D8%B5%D8%A7%D8%B1-%D9%85%D8%A7%D9%86-%D9%8A%D9%8A-%D8%A7%D9%84%D9%82%D9%88%D9%8A-%D9%8A%D8%AC%D8%AA%D8%A7%D8%AD-%D8%A7%D9%84%D8%A3%D8%B1%D8%AE%D8%A8%D9%8A%D9%84-%D9%85%D9%86-%D8%AF%D9%88%D9%86-%D9%88%D9%82%D9%88%D8%B9-%D8%B6%D8%AD%D8%A7%D9%8A%D8%A7,"
                17 نوفمبر 2024
            ",
France 24,تصفيات كأس أمم أفريقيا: الجزائر تسحق ليبيريا بخماسية في أول مباراة دولية بملعب تيزي وزو,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20241117-%D8%AA%D8%B5%D9%81%D9%8A%D8%A7%D8%AA-%D9%83%D8%A3%D8%B3-%D8%A3%D9%85%D9%85-%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D9%84%D9%8A%D8%A8%D9%8A%D8%B1%D9%8A%D8%A7-%D9%83%D8%B1%D8%A9-%D8%A7%D9%84%D9%82%D8%AF%D9%85-%D9%85%D9%84%D8%B9%D8%A8-%D8%AA%D9%8A%D8%B2%D9%8A-%D9%88%D8%B2%D9%88,"
                17 نوفمبر 2024
            ",
France 24,"روسيا تشن هجوما جويا ""واسع النطاق"" على البنية التحتية للطاقة في أوكرانيا",,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20241117-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7-%D8%AA%D8%B4%D9%86-%D9%87%D8%AC%D9%88%D9%85%D8%A7-%D8%AC%D9%88%D9%8A%D8%A7-%D9%88%D8%A7%D8%B3%D8%B9-%D8%A7%D9%84%D9%86%D8%B7%D8%A7%D9%82-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A8%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D8%AD%D8%AA%D9%8A%D8%A9-%D9%84%D9%84%D8%B7%D8%A7%D9%82%D8%A9-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,"
                17 نوفمبر 2024
            ",
France 24,قتيلان جراء غارة إسرائيلية في قلب بيروت وعشرات القتلى والمفقودين بشمال غزة,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241117-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%8A%D8%B9%D9%84%D9%86-%D9%85%D9%82%D8%AA%D9%84-%D8%A3%D8%AD%D8%AF-%D8%AC%D9%86%D9%88%D8%AF%D9%87-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9-%D9%88%D9%8A%D8%B4%D9%86-%D8%BA%D8%A7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D8%A8%D9%8A%D8%B1%D9%88%D8%AA-%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%A8%D9%8A%D8%A9,"
                17 نوفمبر 2024
            ",
France 24,ما فرص نجاح مقترحات وقف إطلاق النار في لبنان؟,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241117-%D9%85%D8%A7-%D9%81%D8%B1%D8%B5-%D9%86%D8%AC%D8%A7%D8%AD-%D9%85%D9%82%D8%AA%D8%B1%D8%AD%D8%A7%D8%AA-%D9%88%D9%82%D9%81-%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D8%A7%D8%B1-%D9%81%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86,"
                17 نوفمبر 2024
            ",
France 24,بايدن يمنح أوكرانيا الضوء الأخضر لاستخدام صواريخ أمريكية بعيدة المدى في هجمات داخل روسيا,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20241117-%D8%A8%D8%A7%D9%8A%D8%AF%D9%86-%D9%8A%D9%85%D9%86%D8%AD-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D8%A7%D9%84%D8%B6%D9%88%D8%A1-%D8%A7%D9%84%D8%A3%D8%AE%D8%B6%D8%B1-%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A7%D9%84%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D9%81%D9%8A-%D9%87%D8%AC%D9%85%D8%A7%D8%AA-%D8%AF%D8%A7%D8%AE%D9%84-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7,"
                17 نوفمبر 2024
            ",
France 24,مئات المثقفين يناشدون اليونسكو لضمان حماية التراث اللبناني من الغارات الإسرائيلية,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241117-%D9%85%D8%A6%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AB%D9%82%D9%81%D9%8A%D9%86-%D9%8A%D9%86%D8%A7%D8%B4%D8%AF%D9%88%D9%86-%D8%A7%D9%84%D9%8A%D9%88%D9%86%D8%B3%D9%83%D9%88-%D9%84%D8%B6%D9%85%D8%A7%D9%86-%D8%AD%D9%85%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%AB-%D8%A7%D9%84%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A-%D9%85%D9%86-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9,"
                17 نوفمبر 2024
            ",
France 24,إسرائيل: توقيف ثلاثة مشتبه بهم في قضية إطلاق قنبلتين ضوئيتين قرب منزل نتانياهو,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241117-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AA%D9%88%D9%82%D9%8A%D9%81-%D8%AB%D9%84%D8%A7%D8%AB%D8%A9-%D9%85%D8%B4%D8%AA%D8%A8%D9%87-%D8%A8%D9%87%D9%85-%D9%81%D9%8A-%D9%82%D8%B6%D9%8A%D8%A9-%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D9%82%D9%86%D8%A8%D9%84%D8%AA%D9%8A%D9%86-%D8%B6%D9%88%D8%A6%D9%8A%D8%AA%D9%8A%D9%86-%D9%82%D8%B1%D8%A8-%D9%85%D9%86%D8%B2%D9%84-%D9%86%D8%AA%D8%A7%D9%86%D9%8A%D8%A7%D9%87%D9%88,"
                17 نوفمبر 2024
            ",
France 24,مقتل المسؤول الإعلامي في حزب الله محمد عفيف في غارة إسرائيلية على بيروت,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241117-ar-nw-grab-carla-smaha-14h-groum-meryam,"
                17 نوفمبر 2024
            ",
France 24,تحذيرات أممية من مجاعة وشيكة في عدة مناطق من شمال غزة,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241117-%D8%AA%D8%AE%D8%B0%D9%8A%D8%B1%D8%A7%D8%AA-%D8%A3%D9%85%D9%85%D9%8A%D8%A9-%D9%85%D9%86-%D9%85%D8%AC%D8%A7%D8%B9%D8%A9-%D9%88%D8%B4%D9%8A%D9%83%D8%A9-%D9%81%D9%8A-%D8%B9%D8%AF%D8%A9-%D9%85%D9%86%D8%A7%D8%B7%D9%82-%D9%85%D9%86-%D8%B4%D9%85%D8%A7%D9%84-%D8%BA%D8%B2%D8%A9,"
                17 نوفمبر 2024
            ",
