source,title,content,description,url,published_at,tags
France 24,"الجيش الأردني يرصد تحركات ""جوية غير معروفة المصدر"" على الحدود مع سوريا",,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240318-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86%D9%8A-%D9%8A%D8%B9%D9%84%D9%86-%D8%B1%D8%B5%D8%AF-%D8%AA%D8%AD%D8%B1%D9%83%D8%A7%D8%AA-%D8%AC%D9%88%D9%8A%D8%A9-%D8%BA%D9%8A%D8%B1-%D9%85%D8%B9%D8%B1%D9%88%D9%81%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D8%AF%D8%B1-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AD%D8%AF%D9%88%D8%AF-%D9%85%D8%B9-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,"
                18 مارس 2024
            ",
France 24,تداعيات سفن البحر الأحمر تنغص فرحة اليمنيين بشهر رمضان,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240318-%D8%AA%D8%AF%D8%A7%D8%B9%D9%8A%D8%A7%D8%AA-%D8%B3%D9%81%D9%86-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1-%D8%AA%D9%86%D8%BA%D8%B5-%D9%81%D8%B1%D8%AD%D8%A9-%D8%A7%D9%84%D9%8A%D9%85%D9%86%D9%8A%D9%8A%D9%86-%D8%A8%D8%B4%D9%87%D8%B1-%D8%B1%D9%85%D8%B6%D8%A7%D9%86,"
                18 مارس 2024
            ",
France 24,غاباتنا في خطر، كيف نحميها؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B9%D9%84%D9%89-%D9%87%D8%B0%D9%87-%D8%A7%D9%84%D8%A3%D8%B1%D8%B6/20240318-%D8%BA%D8%A7%D8%A8%D8%A7%D8%AA%D9%86%D8%A7-%D9%81%D9%8A-%D8%AE%D8%B7%D8%B1-%D9%83%D9%8A%D9%81-%D9%86%D8%AD%D9%85%D9%8A%D9%87%D8%A7,"
                18 مارس 2024
            ",
France 24,قطاع غزة: قصف مستمر ونيران في مستشفى الشفاء والجيش الإسرائيلي يعلن يواصل عمليته,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240318-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%8A%D9%82%D9%88%D9%84-%D8%A5%D9%86-%D9%82%D9%88%D8%A7%D8%AA%D9%87-%D8%AF%D8%A7%D9%87%D9%85%D8%AA-%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%A7%D9%84%D8%B4%D9%81%D8%A7%D8%A1-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9,"
                18 مارس 2024
            ",
France 24,كوريا الشمالية زودت روسيا بسبعة آلاف حاوية أسلحة,,,https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20240318-%D9%83%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%B2%D9%88%D8%AF%D8%AA-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7-%D8%A8%D8%B3%D8%A8%D8%B9%D8%A9-%D8%A2%D9%84%D8%A7%D9%81-%D8%AD%D8%A7%D9%88%D9%8A%D8%A9-%D8%A3%D8%B3%D9%84%D8%AD%D8%A9,"
                18 مارس 2024
            ",
France 24,"الصين تتهم الولايات المتحدة ""بتهديد الأمن العالمي"" بعد تقرير عن أقمار سبيس إكس للتجسس",,,https://www.france24.com/ar/%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7/20240318-%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D8%AA%D8%AA%D9%87%D9%85-%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%A8%D8%AA%D9%87%D8%AF%D9%8A%D8%AF-%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D8%A8%D8%B9%D8%AF-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%B9%D9%86-%D8%A3%D9%82%D9%85%D8%A7%D8%B1-%D8%B3%D8%A8%D9%8A%D8%B3-%D8%A5%D9%83%D8%B3-%D9%84%D9%84%D8%AA%D8%AC%D8%B3%D8%B3,"
                18 مارس 2024
            ",
France 24,"بيونغ يانغ تطلق عدة ""صواريخ بالستية"" تزامنا مع زيارة بلينكن إلى سول وواشنطن تندد",,,https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20240318-%D8%A8%D9%8A%D9%88%D9%86%D8%BA-%D9%8A%D8%A7%D9%86%D8%BA-%D8%AA%D8%B7%D9%84%D9%82-%D8%B9%D8%AF%D8%A9-%D8%B5%D9%88%D8%A7%D8%B1%D9%8A%D8%AE-%D8%A8%D8%A7%D9%84%D8%B3%D8%AA%D9%8A%D8%A9-%D8%AA%D8%B2%D8%A7%D9%85%D9%86%D8%A7-%D9%85%D8%B9-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%A8%D9%84%D9%8A%D9%86%D9%83%D9%86-%D8%A5%D9%84%D9%89-%D8%B3%D9%88%D9%84,"
                18 مارس 2024
            ",
France 24,فرنسا: اعتقال تسعة أشخاص بعد مهاجمة مركز شرطة في ضواحي باريس,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240318-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%A7%D8%B9%D8%AA%D9%82%D8%A7%D9%84-%D8%AA%D8%B3%D8%B9%D8%A9-%D8%A3%D8%B4%D8%AE%D8%A7%D8%B5-%D8%A8%D8%B9%D8%AF-%D9%85%D9%87%D8%A7%D8%AC%D9%85%D8%A9-%D9%85%D8%B1%D9%83%D8%B2-%D8%B4%D8%B1%D8%B7%D8%A9-%D9%81%D9%8A-%D8%B6%D9%88%D8%A7%D8%AD%D9%8A-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3,"
                18 مارس 2024
            ",
France 24,"من هو فوغان غيثينغ ""أول رئيس حكومة أسود"" في تاريخ ويلز وأوروبا؟",,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240318-%D9%85%D9%86-%D9%87%D9%88-%D9%81%D9%88%D8%BA%D8%A7%D9%86-%D8%BA%D9%8A%D8%AB%D9%8A%D9%86%D8%BA-%D8%A3%D9%88%D9%84-%D8%B1%D8%A6%D9%8A%D8%B3-%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%A3%D8%B3%D9%88%D8%AF-%D9%81%D9%8A-%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE-%D9%88%D9%8A%D9%84%D8%B2-%D9%88%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7,"
                18 مارس 2024
            ",
France 24,البيت الأبيض يعلن مقتل الرجل الثالث في حماس بعملية عسكرية إسرائيلية,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240318-%F0%9F%94%B4%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%8A%D8%A8%D8%AF%D8%A3-%D8%B9%D9%85%D9%84%D9%8A%D8%A9-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D9%85%D8%AD%D9%8A%D8%B7-%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%A7%D9%84%D8%B4%D9%81%D8%A7%D8%A1-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9,"
                18 مارس 2024
            ",
