source,title,content,description,url,published_at,tags
France 24,"أردوغان: على المسلحين الأكراد في سوريا ""إلقاء أسلحتهم وإلا سيُدفنون معها""",,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241225-%D8%A3%D8%B1%D8%AF%D9%88%D8%BA%D8%A7%D9%86-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D9%8A%D9%86-%D8%A7%D9%84%D8%A3%D9%83%D8%B1%D8%A7%D8%AF-%D9%81%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%A5%D9%84%D9%82%D8%A7%D8%A1-%D8%A3%D8%B3%D9%84%D8%AD%D8%AA%D9%87%D9%85-%D9%88%D8%A5%D9%84%D8%A7-%D8%B3%D9%8A%D9%8F%D8%AF%D9%81%D9%86%D9%88%D9%86-%D9%85%D8%B9%D9%87%D8%A7,"
                25 ديسمبر 2024
            ",
France 24,حروب ونزاعات تخيم على احتفالات المسيحيين بعيد الميلاد عبر العالم,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-%D8%A8%D8%A7%D8%A8%D8%A7-%D8%A7%D9%84%D9%81%D8%A7%D8%AA%D9%8A%D9%83%D8%A7%D9%86-%D9%8A%D8%AF%D8%B9%D9%88-%D8%B9%D8%B4%D9%8A%D8%A9-%D8%B9%D9%8A%D8%AF-%D8%A7%D9%84%D9%85%D9%8A%D9%84%D8%A7%D8%AF-%D9%84%D9%84%D8%AA%D8%AD%D9%84%D9%8A-%D8%A8%D8%A7%D9%84%D8%B4%D8%AC%D8%A7%D8%B9%D8%A9-%D9%85%D9%86-%D8%A3%D8%AC%D9%84-%D8%B9%D8%A7%D9%84%D9%85-%D8%A3%D9%81%D8%B6%D9%84,"
                25 ديسمبر 2024
            ",
France 24,مايوت: ارتفاع حصيلة ضحايا الإعصار شيدو إلى 39 شخصا وعمليات البحث عن مفقودين متواصلة,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20241225-%D9%85%D8%A7%D9%8A%D9%88%D8%AA-%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%AD%D8%B5%D9%8A%D9%84%D8%A9-%D8%B6%D8%AD%D8%A7%D9%8A%D8%A7-%D8%A7%D9%84%D8%A5%D8%B9%D8%B5%D8%A7%D8%B1-%D8%B4%D9%8A%D8%AF%D9%88-%D8%A5%D9%84%D9%89-39-%D8%B4%D8%AE%D8%B5%D8%A7-%D9%88%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%AD%D8%AB-%D8%B9%D9%86-%D9%85%D9%81%D9%82%D9%88%D8%AF%D9%8A%D9%86-%D9%85%D8%AA%D9%88%D8%A7%D8%B5%D9%84%D8%A9,"
                25 ديسمبر 2024
            ",
France 24,خليجي 26: البحرين تتخطى العراق وتبلغ نصف النهائي والسعودية تفوز على اليمن بشق الأنفس,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20241225-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A-26-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86-%D8%AA%D8%AA%D8%AE%D8%B7%D9%89-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D9%88%D8%AA%D8%A8%D9%84%D8%BA-%D9%86%D8%B5%D9%81-%D8%A7%D9%84%D9%86%D9%87%D8%A7%D8%A6%D9%8A-%D9%88%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AA%D9%81%D9%88%D8%B2-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%8A%D9%85%D9%86-%D8%A8%D8%B4%D9%82-%D8%A7%D9%84%D8%A3%D9%86%D9%81%D8%B3,"
                25 ديسمبر 2024
            ",
France 24,الفصائل السورية تتفق مع أحمد الشرع على حل نفسها والاندماج مع وزارة الدفاع,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-%D8%A7%D9%84%D9%81%D8%B5%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9-%D8%AA%D8%AA%D9%81%D9%82-%D9%85%D8%B9-%D8%A3%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D8%B9-%D8%B9%D9%84%D9%89-%D8%AD%D9%84-%D9%86%D9%81%D8%B3%D9%87%D8%A7-%D9%88%D8%A7%D9%84%D8%A7%D9%86%D8%AF%D9%85%D8%A7%D8%AC-%D9%85%D8%B9-%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9,"
                25 ديسمبر 2024
            ",
France 24,"ماذا نعرف عن اتفاق حل ""جميع الفصائل المسلحة"" في سوريا؟",,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-%D9%85%D8%A7%D8%B0%D8%A7-%D9%86%D8%B9%D8%B1%D9%81-%D8%B9%D9%86-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%AD%D9%84-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D9%81%D8%B5%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D8%A9-%D9%81%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,"
                25 ديسمبر 2024
            ",
France 24,"السلطات السورية الجديدة تعلن الاتفاق على حل ""جميع الفصائل المسلحة""",,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%AA%D8%B9%D9%84%D9%86-%D8%A7%D9%84%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%B9%D9%84%D9%89-%D8%AD%D9%84-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D9%81%D8%B5%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D8%A9,"
                25 ديسمبر 2024
            ",
France 24,حروب ونزاعات تخيم على احتفالات المسيحيين بعيد الميلاد عبر العالم,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20241224-%D8%A7%D9%84%D8%A8%D8%A7%D8%A8%D8%A7-%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D8%B3-%D9%8A%D8%AF%D8%B9%D9%88-%D9%84%D9%84%D8%B1%D8%AC%D8%A7%D8%A1-%D9%88%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1-%D9%81%D9%8A-%D8%B9%D8%B8%D8%A9-%D8%B9%D9%8A%D8%AF-%D8%A7%D9%84%D9%85%D9%8A%D9%84%D8%A7%D8%AF,"
                25 ديسمبر 2024
            ",
France 24,السودان: المجاعة تتفاقم والملايين مهددون بانعدام الأمن الغذائي وفق تقرير مدعوم من الأمم المتحدة,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D8%B9%D8%A9-%D8%AA%D8%AA%D9%81%D8%B4%D9%89-%D9%81%D9%8A-%D8%AE%D9%85%D8%B3-%D9%85%D9%86%D8%A7%D8%B7%D9%82-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D9%82%D9%84-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86,"
                25 ديسمبر 2024
            ",
France 24,تركيا: حكم بالسجن 18 عاما ضد مالك ومهندس فندق انهار إثر زلزال فبراير 2023,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241225-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7-%D8%AD%D9%83%D9%85-%D8%A8%D8%A7%D9%84%D8%B3%D8%AC%D9%86-18-%D8%B9%D8%A7%D9%85%D8%A7-%D8%B6%D8%AF-%D9%85%D8%A7%D9%84%D9%83-%D9%88%D9%85%D9%87%D9%86%D8%AF%D8%B3-%D9%81%D9%86%D8%AF%D9%82-%D8%A7%D9%86%D9%87%D8%A7%D8%B1-%D8%A5%D8%AB%D8%B1-%D8%B2%D9%84%D8%B2%D8%A7%D9%84-%D9%81%D8%A8%D8%B1%D8%A7%D9%8A%D8%B1-2023,"
                25 ديسمبر 2024
            ",
France 24,بأي حال يعود ميلاد السيد المسيح على مسيحيي الشرق,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-antoine-flayfel-invit%C3%A9-13h-chr%C3%A9tiens-d-orient,"
                25 ديسمبر 2024
            ",
France 24,احتجاجات أمام السفارة الأمريكية في بنما ضد تصريحات ترامب بشأن القناة المائية,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-%D8%A8%D9%86%D9%85%D8%A7-%D9%85%D8%B8%D8%A7%D9%87%D8%B1%D8%A9-%D8%A3%D9%85%D8%A7%D9%85-%D8%B3%D9%81%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%B6%D8%AF-%D8%AA%D8%B5%D8%B1%D9%8A%D8%AD%D8%A7%D8%AA-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8,"
                25 ديسمبر 2024
            ",
France 24,روسيا تشن هجوما صاروخيا كبيرا على شبكة الكهرباء الأوكرانية ومدن شرق البلاد,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20241225-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D9%87%D8%AC%D9%88%D9%85-%D8%B5%D8%A7%D8%B1%D9%88%D8%AE%D9%8A-%D8%B1%D9%88%D8%B3%D9%8A-%D9%8A%D8%B3%D8%AA%D9%87%D8%AF%D9%81-%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9-%D8%B5%D8%A8%D9%8A%D8%AD%D8%A9-%D8%B9%D9%8A%D8%AF-%D8%A7%D9%84%D9%85%D9%8A%D9%84%D8%A7%D8%AF,"
                25 ديسمبر 2024
            ",
France 24,سوريا: علويون يتظاهرون إثر هجوم مفترض على مقام بحلب والسلطات تفرض حظرا ليليا للتجول,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241225-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D9%8A%D8%AF%D8%B9%D9%88-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%84%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%85-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%AF%D8%A9-%D9%88%D9%8A%D8%AD%D8%B0%D8%B1-%D9%85%D9%86-%D8%A7%D9%84%D9%81%D9%88%D8%B6%D9%89,"
                25 ديسمبر 2024
            ",
France 24,أوكرانيا: هجوم صاروخي روسي يستهدف قطاع الطاقة صبيحة عيد الميلاد,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-%D8%B6%D8%B1%D8%A8%D8%A7%D8%AA-%D8%B5%D8%A7%D8%B1%D9%88%D8%AE%D9%8A%D8%A9-%D8%B1%D9%88%D8%B3%D9%8A%D8%A9-%D8%AA%D8%B3%D8%AA%D9%87%D8%AF%D9%81-%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D8%B5%D8%A8%D9%8A%D8%AD%D8%A9-%D8%A7%D9%84%D9%85%D9%8A%D9%84%D8%A7%D8%AF,"
                25 ديسمبر 2024
            ",
France 24,وزير الخارجية السوري الجديد يدعو إيران لاحترام سيادة بلاده ويحذر من الفوضى,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241225-%D9%88%D8%B2%D9%8A%D8%B1-%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF-%D9%8A%D8%AD%D8%B0%D8%B1-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%85%D9%86-%D8%A8%D8%AB-%D8%A7%D9%84%D9%81%D9%88%D8%B6%D9%89-%D9%81%D9%8A-%D8%A8%D9%84%D8%A7%D8%AF%D9%87,"
                25 ديسمبر 2024
            ",
France 24,حماس وإسرائيل تتبادلان الاتهامات بتعطيل اتفاق الهدنة وإطلاق سراح الرهائن,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241225-%D8%AD%D9%85%D8%A7%D8%B3-%D9%88%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AA%D8%B9%D8%B7%D9%8A%D9%84-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%A7%D9%84%D9%87%D8%AF%D9%86%D8%A9-%D8%BA%D8%B2%D8%A9-%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%B3%D8%B1%D8%A7%D8%AD-%D8%A7%D9%84%D8%B1%D9%87%D8%A7%D8%A6%D9%86,"
                25 ديسمبر 2024
            ",
