source,title,content,description,url,published_at,tags
France 24,"الانتخابات الأوروبية: ماكرون يبدي استعداده ""للنقاش الآن"" مع زعيمة اليمين المتطرف في فرنسا",,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240526-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D9%8A%D8%A9-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%85%D8%A7%D8%B1%D9%8A%D9%86-%D9%84%D9%88%D8%A8%D8%A7%D9%86-%D8%B2%D8%B9%D9%8A%D9%85%D8%A9-%D8%A7%D9%84%D9%8A%D9%85%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D8%AA%D8%B7%D8%B1%D9%81-%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%B5%D8%B9%D9%88%D8%AF-%D9%86%D9%82%D8%A7%D8%B4,"
                26 مايو 2024
            ",
France 24,تونس: الرئيس يقيل وزيري الداخلية والشؤون الاجتماعية في تعديل وزاري مفاجئ,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240526-%D8%AA%D9%88%D9%86%D8%B3-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D9%8A%D8%AC%D8%B1%D9%8A-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%D8%A7-%D9%88%D8%B2%D8%A7%D8%B1%D9%8A%D8%A7-%D9%85%D9%81%D8%A7%D8%AC%D8%A6%D8%A7-%D9%88%D9%8A%D9%82%D9%8A%D9%84-%D9%88%D8%B2%D9%8A%D8%B1%D9%8A-%D8%A7%D9%84%D8%AF%D8%A7%D8%AE%D9%84%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%B4%D8%A4%D9%88%D9%86-%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A%D8%A9,"
                26 مايو 2024
            ",
France 24,لأول مرة منذ 2012...الرياض تعيّن سفيرا لها لدى دمشق,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240526-%D9%84%D9%84%D9%85%D8%B1%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D9%85%D9%86%D8%B0-12-%D8%B9%D8%A7%D9%85%D8%A7-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%AA%D8%B9%D9%8A%D9%91%D9%86-%D8%B3%D9%81%D9%8A%D8%B1-%D8%AF%D8%A8%D9%84%D9%88%D9%85%D8%A7%D8%B3%D9%8A%D8%A9-%D8%AF%D9%85%D8%B4%D9%82,"
                26 مايو 2024
            ",
France 24,أرمينيا: الآلاف يتظاهرون احتجاجا على تسليم  بلادهم أراض إلى أذربيجان,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240526-%D8%A3%D8%B1%D9%85%D9%8A%D9%86%D9%8A%D8%A7-%D8%A7%D9%84%D8%A2%D9%84%D8%A7%D9%81-%D9%8A%D8%AA%D8%B8%D8%A7%D9%87%D8%B1%D9%88%D9%86-%D8%A7%D8%AD%D8%AA%D8%AC%D8%A7%D8%AC%D8%A7-%D8%B9%D9%84%D9%89-%D8%AA%D8%B3%D9%84%D9%8A%D9%85-%D8%A8%D9%84%D8%A7%D8%AF%D9%87%D9%85-%D8%A3%D8%B1%D8%A7%D8%B6-%D8%A5%D9%84%D9%89-%D8%A3%D8%B0%D8%B1%D8%A8%D9%8A%D8%AC%D8%A7%D9%86,"
                26 مايو 2024
            ",
France 24,عراقيل اسرائيلية جديدة أمام إيصال مساعدات الى غزة,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240526-%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%D9%84-%D8%A7%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D8%A3%D9%85%D8%A7%D9%85-%D8%A5%D9%8A%D8%B5%D8%A7%D9%84-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D9%89-%D8%BA%D8%B2%D8%A9,"
                26 مايو 2024
            ",
France 24,أوكرانيا: هجوم روسي يسفر عن عدة قتلى وجرحى في خاركيف بشمال شرق البلاد,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240526-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D9%87%D8%AC%D9%88%D9%85-%D8%B1%D9%88%D8%B3%D9%8A-%D9%8A%D8%B3%D9%81%D8%B1-%D8%B9%D9%86-%D8%B9%D8%AF%D8%A9-%D9%82%D8%AA%D9%84%D9%89-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D8%AE%D8%A7%D8%B1%D9%83%D9%8A%D9%81-%D8%B4%D9%85%D8%A7%D9%84-%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%AF,"
                26 مايو 2024
            ",
France 24,هل يتفق الكابينت على مقترح جديد للإفراج عن الرهائن؟,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240526-%D9%87%D9%84-%D9%8A%D8%AA%D9%81%D9%82-%D8%A7%D9%84%D9%83%D8%A7%D8%A8%D9%8A%D9%86%D8%AA-%D8%B9%D9%84%D9%89-%D9%85%D9%82%D8%AA%D8%B1%D8%AD-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%84%D9%84%D8%A7%D9%81%D8%B1%D8%A7%D8%AC-%D8%B9%D9%86-%D8%A7%D9%84%D8%B1%D9%87%D8%A7%D8%A6%D9%86,"
                26 مايو 2024
            ",
France 24,حفل ختام مهرجان كان السينمائي: عودة أمريكية قوية وموضوعات نسائية بامتياز,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%AB%D9%82%D8%A7%D9%81%D8%A9/20240525-%D8%AD%D9%81%D9%84-%D8%AE%D8%AA%D8%A7%D9%85-%D9%85%D9%87%D8%B1%D8%AC%D8%A7%D9%86-%D9%83%D8%A7%D9%86-%D8%A7%D9%84%D8%B3%D9%8A%D9%86%D9%85%D8%A7%D8%A6%D9%8A-%D8%B9%D9%88%D8%AF%D8%A9-%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A%D8%A9-%D9%82%D9%88%D9%8A%D8%A9-%D9%88%D9%85%D9%88%D8%B6%D9%88%D8%B9%D8%A7%D8%AA-%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%D8%A9-%D8%A8%D8%A7%D9%85%D8%AA%D9%8A%D8%A7%D8%B2,"
                26 مايو 2024
            ",
France 24,حملة إقالات في صفوف جنرالات روسيا,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240526-%D8%AD%D9%85%D9%84%D8%A9-%D8%A5%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D9%81%D9%8A-%D8%B5%D9%81%D9%88%D9%81-%D8%AC%D9%86%D8%B1%D8%A7%D9%84%D8%A7%D8%AA-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7,"
                26 مايو 2024
            ",
France 24,حماس تطلق صواريخ على تل أبيب للمرة الأولى منذ شهور وإسرائيل تواصل قصف رفح,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240526-%F0%9F%94%B4%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D9%82%D8%B5%D9%81-%D8%B1%D9%81%D8%AD-%D8%B1%D8%BA%D9%85-%D8%A3%D9%85%D8%B1-%D9%85%D8%AD%D9%83%D9%85%D8%A9-%D8%A7%D9%84%D8%B9%D8%AF%D9%84-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D8%A8%D9%88%D9%82%D9%81-%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA%D9%87%D8%A7-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9,"
                26 مايو 2024
            ",
France 24,إسرائيل: مظاهرات عارمة في شوارع تل أبيب للمطالبة بالإفراج عن الرهائن,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240526-%D9%85%D8%B8%D8%A7%D9%87%D8%B1%D8%A7%D8%AA-%D8%B9%D8%A7%D8%B1%D9%85%D8%A9-%D8%A8%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%84%D9%84%D8%B6%D8%BA%D8%B7-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9,"
                26 مايو 2024
            ",
France 24,في زيارة دولة إلى ألمانيا... ماكرون يدعو للدفاع عن الديمقراطية في مواجهة النزعة القومية,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240526-%D9%84%D9%84%D9%85%D8%B1%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D9%85%D9%86%D8%B0-%D8%B1%D8%A8%D8%B9-%D9%82%D8%B1%D9%86-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%81%D9%8A-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AF%D9%88%D9%84%D8%A9-%D8%A5%D9%84%D9%89-%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7-%D9%84%D8%AA%D8%AE%D9%81%D9%8A%D9%81-%D8%A7%D9%84%D8%AA%D9%88%D8%AA%D8%B1-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D8%A8%D9%84%D8%AF%D9%8A%D9%86,"
                26 مايو 2024
            ",
France 24,اللاجئون السوريون في لبنان.. هل يحمل مؤتمر المانحين لسوريا حلاً؟,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240526-%D9%85%D8%A4%D8%AA%D9%85%D8%B1-%D8%A7%D9%84%D9%85%D8%A7%D9%86%D8%AD%D9%8A%D9%86-%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%84%D8%A8%D9%86%D8%A7%D9%86,"
                26 مايو 2024
            ",
France 24,رولان غاروس: ألكاراس يبدد مخاوف الإصابة بعرض ملفت وأوساكا تضرب موعدا محتملا مع شفيونتيك,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240526-%D8%B1%D9%88%D9%84%D8%A7%D9%86-%D8%BA%D8%A7%D8%B1%D9%88%D8%B3-%D8%A3%D9%84%D9%83%D8%A7%D8%B1%D8%A7%D8%B3-%D9%8A%D8%A8%D8%AF%D8%AF-%D9%85%D8%AE%D8%A7%D9%88%D9%81-%D8%A7%D9%84%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%A8%D8%B9%D8%B1%D8%B6-%D9%85%D9%87%D9%8A%D9%85%D9%86-%D9%88%D8%A3%D9%88%D8%B3%D8%A7%D9%83%D8%A7-%D8%AA%D8%B6%D8%B1%D8%A8-%D9%85%D9%88%D8%B9%D8%AF%D8%A7%D9%8B-%D9%85%D8%AD%D8%AA%D9%85%D9%84%D8%A7%D9%8B-%D9%85%D8%B9-%D8%B4%D9%81%D9%8A%D9%88%D9%86%D8%AA%D9%8A%D9%83,"
                26 مايو 2024
            ",
France 24,بابوا غينيا الجديدة: تقديرات أممية تفيد بمصرع 670 شخصا بسبب انزلاق التربة,,,https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20240526-%D8%A8%D8%A7%D8%A8%D9%88%D8%A7-%D8%BA%D9%8A%D9%86%D9%8A%D8%A7-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%AA%D9%82%D8%AF%D9%8A%D8%B1%D8%A7%D8%AA-%D8%A3%D9%85%D9%85%D9%8A%D8%A9-%D8%AA%D9%81%D9%8A%D8%AF-%D8%A8%D9%85%D8%B5%D8%B1%D8%B9-670-%D8%B4%D8%AE%D8%B5%D8%A7-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%A7%D9%86%D8%B2%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D8%A9,"
                26 مايو 2024
            ",
