source,title,content,description,url,published_at,tags
France 24,ماكرون في زيارة دولة للمغرب لتكريس المصالحة بين باريس والرباط وطي صفحة الخلافات,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20241028-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%AA%D8%B1%D9%8A%D8%AF-%D8%B1%D8%B3%D9%85-%D8%A3%D9%87%D8%AF%D8%A7%D9%81-%D8%B7%D9%85%D9%88%D8%AD%D8%A9-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84%D8%A7%D8%AA-%D9%83%D8%AB%D9%8A%D8%B1%D8%A9-%D9%85%D8%B9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D8%A3%D8%AB%D9%86%D8%A7%D8%A1-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%84%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9,"
                28 أكتوبر 2024
            ",
France 24,تجنبا للفراغ السياسي.. رئيس الوزراء الياباني يتعهّد البقاء في المنصب رغم الهزيمة الانتخابية,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D8%AA%D8%AC%D9%86%D8%A8%D8%A7-%D9%84%D9%84%D9%81%D8%B1%D8%A7%D8%BA-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A-%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%8A%D8%A7%D8%A8%D8%A7%D9%86%D9%8A-%D9%8A%D8%AA%D8%B9%D9%87%D9%91%D8%AF-%D8%A7%D9%84%D8%A8%D9%82%D8%A7%D8%A1-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D8%B5%D8%A8-%D8%B1%D8%BA%D9%85-%D8%A7%D9%84%D9%87%D8%B2%D9%8A%D9%85%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D9%8A%D8%A9,"
                28 أكتوبر 2024
            ",
France 24,الرئيس ماكرون في المغرب.. هل ستفتح الزيارة فصلا جديدا في العلاقات الفرنسية المغربية؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B6%D9%8A%D9%81-%D8%A7%D9%84%D9%8A%D9%88%D9%85/20241028-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%87%D9%84-%D8%B3%D8%AA%D9%81%D8%AA%D8%AD-%D8%A7%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D9%81%D8%B5%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A7-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9,"
                28 أكتوبر 2024
            ",
France 24,مقترح مصري لوقف موقت لإطلاق النار في غزة ومفاوضات بالدوحة أملا في إنهاء الحرب,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D9%85%D9%82%D8%AA%D8%B1%D8%AD-%D9%85%D8%B5%D8%B1%D9%8A-%D9%84%D9%88%D9%82%D9%81-%D9%85%D8%A4%D9%82%D8%AA-%D9%84%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D8%A7%D8%B1-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9,"
                28 أكتوبر 2024
            ",
France 24,"هل تحدد ""الولايات المتأرجحة"" هوية الرئيس الأمريكي القادم؟",,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D8%A7%D9%84%D8%B3%D8%A8%D8%A7%D9%82-%D8%A7%D9%84%D8%B1%D8%A6%D8%A7%D8%B3%D9%8A-2,"
                28 أكتوبر 2024
            ",
France 24,غارات إسرائيلية مكثفة على جنوب لبنان,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D9%85%D9%83%D8%AB%D9%81%D8%A9-%D8%AC%D9%86%D9%88%D8%A8-%D9%84%D8%A8%D9%86%D8%A7%D9%86,"
                28 أكتوبر 2024
            ",
France 24,جورجيا: نتائج الانتخابات التشريعية تعكس تقربا من روسيا,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D8%AC%D9%88%D8%B1%D8%AC%D9%8A%D8%A7-%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%B4%D8%B1%D9%8A%D8%B9%D9%8A%D8%A9-%D8%AA%D8%B9%D9%83%D8%B3-%D8%AA%D9%82%D8%B1%D8%A8%D8%A7-%D9%85%D9%86-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7,"
                28 أكتوبر 2024
            ",
France 24,شركة تبيع ضوء الشمس أثناء الليل: لأي غاية؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%AA%D9%83%D9%86%D9%88/20241028-%D8%B4%D8%B1%D9%83%D8%A9-%D8%AA%D8%A8%D9%8A%D8%B9-%D8%B6%D9%88%D8%A1-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%A3%D8%AB%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D9%84%D9%8A%D9%84-%D9%84%D8%A3%D9%8A-%D8%BA%D8%A7%D9%8A%D8%A9,"
                28 أكتوبر 2024
            ",
France 24,"فرنسا تريد رسم ""أهداف طموحة في مجالات كثيرة"" مع المغرب أثناء زيارة ماكرون للمملكة",,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%81%D9%8A-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8,"
                28 أكتوبر 2024
            ",
France 24,فيديو: إسرائيل تعتزم إقرار قانون لحظر عمل الأونروا بالقدس والضفة الغربية,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241028-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AA%D8%B9%D8%AA%D8%B2%D9%85-%D8%A5%D9%82%D8%B1%D8%A7%D8%B1-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%AD%D8%B8%D8%B1-%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D8%A3%D9%88%D9%86%D8%B1%D9%88%D8%A7-%D8%A7%D9%84%D9%82%D8%AF%D8%B3-%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9,"
                28 أكتوبر 2024
            ",
