source,title,content,description,url,published_at,tags
France 24,وفاة الأميرة لطيفة والدة العاهل المغربي الملك محمد السادس,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%8A%D8%A9/20240629-%D9%88%D9%81%D8%A7%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%87%D9%84-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A-%D8%A7%D9%84%D9%85%D9%84%D9%83-%D9%85%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1%D8%A9-%D9%84%D9%84%D8%A7-%D9%84%D8%B7%D9%8A%D9%81%D8%A9,"
                29 يونيو 2024
            ",
France 24,"الجزائر: اعتقال صحافيين اثنين إثر نشر تسجيل لسيدتي أعمال ينتقد ""التهميش""",,,https://www.france24.com/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%8A%D8%A9/20240629-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%A7%D8%B9%D8%AA%D9%82%D8%A7%D9%84-%D8%B5%D8%AD%D8%A7%D9%81%D9%8A%D9%8A%D9%86-%D8%A7%D8%AB%D9%86%D9%8A%D9%86-%D8%A5%D8%AB%D8%B1-%D9%86%D8%B4%D8%B1-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D9%84%D8%B3%D9%8A%D8%AF%D8%AA%D9%8A-%D8%A3%D8%B9%D9%85%D8%A7%D9%84-%D9%8A%D9%86%D8%AA%D9%82%D8%AF-%D8%A7%D9%84%D8%AA%D9%87%D9%85%D9%8A%D8%B4,"
                29 يونيو 2024
            ",
France 24,سيلين ديون تكشف عن صراعها من أجل الحياة في وثائقي مؤثر,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240629-stream-time,"
                29 يونيو 2024
            ",
France 24,حماس: لا تقدم في محادثات وقف إطلاق النار بغزة مع إسرائيل,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240629-%F0%9F%94%B4-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D8%BA%D8%B2%D8%A9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AD%D9%85%D8%A7%D8%B3-%D9%87%D8%AC%D9%88%D9%85-%D8%A3%D9%83%D8%AA%D9%88%D8%A8%D8%B1-%D8%A7%D9%84%D9%8A%D9%85%D9%86-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%A7%D9%84%D9%8A%D9%85%D9%86-%D8%A7%D9%84%D8%AD%D9%88%D8%AB%D9%8A%D9%88%D9%86,"
                29 يونيو 2024
            ",
France 24,مداهمة مقار لمجموعة تاليس في فرنسا وهولندا وإسبانيا على خلفية تهم فساد تتعلق ببيع أسلحة,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240629-%D9%85%D8%AF%D8%A7%D9%87%D9%85%D8%A9-%D9%85%D9%82%D8%A7%D8%B1-%D9%84%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9-%D8%AA%D8%A7%D9%84%D9%8A%D8%B3-%D9%81%D9%8A-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%88%D9%87%D9%88%D9%84%D9%86%D8%AF%D8%A7-%D9%88%D8%A5%D8%B3%D8%A8%D8%A7%D9%86%D9%8A%D8%A7-%D8%B9%D9%84%D9%89-%D8%AE%D9%84%D9%81%D9%8A%D8%A9-%D8%AA%D9%87%D9%85-%D9%81%D8%B3%D8%A7%D8%AF-%D8%AA%D8%AA%D8%B9%D9%84%D9%82-%D8%A8%D8%A8%D9%8A%D8%B9-%D8%A3%D8%B3%D9%84%D8%AD%D8%A9,"
                29 يونيو 2024
            ",
France 24,الناخبون الموريتانيون يدلون بأصواتهم لاختيار رئيس للبلاد,,,https://www.france24.com/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%8A%D8%A9/20240629-%D8%A7%D9%84%D9%86%D8%A7%D8%AE%D8%A8%D9%88%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%B1%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D9%88%D9%86-%D9%8A%D8%AF%D9%84%D9%88%D9%86-%D8%A8%D8%A3%D8%B5%D9%88%D8%A7%D8%AA%D9%87%D9%85-%D9%84%D8%A7%D8%AE%D8%AA%D9%8A%D8%A7%D8%B1-%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%B1%D8%A6%D8%A7%D8%B3%D9%8A%D8%A9,"
                29 يونيو 2024
            ",
France 24,سباق فرنسا للدراجات: الفرنسي بارديه يفوز بالمرحلة الأولى تحت شمس فلورنسا الحارقة,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240629-%D8%B3%D8%A8%D8%A7%D9%82-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%84%D9%84%D8%AF%D8%B1%D8%A7%D8%AC%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A-%D8%A8%D8%A7%D8%B1%D8%AF%D9%8A%D9%87-%D9%8A%D9%81%D9%88%D8%B2-%D8%A8%D8%A7%D9%84%D9%85%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D8%AA%D8%AD%D8%AA-%D8%B4%D9%85%D8%B3-%D9%81%D9%84%D9%88%D8%B1%D9%86%D8%B3%D8%A7-%D8%A7%D9%84%D8%AD%D8%A7%D8%B1%D9%82%D8%A9,"
                29 يونيو 2024
            ",
France 24,هل تسعى الجزائر إلى منافسة المغرب في تصدير الطماطم إلى أوروبا؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A7%D9%84%D9%86%D8%A8%D8%B6-%D8%A7%D9%84%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%8A/20240628-%D9%87%D9%84-%D8%AA%D8%B3%D8%B9%D9%89-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%A5%D9%84%D9%89-%D9%85%D9%86%D8%A7%D9%81%D8%B3%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%81%D9%8A-%D8%AA%D8%B5%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D8%B7%D9%85%D8%A7%D8%B7%D9%85-%D8%A5%D9%84%D9%89-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7,"
                29 يونيو 2024
            ",
France 24,فرنسا: زوجة ساركوزي أمام القضاء مجددا في إطار التحقيق حول التمويل الليبي لحملته الانتخابية,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240629-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%B2%D9%88%D8%AC%D8%A9-%D8%B3%D8%A7%D8%B1%D9%83%D9%88%D8%B2%D9%8A-%D8%A3%D9%85%D8%A7%D9%85-%D8%A7%D9%84%D9%82%D8%B6%D8%A7%D8%A1-%D9%85%D8%AC%D8%AF%D8%AF%D8%A7-%D9%81%D9%8A-%D8%A5%D8%B7%D8%A7%D8%B1-%D8%A7%D9%84%D8%AA%D8%AD%D9%82%D9%8A%D9%82-%D8%AD%D9%88%D9%84-%D8%A7%D9%84%D8%AA%D9%85%D9%88%D9%8A%D9%84-%D8%A7%D9%84%D9%84%D9%8A%D8%A8%D9%8A-%D9%84%D8%AD%D9%85%D9%84%D8%AA%D9%87-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D9%8A%D8%A9,"
                29 يونيو 2024
            ",
France 24,فرنسا: الناخبون في بعض أقاليم ما وراء البحار يدلون بأصواتهم في الانتخابات التشريعية,,,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240629-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%A7%D9%84%D9%86%D8%A7%D8%AE%D8%A8%D9%88%D9%86-%D9%81%D9%8A-%D8%A8%D8%B9%D8%B6-%D8%A3%D9%82%D8%A7%D9%84%D9%8A%D9%85-%D9%85%D8%A7-%D9%88%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D8%A8%D8%AD%D8%A7%D8%B1-%D9%8A%D8%AF%D9%84%D9%88%D9%86-%D8%A8%D8%A3%D8%B5%D9%88%D8%A7%D8%AA%D9%87%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%B4%D8%B1%D9%8A%D8%B9%D9%8A%D8%A9,"
                29 يونيو 2024
            ",
