source,title,content,description,url,published_at,tags
France 24,سليمان زهيري من طولكرم: 50 ساعة من الحصار والتدمير الوحشي الإسرائيلي,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240830-50-%D8%B3%D8%A7%D8%B9%D8%A9-%D9%85%D9%86-%D8%A7%D9%84%D8%AD%D8%B5%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D8%AA%D8%AF%D9%85%D9%8A%D8%B1-%D8%A7%D9%84%D9%88%D8%AD%D8%B4%D9%8A,"
                30 أغسطس 2024
            ",
France 24,دوري الأمم الأوروبية: ديشان يكشف عن تشكيلة المنتخب الفرنسي الجديدة,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240830-%D8%AF%D9%8A%D8%B4%D8%A7%D9%86-%D9%8A%D9%83%D8%B4%D9%81-%D8%B9%D9%86-%D8%AA%D8%B4%D9%83%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,"
                30 أغسطس 2024
            ",
France 24,"الحوثيون يفخخون ناقلة النفط اليونانية ""سونيون"" ويفجروها",,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240830-%D8%A7%D9%84%D8%AD%D9%88%D8%AB%D9%8A%D9%88%D9%86-%D9%8A%D8%B3%D8%AA%D8%B9%D9%84%D8%B1%D8%B6%D9%88%D9%86-%D9%82%D9%88%D8%AA%D9%87%D9%85,"
                30 أغسطس 2024
            ",
France 24,اللاجئون السودانيون في مصر:  اتهامات باعتقالات تعسفية وبترحيل قسري,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B5%D8%AF%D9%89-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%82/20240830-%D8%A7%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%88%D9%86-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A%D9%88%D9%86-%D9%81%D9%8A-%D9%85%D8%B5%D8%B1-%D8%A7%D8%AA%D9%87%D8%A7%D9%85%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B9%D8%AA%D9%82%D8%A7%D9%84%D8%A7%D8%AA-%D8%AA%D8%B9%D8%B3%D9%81%D9%8A%D8%A9-%D9%88%D8%A8%D8%AA%D8%B1%D8%AD%D9%8A%D9%84-%D9%82%D8%B3%D8%B1%D9%8A,"
                30 أغسطس 2024
            ",
France 24,سياحة، شركات طيران، قطاع التكنولوجيا.. ما حجم الخسائر بسبب التصعيد في الشرق الأوسط؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A7%D9%84%D8%A3%D8%B3%D8%A8%D9%88%D8%B9-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A/20240830-%D8%A7%D9%84%D8%AA%D8%B5%D8%B9%D9%8A%D8%AF-%D8%A7%D9%84%D8%A3%D9%85%D9%86%D9%8A-%D9%81%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7-%D9%85%D8%A7-%D9%87%D9%8A-%D8%A7%D9%84%D8%A3%D8%B6%D8%B1%D8%A7%D8%B1-%D8%A7%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D9%88%D8%A7%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84,"
                30 أغسطس 2024
            ",
France 24,الانتخابات الرئاسية في تونس: المحكمة الإدارية تقضي بإعادة مرشحين للسباق الانتخابي,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B6%D9%8A%D9%81-%D8%A7%D9%84%D9%8A%D9%88%D9%85/20240830-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D8%A6%D8%A7%D8%B3%D9%8A%D8%A9-%D9%81%D9%8A-%D8%AA%D9%88%D9%86%D8%B3-%D8%A7%D9%84%D9%85%D8%AD%D9%83%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D8%A9-%D8%AA%D9%82%D8%B6%D9%8A-%D8%A8%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D9%85%D8%B1%D8%B4%D8%AD%D9%8A%D9%86-%D9%84%D9%84%D8%B3%D8%A8%D8%A7%D9%82-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D9%8A,"
                30 أغسطس 2024
            ",
France 24,"رئيسة مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية: معاناة سكان غزة ""تتجاوز ما يمكن لأي إنسان تحمله""",,,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240830-%D9%85%D8%B3%D8%A4%D9%88%D9%84%D8%A9-%D8%A3%D9%85%D9%85%D9%8A%D8%A9-%D9%85%D9%86-%D8%A3%D9%85%D8%A7%D9%85-%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D9%85%D8%B9%D8%A7%D9%86%D8%A7%D8%A9-%D8%B3%D9%83%D8%A7%D9%86-%D8%BA%D8%B2%D8%A9-%D8%AA%D8%AA%D8%AC%D8%A7%D9%88%D8%B2-%D9%85%D8%A7-%D9%8A%D9%85%D9%83%D9%86-%D9%84%D8%A3%D9%8A-%D8%A5%D9%86%D8%B3%D8%A7%D9%86-%D8%AA%D8%AD%D9%85%D9%84%D9%87,"
                30 أغسطس 2024
            ",
France 24,ألمانيا ترحل أفغانيين مدانين بجرائم إلى بلدهم للمرة الأولى منذ عودة طالبان إلى الحكم,,,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240830-%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7-%D8%AA%D8%B1%D8%AD%D9%8A%D9%84-%D8%A3%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86-%D8%AC%D8%B1%D8%A7%D8%A6%D9%85-%D8%B7%D8%A7%D9%84%D8%A8%D8%A7%D9%86,"
                30 أغسطس 2024
            ",
France 24,ألعاب باريس البارالمبية: روعة التليلي تمنح تونس أول ميدالية ذهبية بفوزها بنهائي رمي الجلة فئة إف 41,,,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240830-%D8%A7%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D8%A7%D9%84%D9%85%D8%A8%D9%8A%D8%A9-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3-2024-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D8%A9-%D8%B1%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%AA%D9%84%D9%8A%D9%84%D9%8A-%D8%AA%D9%81%D9%88%D8%B2-%D8%A8%D9%84%D9%82%D8%A8%D9%87%D8%A7-%D8%A7%D9%84%D8%B3%D8%A7%D8%A8%D8%B9-%D9%81%D9%8A-%D9%86%D9%87%D8%A7%D8%A6%D9%8A-%D8%B1%D9%85%D9%8A-%D8%A7%D9%84%D8%AC%D9%84%D8%A9-%D9%81%D8%A6%D8%A9-%D8%A5%D9%81-41,"
                30 أغسطس 2024
            ",
France 24,الضفة الغربية: ما هي الإستراتيجية الإسرائلية؟,,,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A7%D9%84%D9%86%D9%82%D8%A7%D8%B4/20240830-%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%85%D8%A7-%D9%87%D9%8A-%D8%A7%D9%84%D8%A5%D8%B3%D8%AA%D8%B1%D8%A7%D8%AA%D9%8A%D8%AC%D9%8A%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%84%D9%8A%D8%A9,"
                30 أغسطس 2024
            ",
