,source,title,content,description,url,published_at,tags
0,France 24,مقابلة الرئيس الجزائري مع صحيفة لوبينيون الفرنسية: شروط الحوار مع فرنسا والتطبيع مع إسرائيل,,"
                                                يتوقف حكيم بالطيفة في فقرة وجها لوجه عند  تشديد الرئيس الجزائري على وجوب أن تستأنف كل من الجزائر وفرنسا الحوار متى عبّر الرئيس الفرنسي بوضوح عن رغبته في ذلك وذلك في مقابلة أجرتها معه صحيفة لوبينيون الفرنسية تطرق خلالها إلى ملف الصحراء الغربية ومسألة التطبيع مع إسرائيل وقضايا أخرى، مع الضيفين في الأستوديو: السيدة رزيقة عدناني الفيلسوفة والباحثة في الفكر الإسلامي والسيد مصعب حمودي الباحث في العلوم السياسية وأستاذ العلوم السياسية في المدرسة العليا للعلوم الإنسانية في باريس.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250203-%D9%88%D8%AC%D9%87%D8%A7-%D9%84%D9%88%D8%AC%D9%87,03/02/2025 - 22:08,"

                                    الأخبار المغاربية
                            "
1,France 24,بعد ساعتين على تسلم مهامه.. رئيس وزراء بلجيكا يشارك في قمة أوروبية لتعزيز الإنفاق الدفاعي,,"
                                                أثرت تهديدات دونالد ترامب بفرض رسوم جمركية على اوروبا، على جدول أعمال قادة دول الاتحاد الأوروبي المجتمعين في بروكسل لمحاولة تعزيز إنفاقهم العسكري في مواجهة التهديد الروسي وتحت ضغط الرئيس الأميركي الجديد.   دعي إلى هذه ""القمة"" غير الرسمية للدول ال27 الأمين العام لحلف شمال الأطلسي مارك روتيه ورئيس الوزراء البريطاني كير ستارمر، على أن يتم تخصيصها لسبل تعزيز الدفاع عن أوروبا بعد نحو ثلاث سنوات على بدء الغزو الروسي لاوكرانيا.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250203-%D8%B1%D8%A6%D9%8A%D8%B3%D8%B4-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D8%A8%D9%84%D8%AC%D9%8A%D9%83%D8%A7,03/02/2025 - 14:51,"

                                    أوروبا
                            "
2,France 24,"""هجوم"" أوروبي مضاد في وجه أطماع ترامب التوسعية",,"
                                                استقبل المستشار الألماني أولاف شولتس رئيسة الوزراء الدنماركية الثلاثاء في برلين وأكّد إثر لقائهما أنه ينبغي ألا تغيّر الحدود ""بالقوّة""، في إحالة إلى تصريحات الرئيس الأميركي الجديد حول نيّة بلده ضمّ جزيرة غرينلاند التابعة للدنمارك والتي تتمتّع بحكم ذاتي.  والسبت، أكّد الرئيس الأميركي دونالد ترامب لصحافيين أن الولايات المتحدة ""ستحصل"" على غرينلاند التي تعدّ ""ضرورة مطلقة"" من أجل ""الأمن القومي والحرّية في العالم""، على حدّ قوله.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250203-%D9%87%D8%AC%D9%88%D9%85-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D9%8A-%D9%85%D8%B6%D8%A7%D8%AF-%D9%81%D9%8A-%D9%88%D8%AC%D9%87-%D8%A3%D8%B7%D9%85%D8%A7%D8%B9-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8,03/02/2025 - 14:44,"

                                    أوروبا
                            "
3,France 24,"الرئيس تبون يندد بـ""مناخ ضار"" بين الجزائر فرنسا في حوار أجرته معه صحيفة فرنسية",,"
                                                ندّد الرئيس الجزائري عبد المجيد تبون الأحد في مقابلة أجرتها معه صحيفة لوبينيون بـ""مناخ ضار"" بين الجزائر وفرنسا، مشدّدا على وجوب أن يستأنف البلدان الحوار متى عبّر الرئيس الفرنسي إيمانويل ماكرون بوضوح عن رغبة بذلك.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250203-%D8%B5%D8%AD%D9%8A%D9%81%D8%A9-%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D8%A9-%D8%AA%D8%AC%D8%B1%D9%8A-%D8%AD%D9%88%D8%A7%D8%B1%D8%A7-%D9%85%D8%B9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A-%D8%AA%D8%A8%D9%88%D9%86,03/02/2025 - 12:00,"

                                    أفريقيا
                            "
4,France 24,"الرئيس الجزائري يندّد بـ""مناخ ضار"" في العلاقات مع باريس",,"
                                                الرئيس الجزائري يندّد بـ""مناخ ضار"" في العلاقات مع باريس                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250203-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%AA%D8%A8%D9%88%D9%86,03/02/2025 - 22:08,"

                                    الأخبار المغاربية
                            "
5,France 24,مقابلة الرئيس الجزائري مع صحيفة لوبينيون الفرنسية: شروط الحوار مع فرنسا والتطبيع مع إسرائيل,,"
                                                يتوقف حكيم بالطيفة في فقرة وجها لوجه عند  تشديد الرئيس الجزائري على وجوب أن تستأنف كل من الجزائر وفرنسا الحوار متى عبّر الرئيس الفرنسي بوضوح عن رغبته في ذلك وذلك في مقابلة أجرتها معه صحيفة لوبينيون الفرنسية تطرق خلالها إلى ملف الصحراء الغربية ومسألة التطبيع مع إسرائيل وقضايا أخرى، مع الضيفين في الأستوديو: السيدة رزيقة عدناني الفيلسوفة والباحثة في الفكر الإسلامي والسيد مصعب حمودي الباحث في العلوم السياسية وأستاذ العلوم السياسية في المدرسة العليا للعلوم الإنسانية في باريس.                     ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%88%D8%AC%D9%87%D8%A7-%D9%84%D9%88%D8%AC%D9%87/20250203-%D9%85%D9%82%D8%A7%D8%A8%D9%84%D8%A9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A-%D9%85%D8%B9-%D8%B5%D8%AD%D9%8A%D9%81%D8%A9-%D9%84%D9%88%D8%A8%D9%8A%D9%86%D9%8A%D9%88%D9%86-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D8%A9-%D8%B4%D8%B1%D9%88%D8%B7-%D8%A7%D9%84%D8%AD%D9%88%D8%A7%D8%B1-%D9%85%D8%B9-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%88%D8%A7%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D8%B9-%D9%85%D8%B9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84,03/02/2025 - 22:27,"

                                    الأخبار المغاربية
                            "
6,France 24,فرنسا: هل ينجو بايرو من حجب الثقة؟,,"
                                                نستضيف في هذا العدد من ""حدث اليوم"" معنا الكاتب والصحفي مهدي مشبال ​​​​​​للحديث عن قرار رئيس الوزراء الفرنسي فرانسوا بايرو تمرير مشروع الميزانية ومشروع تمويل صندوق الضمان الاجتماعي دون اللجوء إلى التصويت في الجمعية الوطنية. هل ينجو فرانسوا بايرو من لائحة حجب الثقة على غرار ما حصل مع ميشال بارنييه؟                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%AD%D8%AF%D8%AB-%D8%A7%D9%84%D9%8A%D9%88%D9%85/20250203-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%87%D9%84-%D9%8A%D9%86%D8%AC%D9%88-%D8%A8%D8%A7%D9%8A%D8%B1%D9%88-%D9%85%D9%86-%D8%AD%D8%AC%D8%A8-%D8%A7%D9%84%D8%AB%D9%82%D8%A9,03/02/2025 - 21:01,"

                                    فرنسا
                            "
7,France 24,الجزائر: منع سفر تعسفي ضد المنتقدين وفق هيومن رايتس ووتش,,"
                                                الجزائر: منع سفر تعسفي ضد المنتقدين وفق هيومن رايتس ووتش                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250203-%D9%87%D9%8A%D9%88%D9%85%D9%86-%D8%B1%D8%A7%D9%8A%D8%AA%D8%B3-%D9%88%D9%88%D8%AA%D8%B4,03/02/2025 - 22:09,"

                                    الأخبار المغاربية
                            "
8,France 24,"إسرائيل توسع عملياتها في الضفة الغربية والسلطة الفلسطينية تتهمها بارتكاب ""تطهير عرقي""",,"
                                                أعلنت وزارة الصحة الفلسطينية الإثنين أن الجيش الاسرائيلي قتل 70 فلسطينيا في مختلف أنحاء الضفة الغربية المحتلة منذ بداية العام 2025. من جهتها دانت الرئاسة الفلسطينية في بيان الإثنين المخططات الإسرائيلية ""لتهجير المواطنين والتطهير العرقي"" في الضفة الغربية المحتلة، وطالبت الإدارة الأميركية بالتدخل.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250203-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%8A%D9%88%D8%B3%D8%B9-%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA%D9%87-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9,03/02/2025 - 14:38,"

                                    الشرق الأوسط
                            "
9,France 24,"سوريا: قتلى وجرحى في هجوم بسيارة مفخخة في منبج و""قسد"" تتهم الفصائل المدعومة من تركيا","

في ثاني هجوم يقع في المدينة خلال ثلاثة أيام، أفادت الوكالة العربية السورية للأنباء نقلا عن منشور للدفاع المدني على تلغرام الإثنين بمقتل 15 شخصا على الأقل في انفجار سيارة ملغومة في مدينة منبج الحدودية مع تركيا. وأسفر الانفجار عن سقوط أكبر عدد من القتلى في البلاد منذ الإطاحة ببشار الأسد في ديسمبر/كانون الأول الماضي.
ولم تعلن أي جهة حتى الآن مسؤوليتها عن الهجوم في منبج التي تقع على بعد نحو 30 كيلومترا من الحدود التركية.
وجاء في المنشور أن ""سيارة مفخخة انفجرت قرب سيارة تقل عمال زراعة على طريق رئيسي في أطراف مدينة منبج بريف حلب الشرقي، أدت إلى وقوع مجزرة مروعة راح ضحيتها 14 امرأة ورجل واحد، وإصابة 15 امرأة بجروح، بعضها بليغة ما يرشح عدد الوفيات للارتفاع"".
ونددت قوات سوريا الديمقراطية التي يقودها الأكراد بالتفجير واتهمت فصائل مدعومة من تركيا باستخدام هذه التفجيرات وأعمال العنف لترهيب السكان.
وتغيرت الجهة المسيطرة على منبج عدة مرات خلال الحرب السورية التي استمرت 13 عاما، وكان آخرها في ديسمبر/كانون الأول الماضي عندما انتزعت جماعات مدعومة من تركيا السيطرة عليها من قبضة ""قوات سوريا الديمقراطية"" (قسد) المدعومة من الولايات المتحدة. ووحدات حماية الشعب الكردية هي الفصيل الرئيسي في قوات سوريا الديمقراطية.


وانتزعت قوات سوريا الديمقراطية السيطرة على منبج من تنظيم ""الدولة الإسلامية"" في 2016.
وكانت الوكالة العربية السورية للأنباء قد ذكرت أن هجوما بسيارة ملغومة يوم السبت أدى إلى مقتل أربعة مدنيين وإصابة تسعة بينهم أطفال.
وأطاحت هيئة تحرير الشام بالأسد من السلطة في الثامن من ديسمبر/كانون الأول 2024 في هجوم خاطف. وأصبح قائدها أحمد الشرع رئيسا انتقاليا لسوريا الأسبوع الماضي.

فرانس24/ رويترز","
                                        في حصيلة مرشحة للارتفاع، لاقى 15 شخصا، من بينهم 14 امرأة، حتفهم الإثنين في مدينة منبج الحدودية مع تركيا شمال سوريا إثر انفجار سيارة مفخخة أثناء مرور حافلة تقل عمالا زراعيين. وسارعت قوات سوريا الديمقراطية (قسد) الكردية إلى اتهام فصائل مدعومة من تركيا بالوقوف خلف الانفجار لترهيب سكان المدينة. وهذا هو الحادث الثاني من نوعه في المدينة التي يتقاتل عليها الأكراد المدعومين من الولايات المتحدة والعرب المدعومين من تركيا.                ",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250203-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%82%D8%AA%D9%84%D9%89-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D9%81%D9%8A-%D9%87%D8%AC%D9%88%D9%85-%D8%A8%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9-%D9%85%D9%81%D8%AE%D8%AE%D8%A9-%D9%81%D9%8A-%D9%85%D9%86%D8%A8%D8%AC-%D9%88-%D9%82%D8%B3%D8%AF-%D8%AA%D8%AA%D9%87%D9%85-%D8%A7%D9%84%D9%81%D8%B5%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D9%85%D8%AF%D8%B9%D9%88%D9%85%D8%A9-%D9%85%D9%86-%D8%AA%D8%B1%D9%83%D9%8A%D8%A7,03/02/2025 - 14:56,"

                                    الشرق الأوسط
                            "
