,source,title,content,description,url,published_at,tags
0,France 24,غموض يلف مصير المفاوضات بين إسرائيل وحماس والحركة تطالب الوسطاء بتطبيق خطة بايدن,"
يخيم الغموض على جولة جديدة محتملة من المفاوضات بين إسرائيل وحماس من أجل التوصل إلى وقف لإطلاق النار في قطاع غزة وإطلاق سراح رهائن لدى الحركة. وطالبت حماس الأحد الوسطاء بتطبيق خطة لوقف إطلاق النار أعلنها الرئيس الأمريكي جو بايدن نهاية أيار/مايو الماضي، بدل الذهاب إلى جولات مفاوضات جديدة قد تعيد الأمور إلى نقطة الصفر.
وجاء في بيان لحماس ""إن الحركة تطالب الوسطاء بتقديم خطة لتنفيذ ما قاموا بعرضه على الحركة ووافقت عليه بتاريخ 2/7/2024، استنادا لرؤية بايدن وقرار مجلس الأمن، وإلزام الاحتلال بذلك، بدلا من الذهاب إلى مزيد من جولات المفاوضات أو مقترحات جديدة توفر الغطاء لعدوان الاحتلال، وتمنحه مزيدا من الوقت لإدامة حرب الإبادة الجماعية بحق شعبنا"".
وفي التاسع من الشهر الجاري، وبعد أيام على اغتيال رئيس المكتب السياسي لحماس إسماعيل هنية في طهران، وافقت إسرائيل على استئناف المحادثات الرامية للتوصل إلى هدنة والإفراج عن الرهائن في غزة، ردا على دعوة أطلقها الوسطاء الأمريكيون والمصريون والقطريون. أما حماس فلم تعلن بعد بوضوح موافقتها على المشاركة في المفاوضات.
ودعا قادة الولايات المتحدة ومصر وقطر الجمعة الماضي كلا من إسرائيل وحماس إلى الاجتماع لإجراء مفاوضات في 15 من هذا الشهر، إما في القاهرة أو الدوحة، لوضع اللمسات النهائية على اتفاق لوقف إطلاق النار في غزة وإطلاق سراح الرهائن.
وقالت إسرائيل إنها سترسل مفاوضين للمشاركة في الاجتماع. وذكرت حماس في بادئ الأمر أنها تدرس العرض، لكنها ألمحت الآن إلى أنها ربما لا تشارك في الجولة الجديدة من المحادثات.
ولم تتمخض أشهر طويلة من المفاوضات الماراثونية في عواصم دولية مختلفة عن التوصل إلى وقف لإطلاق النار، على الرغم من أجواء التفاؤل والتصريحات المطمئنة أحيانا، لكن اغتيال هنية في طهران ألقى بظلال كثيرة من الريبة على مستقبل التفاوض، بعد أن كان الرجل يلعبا دورا كبيرا في المفاوضات.
وبينما، يسعى الوسطاء إلى تهيئة الأجواء وتجاوز التوترات المتزايدة في الشرق الأوسط، تعقدت الأوضاع في قطاع غزة المحاصر بعد غارة للجيش الإسرائيلي على مدرسة ومسجد كان يأوي إليهما نازحون.
وما زال عمال الإغاثة يعملون في موقع الضربة التي نفذت السبت وأوقعت 93 قتيلا بينهم نساء وأطفال، وفق حصيلة للدفاع المدني في القطاع.
وبرر الجيش الإسرائيلي القصف باستهداف مسلحين، فيما توالت التنديدات الدولية، وتجددت الدعوات الموجهة لإسرائيل لتجنب ايقاع ضحايا مدنيين.
وحض الجيش الإسرائيلي الأحد المدنيين على مغادرة حي الجلاء بخان يونس التي كانت تعد منطقة آمنة، وأرسل رسائل نصية للسكان، ما دفع عائلات كثيرة إلى الرحيل، علما أنها سبق أن نزحت مرات عدة بسبب القصف المتواصل على القطاع منذ السابع تشرين الأول/أكتوبر الماضي.
","
                                        طالبت حركة حماس الأحد الوسطاء الدوليين بتنفيذ ما سبق أن عرضوه عليها ووافقت عليه مطلع تموز/يوليو الماضي، بدل الذهاب إلى جولات جديدة من المفاوضات. وعبرت الحركة عن مخاوفها من أن جولات جديدة من التفاوض ""تمنح الاحتلال مزيدا من الوقت لإدامة حرب الإبادة الجماعية بحق شعبنا"". يأتي ذلك بينما يحاول الوسطاء إعادة إسرائيل والحركة إلى طاولة المفاوضات هذا الأسبوع، في ظل مخاوف من تداعيات التوترات المتزايدة في المنطقة.                ",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240811-%D8%BA%D9%85%D9%88%D8%B6-%D9%8A%D9%84%D9%81-%D8%A7%D9%84%D9%85%D9%81%D8%A7%D9%88%D8%B6%D8%A7%D8%AA-%D8%A8%D9%8A%D9%86-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%88%D8%AD%D9%85%D8%A7%D8%B3-%D9%88%D8%A7%D9%84%D8%AD%D8%B1%D9%83%D8%A9-%D8%AA%D8%B7%D8%A7%D9%84%D8%A8-%D8%A7%D9%84%D9%88%D8%B3%D8%B7%D8%A7%D8%A1-%D8%A8%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AE%D8%B7%D8%A9-%D8%A8%D8%A7%D9%8A%D8%AF%D9%86,12/08/2024 - 01:04,"

                                    الشرق الأوسط
                            "
1,France 24,باريس تسدل الستار على ألعابها الأولمبية.. ولوس أنجلس تستلم مشعل دورة 2028,,"
                                                مررت ""عاصمة الأنوار"" الأحد المشعل الأولمبي إلى لوس أنجلس مع إسدال الستار على الدورة التي نظمتها باريس منذ 26 يوليو/تموز. فبشواطئها وتلالها واستوديوهاتها السينمائية المشهورة، ينبغي على ""مدينة الملائكة"" الأمريكية الاستعداد لاحتضان لألعاب 2028.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240812-%D8%AD%D9%81%D9%84-%D8%AE%D8%AA%D8%A7%D9%85%D9%8A-%D9%85%D8%A8%D9%87%D8%B1-%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3,12/08/2024 - 11:13,"
                                    الأخبار المغاربية
                            "
2,France 24,إسرائيل تترقب ردا عسكريا من حزب الله وإيران وواشنطن تعجل بإرسال تعزيزات للمنطقة,,"
                                                قال باراك رافيد مراسل أكسيوس على منصة إكس إن وزير الدفاع الإسرائيلي يوآف غالانت تحدث هاتفيا  الأحد مع نظيره الأمريكي لويد أوستن وأبلغه بأن الاستعدادات العسكرية الإيرانية تشير إلى أن طهران تجهز لشن هجوم واسع النطاق على إسرائيل، وذلك نقلا عن مصدر مطلع على ما جرى في المكالمة. وقالت وزارة الدفاع الأمريكية (البنتاغون) الأحد إن وزير الدفاع لويد أوستن أمر بنشر غواصة صواريخ موجهة في الشرق الأوسط، وأمر أيضا بتسريع إرسال حاملة الطائرات إبراهام لينكولن والمجموعة المرافقة لها إلى المنطقة.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240812-%D9%86%D8%B0%D8%B1-%D8%A8%D8%A7%D8%B4%D8%AA%D8%B9%D8%A7%D9%84-%D8%A7%D9%84%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A8%D8%B9%D8%AF-%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D9%85%D8%AE%D8%A7%D8%A8%D8%B1%D8%A7%D8%AA-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9,12/08/2024 - 11:06,"
                                    الأخبار المغاربية
                            "
3,France 24,"محادثات جنيف لوقف الحرب في السودان ""ستمضي قدما"" حتى لو غابت عنها الخرطوم؟",,"
                                                قال المبعوث الأمريكي الخاص توم بيرييلو اليوم الاثنين إن المحادثات الرامية لإنهاءالحرب المستمرة منذ 15 شهرا في السودان بين الجيش وقوات الدعمالسريع شبه العسكرية ستمضي قدما في جنيف هذا الأسبوع. وقالت واشنطن إنها تريد ""المضي قدما"" في اجتماع سويسرا حول السودان حتى في غياب الخرطوم                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240812-%D9%85%D8%AD%D8%A7%D8%AF%D8%AB%D8%A7%D8%AA-%D9%84%D9%88%D9%82%D9%81-%D8%AD%D8%B1%D8%A8-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D9%81%D9%8A-%D8%AC%D9%86%D9%8A%D9%81,12/08/2024 - 17:19,"
                                    الأخبار المغاربية
                            "
4,France 24,مقتل عشرات الفلسطينيين ونزوح الآلاف جراء الغارات الإسرائيلية المتواصلة على قطاع غزة,,"
                                                واصلت القوات الإسرائيلية عملياتها قرب مدينة خان يونس بجنوب قطاع غزة اليوم الاثنين وسط جهود دولية للتوصل إلى اتفاق لوقف القتال والحيلولة دون الانزلاق إلى صراع أوسع مع إيران ووكلائها في الشرق الأوسط.وقال مسعفون فلسطينيون إن 18 شخصا على الأقل قُتلوا وأُصيب عدد آخر في غارات جوية إسرائيلية على خان يونس اليوم الاثنين.وفي هذه الأثناء واصلت مزيد من العائلات والأفراد النزوح منمناطق مهددة بعد إصدار إسرائيل أوامر جديدة بإخلائها.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240812-%D9%85%D9%82%D8%AA%D9%84-142-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D8%A7-%D8%AE%D9%84%D8%A7%D9%84-48-%D8%B3%D8%A7%D8%B9%D8%A9-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9,12/08/2024 - 17:05,"
                                    الأخبار المغاربية
                            "
5,France 24,"دعوة للتظاهرة في فنزويلا للمطالبة بالاعتراف بـ""انتصار"" المعارضة والرئيس المنتهية ولايته يتمسك بالفوز","
من المنتظر أن تشهد فنزويلا السبت المقبل مظاهرات جديدة رافضة لنتائج الانتخابات الرئاسية المعلن عنها في البلاد. ودعت زعيمة المعارضة ماريا كورينا ماتشادو الأحد إلى التظاهر للاعتراف بـ""انتصار"" مرشح المعارضة في انتخابات 28 تموز/يوليو الماضي. وبينما، أعلن المجلس الوطني للانتخابات فوز الرئيس المنتهية ولايته نيكولاس مادورو، قالت المعارضة إن مرشحها غونزاليس أوروتيا هو الفائز، مشككة في نزاهة النتائج المعلنة من قبل مجلس الانتخابات.
وصادق المجلس في الثاني من آب/أغسطس على فوز مادورو بنسبة 52 في المائة، دون إعلان العدد الدقيق للأصوات وبيانات التصويت في مراكز الاقتراع، مشيرا إلى أنه تعرض لقرصنة معلوماتية.
وقالت ماتشادو، التي تعيش مختبئة منذ عشرة أيام، على شبكات التواصل الاجتماعي ""السبت 17 آب/أغسطس سنخرج إلى شوارع فنزويلا والعالم (...) لنهتف معا حتى يدعم العالم انتصارنا ويعترف بالحقيقة والسيادة الشعبية"".
وقال مرشح المعارضة للانتخابات الرئاسية إدموندو غونزاليس أوروتيا الذي حل محل ماتشادو، بعد أن أعلنت السلطات عدم أهليتها، ""لقد انتصرنا، لقد انتصرت فنزويلا (...) نراكم في السابع عشر من الشهر الجاري"".
تأتي هذه الدعوة، غداة مناشدة وجهها غونزاليس لمادورو من أجل ""وضع حد للعنف والملاحقات والإفراج فورا عن كل مواطنينا المحتجزين تعسفا"".
وأسفرت الاضطرابات التي أعقبت إعلان فوز مادورو عن مقتل 24 شخصا، وفق منظمات معنية بالدفاع عن حقوق الإنسان، بينما أعلن مادورو مقتل اثنين من أفراد الحرس الوطني وتوقيف أكثر من 2200 شخص.
وأطلقت المعارضة من جهتها موقعا على الإنترنت نشرت فيه نسخ 84 في المائة من الأصوات التي تم الإدلاء بها، وتظهر فوز مرشحها بفارق كبير وحصوله على 67 في المائة من الأصوات. لكن الحكومة تشدد على أن هذه النسخ مزورة.
","
                                        على وقع توترات سياسية مستمرة، دعت زعيمة المعارضة الفنزويلية ماريا كورينا ماتشادو الأحد إلى التظاهر السبت المقبل لمطالبة بالاعتراف بـ""انتصار"" المعارضة في الانتخابات الرئاسية، التي أجريت أواخر الشهر الماضي. وأعلن المجلس الوطني للانتخابات المرتبط بالسلطات فوز الرئيس المنتهية ولايته نيكولاس مادورو بولاية رئاسية ثالثة. لكن العديد من الدول شككت في النتيجة، بينما رفضت المعارضة الاعتراف بها، مؤكدة أن مرشحها نال الأغلبية.                ",https://www.france24.com/ar/%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7/20240812-%D8%AF%D8%B9%D9%88%D8%A9-%D9%84%D9%84%D8%AA%D8%B8%D8%A7%D9%87%D8%B1%D8%A9-%D9%81%D9%8A-%D9%81%D9%86%D8%B2%D9%88%D9%8A%D9%84%D8%A7-%D9%84%D9%84%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D9%81-%D8%A8%D9%80-%D8%A7%D9%86%D8%AA%D8%B5%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B1%D8%B6%D8%A9-%D9%88%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D9%87%D9%8A%D8%A9-%D9%88%D9%84%D8%A7%D9%8A%D8%AA%D9%87-%D9%8A%D8%AA%D9%85%D8%B3%D9%83-%D8%A8%D8%A7%D9%84%D9%81%D9%88%D8%B2,12/08/2024 - 03:43,"

                                    أمريكا
                            "
6,France 24,"اليونان تواصل جهود السيطرة على حرائق ""هائلة"" تقترب من العاصمة أثينا",,"
                                                أمر الدفاع المدني اليوناني الإثنين بإخلاء بلدات جديدة في ضاحية شمال شرق أثينا بعد إخلاء مدينة ماراثون التاريخية مساء الأحد، بمواجهة حريق هائل اندلع الأحد ويواصل الاتساع مقتربا بسرعة من العاصمة.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240812-%D8%A7%D9%84%D9%8A%D9%88%D9%86%D8%A7%D9%86-%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%AC%D9%87%D9%88%D8%AF-%D8%A7%D9%84%D8%B3%D9%8A%D8%B7%D8%B1%D8%A9-%D8%B9%D9%84%D9%89-%D8%AD%D8%B1%D8%A7%D8%A6%D9%82-%D8%A7%D9%84%D8%BA%D8%A7%D8%A8%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AF%D8%AE%D8%A7%D9%86-%D9%8A%D8%BA%D8%B7%D9%8A-%D8%A3%D8%AC%D8%B2%D8%A7%D8%A1-%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D8%A7%D8%B5%D9%85%D8%A9,12/08/2024 - 05:45,"
                                    الأخبار المغاربية
                            "
7,France 24,السودان: من إثيوبيا إلى سويسرا... محادثات بين ممثلي الجيش السوداني والدعم السريع لإنهاء الحرب,"
تحت إشراف الاتحاد الأفريقي، نظمت الأسبوع الماضي في أديس أبابا بإثيوبيا سلسلة من الاجتماعات بين الفرقاء السودانيين ومختلف القوات السياسية والجمعيات المحلية.
الهدف هو وضع ترتيبات الحكم وخطة لما بعد الحرب تأخذ بعين الاعتبار كل مكونات الشعب السوداني وتراعي مطالب القوى السياسية لبناء مستقبل جديد وواعد بعد نهاية الحرب.
هذه الأخيرة اندلعت في أبريل/نيسان 2023 بين الجيش السوداني النظامي بقيادة عبد الفتاح البرهان وقوات الدعم السريع التي يقودها الجنرال محمد حمدان دقلو المدعو ""حميدتي"".
واستغرقت هذه الاجتماعات ثلاثة أيام على الأقل. شارك فيها التحالف للقوى الديمقراطية تحت تسمية ""تقدم"" وقوى سياسية وحزبية أخرى، على غرار ""حركة تحرير السودان"" في دارفور بقيادة عبد الواحد نور. بالمقابل، لم يحضر ممثلو الجيش السوداني وقوات الدعم السريع هذا اللقاء.
وقال الناطق الرسمي باسم تحالف ""تقدم"" بكري الجاك إن ""اجتماعات أديس أبابا جاءت في إطار إطلاق عملية سياسية تؤسس لواقع ما بعد الحرب وذلك بالتزامن مع مباحثات وقف إطلاق النار"".
وأضاف أن الهدف أيضا منها هو ""تطوير رؤية مشتركة تضع تصورات حول الأجندة وأطراف العملية السياسية لتصحيح البداية الخاطئة، التي صاحبت اجتماع الاتحاد الأفريقي الشهر الماضي والذي جمع مجموعة جلها مناصرة لرؤية الحرب وسلطة الأمر الواقع"".
وفي نفس الأثناء، دعت الولايات المتحدة الأمريكية الجيش السوداني وقوات الدعم السريع بقيادة حميدتي إلى اجتماع أخر في سويسرا في 14 آب/أغسطس الحالي بهدف انهاء النزاع المسلح في السودان.
وقال وزير الخارجية الأمريكي أنطوني بلينكن في بيان إن واشنطن ""دعت القوات المسلحة السودانية وقوات الدعم السريع للمشاركة في محادثات بشأن وقف إطلاق النار، بوساطة الولايات المتحدة، تبدأ في 14 أغسطس/آب في سويسرا"".
وأضاف أن المحادثات التي ترعاها أيضا السعودية، ستضم الاتحاد الأفريقي ومصر والإمارات والأمم المتحدة بصفة مراقب، مشيرا أن هذه االلقاءات ""ترمي إلى تحقيق وقف العنف في جميع أنحاء البلاد، والسماح بوصول المساعدات الإنسانية إلى جميع من يحتاجون إليها، ووضع آلية مراقبة وتحقّق قوية من أجل ضمان تنفيذ أي اتفاق"".
هذا، وأكد قال قائد قوات الدعم السريع محمد حمدان دقلو في بيان إن قواته ستشارك في المحادثات على نحو بنّاء لتحقيق ""وقف شامل لإطلاق النار في جميع أنحاء البلاد، وتسهيل الوصول الإنساني لجميع المحتاجين"".
وأضاف: ""نحن نجدد موقفنا الثابت وهو الإصرار على إنقاذ الأرواح ووقف القتال وتمهيد الطريق إلى حل سياسي تفاوضي سلمي يعيد البلاد إلى الحكم المدني ومسار التحول الديمقراطي"".
بالمقابل، يبدو أن الحكومة السودانية غير مهتمة بهذا اللقاء ولن تحضره. فلقد قال وزير الاعلام السوداني جراهام عيد القادر في بيان عقب انتهاء المشاورات مع الوفد الأمريكي في جدة الأسبوع الماضي :""إن الوفد الأمريكي لم يقدم ما يبرر إنشاء منبر جديد للتفاوض"".
وسبق لمحمد بشير أبو نمو، رئيس وفد حكومة السودان أن قال في وقت سابق ""إن الاجتماعات التشاورية مع الولايات المتحدة في مدينة جدة السعودية انتهت دون التوصل إلى اتفاق على مشاركة وفد حكومي سوداني في محادثات مقررة في جنيف يوم 14 أغسطس/آب"".
أما وزارة الخارجية السودانية، فقد أكدت عبر بيان أن: ""أي مفاوضات قبل تنفيذ إعلان جدة الذي ينص على الانسحاب الشامل ووقف التوسع لن يكون مقبولا للشعب السوداني"".
وأضافت: ""بدلا من فتح منابر جديدة، نطالب بإجبار المتمردين على وقف عدوانهم وفرض عقوبات تردعهم وداعميهم""، في إشارة إلى قوات الدعم السريع.
وأوضحت قائلة إن ""أطراف مبادرة جنيف ذات أطراف منبر جدة والموضوعات متطابقة لما تم الاتفاق عليه سابقا""، مشددة على أن ""منبر جدة وما تم فيه من اتفاق هو الأساس لأي مفاوضات قادمة"".
وتجدر الإشارة إلى أنه على الرغم من النية الحسنة التي أظهرها كل من عبد الفتاح البرهان وحميدتي وإصرارهما على إيجاد حل سياسي للحرب، إلا أن جميع المحادثات التي نظمت في السابق بين الشخصيتين الرئيسيتين في السودان لم تفض إلى أية نتيجة إيجابية ولم توقف الحرب.
الحرب عقدت الوضع السياسي والإنساني إلى درجة أن ما يقارب مليوني شخص في السودان مهددون بالمجاعة بسبب عدم تمكن منظمات الإغاثة إيصال مساعدات غذائية وطبية للمتضررين وللنازحين.
وتسببت الحرب الدائرة في السودان منذ أكثر من 15شهرا في نزوح حوالي 5 مليون شخص من منازلهم وفق المفوضية السامية للأمم المتحدة لشؤون اللاجئين.
فيما بلغ عدد اللاجئين وفق نفس المفوضية إلى حوالي 800 ألف شخص هربوا إلى الدول المجاورة كمصر وأوغندا وإثيوبيا...
السودان واحد من بين الدول التي تمتلك ثروات طبيعية كبيرة في القارة الأفريقية، على غرار الأراضي الزراعية والقطن والمعادن، إضافة إلى موقعه الجغرافي الإستراتيجي.
كما شكلت عملية سقوط نظام البشير الذي حكم البلاد 30 عاما تقريبا فرصة سانحة لبناء مستقبل جديد.
فبعد بضع سنوات من شبه الاستقرار السياسي الذي عرفته البلاد من 2017 إلى غاية 2023 انقلب الوضع السياسي رأسا على عقب بسبب تناحر الرجلين القويين في البلاد وهما عبد الفتاح البرهان وحميدتي. فهل ستشرق الشمس من جديد على بلد النيلين الأزرق والأبيض؟","
                                        بعد اللقاء الذي جمع العديد من القوى السياسية ومنظمات المجتمع المدني نهاية الأسبوع الماضي في أديس أبابا تحت إشراف أفريقي، تعتزم الولايات المتحدة تنظيم محادثات أخرى في 14 آب/أغسطس بين ممثلي الجيش السوداني بقيادة عبد الفتاح البرهان، والجنرال حميدتي، قائد قوات الدعم السريع. لكن الحكومة السودانية أكدت بأنه لا يوجد أي مبرر لإنشاء منبر جديد للتفاوض.                ",https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20240812-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D9%85%D9%86-%D8%A5%D8%AB%D9%8A%D9%88%D8%A8%D9%8A%D8%A7-%D8%A5%D9%84%D9%89-%D8%B3%D9%88%D9%8A%D8%B3%D8%B1%D8%A7-%D9%85%D8%AD%D8%A7%D8%AF%D8%AB%D8%A7%D8%AA-%D8%A8%D9%8A%D9%86-%D9%85%D9%85%D8%AB%D9%84%D9%8A-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D9%88%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D9%84%D8%A5%D9%86%D9%87%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8,12/08/2024 - 12:44,"

                                    أفريقيا
                            "
8,France 24,بعد الهدنة الأولمبية، تحالف اليسار يضغط لتعيين مرشحته,,"
                                                بعد نهاية ما سمي بالهدنة الأولمبية، التي دعا إليها الرئيس الفرنسي إيمانويل ماكرون لعدم التأثير على احتضان باريس للألعاب الأولمبية، بادرت مرشحة التجمع الشعبي الجديد لوسيه كاستيه إلى مخاطبة أعضاء مجلس النواب في سعي للضغط على الرئيس الفرنسي ووضعه أمام الأمر الواقع في سياق من الحديث عن عدة خيارات بديلة من اليمين أو اليسار الوسط لرئاسة الحكومة. مالذي جاء في رسالة كاستيه إلى النواب؟ وما هي دلالاتها؟                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240812-chronique-internationale-poste-treve-olympique-12-8-2024,12/08/2024 - 14:35,"

                                    فرنسا
                            "
9,France 24,بدلا من جولة مفاوضات جديدة.. حماس تطالب بتطبيق خطة بايدن للتوصل لهدنة في غزة,,"
                                                طالبت حركة حماس الأحد الوسطاء بتطبيق خطة أعلنها الرئيس الأميركي جو بايدن نهاية أيار/مايو للتوصل إلى هدنة في الحرب الدائرة بينها وبين إسرائيل في قطاع غزة ""بدلا من الذهاب إلى مزيد من جولات التفاوض"".                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240812-%D8%AD%D9%85%D8%A7%D8%B3-%D8%AA%D8%B7%D8%A7%D9%84%D8%A8-%D8%A8%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AE%D8%B7%D8%A9-%D8%A8%D8%A7%D9%8A%D8%AF%D9%86,12/08/2024 - 11:07,"
                                    الأخبار المغاربية
                            "
