,source,title,content,description,url,published_at,tags
0,France 24,ستيفاني خوري: الوضع الأمني في ليبيا هش والقوات الأجنبية لم تغادرها,,"
                                                قالت نائبة الممثل الخاص للأمين العام للقائمة بأعمال رئيس بعثة الأمم المتحدة في ليبيا ستيفاني خوري إن الوضع الأمني في ليبيا هش والقوات الأجنبية لم تغادرها.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240619-%D8%AE%D9%88%D8%B1%D9%8A,19/06/2024 - 22:03,"

                                    الأخبار المغاربية
                            "
1,France 24,بوتين وكيم جونغ أون يوقعان في بيونغ يانغ اتفاقية شراكة استراتيجية شاملة,,"
                                                حظي الرئيس الروسي فلاديمير بوتين الأربعاء باستقبال حار في بيونغ يانغ من الزعيم كيم جونغ أون خلال زيارة هي الأولى له منذ 24 عاما إلى كوريا الشمالية. وتهدف الزيارة إلى تعميق الشراكة بين البلدين وتثمين موسكو لموقف بيونغ يانغ المساند لروسيا في حربها على أوكرانيا. ووقع البلدان اتفاقية شراكة استراتيجية شاملة تنص على ""المساعدة المتبادلة"" في حال تعرض أي من البلدين ""للعدوان"". وأكد الزعيمان على عمق الصداقة بين بلديهما التي أثار تعزيزها مؤخرا شكوكا عميقة لدى الولايات المتحدة والجارة كوريا الجنوبية.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240619-%D8%AA%D9%88%D9%82%D9%8A%D8%B9-%D9%88%D8%AB%D9%8A%D9%82%D8%A9-%D8%B4%D8%B1%D8%A7%D9%83%D8%A9-%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AA%D9%8A%D8%AC%D9%8A%D8%A9-%D8%A8%D9%8A%D9%86-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7-%D9%88%D9%83%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9,19/06/2024 - 14:25,"
                                    الأخبار المغاربية
                            "
2,France 24,هل تستخدم إسرائيل أسلحة العصور الوسطى لإحراق جنوب لبنان؟,,"
                                                في خضم التصعيد الأخير على الجبهة الإسرائيلية اللبنانية وحديث كل طرف من حزب الله والجيش الإسرائيلي عن استعداده لحرب شاملة إن اقتضى الأمر، ينتشر فيديو جديد على الشبكات الاجتماعية كالنار في الهشيم. نشاهد في الفيديو ما يُفترض أن يكون جنودا إسرائيليين يستخدمون منجنيقا وهو أحد الأسلحة التي كانت تستخدم في العصور الوسطى لحرق أراضي العدو. ينتشر الفيديو تحت عنوان ""إسرائيل تحرق جنوب لبنان باستخدام أسلحة العصور الوسطى"". في هذه الفقرة، نتحقق من صحة الفيديو ودقة التصريحات التي اصطحبته.                     ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%AD%D9%82%D9%8A%D9%82%D8%A9-%D8%A3%D9%85-%D9%81%D8%A8%D8%B1%D9%83%D8%A9/20240619-%D9%87%D9%84-%D8%AA%D8%B3%D8%AA%D8%AE%D8%AF%D9%85-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D8%A7%D9%84%D8%B9%D8%B5%D9%88%D8%B1-%D8%A7%D9%84%D9%88%D8%B3%D8%B7%D9%89-%D9%84%D8%A5%D8%AD%D8%B1%D8%A7%D9%82-%D8%AC%D9%86%D9%88%D8%A8-%D9%84%D8%A8%D9%86%D8%A7%D9%86,19/06/2024 - 23:46,"

                                    الشرق الأوسط
                            "
3,France 24,تونس: إحالة راشد الغنوشي وآخرين على القضاء بتهم تتعلق بالتآمر على أمن الدولة,,"
                                                تونس: إحالة رئيس حركة النهضة راشد الغنوشي وآخرين على القضاء بتهم تتعلق بالتآمر على أمن الدولة                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240619-%D8%A7%D9%84%D8%BA%D9%86%D9%88%D8%B4%D9%8A,19/06/2024 - 22:04,"

                                    الأخبار المغاربية
                            "
4,France 24,ارتفاع عدد القتلى المدنيين في النزاعات المسلحة حول العالم إلى 72 % عام 2023,,"
                                                ارتفع عدد القتلى المدنيين بسبب النزاعات المسلحة حول العالم 72 في المئة العام الماضي، وفق ما أعلن مفوض الأمم المتحدة السامي لحقوق الإنسان فولكر تورك الثلاثاء، معربا عن قلقه إزاء نسبة النساء والأطفال في صفوف هؤلاء الضحايا.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240619-%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D9%82%D8%AA%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%AF%D9%86%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%86%D8%B2%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D8%A9,19/06/2024 - 10:37,"
                                    الأخبار المغاربية
                            "
5,France 24,في الهند تموت القرى من العطش لتشرب مومباي,,"
                                                يعاني سكان القرى المجاورة للعاصمة الاقتصادية للهند مومباي من ندرة مياه الشرب ويتهمون السلطات بالسيطرة على مياه الآبار لتزويد مومباي بالمياه وغض الطرف عن حاجة القرى المجاورة لمياه الشرب. توفر الخزانات الضخمة في المنطقة حوالي 60% من المياه في مومباي، وفقا للسلطات المحلية. في درجات حرارة تتجاوز الأربعين يعتمد سكان القرى على إمدادات الحكومة بمياه الشرب غير المعالجة وبالتالي تنتشر بينهم الأمراض.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240619-%D9%81%D9%8A-%D8%A7%D9%84%D9%87%D9%86%D8%AF-%D8%AA%D9%85%D9%88%D8%AA-%D8%A7%D9%84%D9%82%D8%B1%D9%89-%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D8%B7%D8%B4-%D9%84%D8%AA%D8%B4%D8%B1%D8%A8-%D9%85%D9%88%D9%85%D8%A8%D8%A7%D9%8A,19/06/2024 - 12:14,"
                                    الأخبار المغاربية
                            "
6,France 24,كأس أمم أوروبا: ألمانيا أول المتأهلين للدور الثاني وسويسرا تقترب وكرواتيا في وضع معقد,"
تمكنت ألمانيا الأربعاء من كسب ورقة التأهل إثر فوزها على المجر في الجولة الثانية من دور المجموعات بكأس الأمم الأوروبية 2024.
وسجل جمالا موسيالا (22) والقائد إيلكاي غوندوغان (67) هدفي ألمانيا التي حققت فوزها الثاني بعد الأول على إسكتلندا 5-1 في المباراة الافتتاحية فانفردت بالصدارة بفارق ثلاث نقاط أمام سويسرا التي تلاقي إسكتلندا لاحقا، فيما منيت المجر بخسارتها الثانية بعد الأولى أمام سويسرا (1-3).
ودخل رجال المدرب يوليان ناغلسمان إلى اللقاء بمهمة مزدوجة على ملعب ""إم إتش بي، نيكار شتاديون"" في شتوتغارت ساعين إلى تأكيد انطلاقتهم القوية وفك عقدة منافسهم المجري.

وثأر ""دي مانشافت""، بطل العالم أربع مرات وأوروبا ثلاث مرات، من المجر التي هزمته 1-0 في عقر داره في لايبزيغ في الجولة الخامسة من دور المجموعات لمسابقة دوري الأمم الأوروبية في أيلول/سبتمبر 2022 بعدما تعادلا 1-1 في الجولة الثالثة في بودابست في 11 حزيران/يونيو من العام ذاته.
كما أهانت ألمانيا مبكرا إسكتلندا عندما أمطرت شباكها 5-1 في المباراة الافتتاحية الجمعة، فيما سقطت المجر السبت أمام سويسرا 3-1.

وبهذ الفوز تكون ألمانيا قد فكت عقدتها في التغلب على المجر في المباريات الثلاث الأخيرة بينهما حيث تعادل المنتخبان أيضا 2-2 في الجولة الثالثة من دور المجموعات للنسخة القارية التي أقيمت العام 2021 على ملعب ""أليانتس أرينا"" في ميونيخ.
في إطار المجموعة ذاتها، قاد المهاجم جيردان شاكيري منتخب سويسرا نحو مشارف التأهل لثمن النهائي بتسجيله هدف التعادل في مرمى أسكتلندا، التي كانت قد تقدمت بفضل هدف عكسي سجله المدافع فابيان شار خطأً في مرمى فريقه في الدقيقة 13، لكن سويسرا ردت سريعًا بعد 13 دقيقة بهدف شاكيري، مهاجم شيكاغو فاير الأمريكي.
وكانت سويسرا بحاجة إلى الفوز للحاق بألمانيا، لكنها اكتفت بنقطة واحدة عززت بها موقعها في المركز الثاني برصيد أربع نقاط. وبذلك، كسبت أسكتلندا نقطتها الأولى وارتقت إلى المركز الثالث على حساب المجر التي لا تملك أي نقاط.
وتقام الجولة الثالثة والأخيرة يوم الأحد المقبل، حيث تواجه سويسرا ألمانيا في فرانكفورت، بينما تلعب أسكتلندا أمام المجر في شتوتغارت.
وباتت سويسرا بحاجة إلى نقطة واحدة في مباراتها الأخيرة لضمان التأهل كصاحبة البطاقة الثانية المباشرة. وحتى في حال الخسارة، قد تضمن سويسرا التأهل نظرًا لتفوقها بفارق الأهداف على أسكتلندا إذا فازت الأخيرة على المجر، كما أن سويسرا تملك حظوظًا لبلوغ ثمن النهائي كأحد أفضل المنتخبات صاحبة المركز الثالث.
وحافظت ألبانيا على آمالها في بلوغ ثمن النهائي بنقطة ثمينة بعد أن صدمت كرواتيا بتعادل متأخر بنتيجة 2-2، مما عقّد تأهّل الكروات في الجولة الثانية من منافسات المجموعة الثانية.
وكانت كرواتيا في طريقها لتحقيق فوز صعب بعدما قلبت تأخرها بهدف سجله كاظم لاتشي في الدقيقة 11، إلى تقدم بهدفين في دقيقتين عبر أندري كراماريتش في الدقيقة 74 والبديل كلاوس غياسولا الذي سجل بالخطأ في مرمى منتخب بلاده في الدقيقة 76. ولكن غياسولا تمكن من إدراك التعادل المتأخر لصالح ألبانيا في الدقيقة الأخيرة من الوقت المحتسب بدل الضائع 90+5.
وبهذا التعادل، حصل المنتخبان على نقطتهما الأولى في البطولة، مع تفوق ألبانيا بفارق الأهداف. وتأتي هذه النتيجة قبل مواجهة القمة بين إسبانيا وإيطاليا حاملة اللقب يوم الخميس.
فرانس24/ أ ف ب","
                                        باتت ألمانيا مستضيف نهائيات كأس أوروبا 2024 لكرة القدم، أول المتأهلين إلى الدور الثاني بعد فوزها على المجر بهدفين نظيفين. وفي المجموعة ذاتها قاد المهاجم جيردان شاكيري منتخب سويسرا نحو مشارف التأهل لثمن النهائي بتسجيله هدف التعادل في مرمى أسكتلندا. أما في المجموعة الثانية فقد حافظت ألبانيا على آمالها في بلوغ ثمن النهائي بنقطة ثمينة بعد أن صدمت كرواتيا بتعادل متأخر بنتيجة 2-2، مما عقّد تأهّل الكروات.                ",https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240619-%D9%83%D8%A3%D8%B3-%D8%A3%D9%85%D9%85-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7-%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7-%D8%AA%D8%AD%D9%82%D9%82-%D9%81%D9%88%D8%B2%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A7-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%AC%D8%B1-%D9%88%D8%AA%D9%83%D8%B3%D8%A8-%D9%88%D8%B1%D9%82%D8%A9-%D8%A7%D9%84%D8%AA%D8%A3%D9%87%D9%84-%D9%84%D9%84%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D9%85%D9%82%D8%A8%D9%84,19/06/2024 - 19:56,"

                                    رياضة
                            "
7,France 24,مجلس الأمن: سفير السودان يحمل الإمارات المسؤولية عن استمرار الحرب في بلاده,,,https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240619-%D8%B3%D8%AC%D8%A7%D9%84-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D9%88%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D9%81%D9%8A-%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A,,
8,France 24,جامعة القرويين المغربية.. صرح تعليمي إسلامي عريق!,,"
                                                تعد جامعة القرويين في مدينة فاس في المغرب إحدى أقدم الجامعات في العالم وأقدم جامعة لاتزال تمارس نشاطها حتى يومنا هذا بحسب موسوعة غينيس. طلاب من جميع أنحاء العالم يأتون كل عام للدراسة فيها وللتعرف على المخطوطات النادرة التي تحويها.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B1%D9%8A%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC/20240619-%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D9%82%D8%B1%D9%88%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%B5%D8%B1%D8%AD-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A-%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A-%D8%B9%D8%B1%D9%8A%D9%82,19/06/2024 - 16:50,"

                                    أوروبا
                            "
9,France 24,"شبكة البث الاسرائيلية ""الاستخبارات كانت على علم بخطة هجمات 7 أكتوبر""",,"
                                                 كشفت هيئة البث الرسمية الإسرائيلية ""كان"" عن وثيقة استخباراتية تشير إلى أن الجيش وأجهزة الاستخبارات الإسرائيلية كانت على علم بتفاصيل خطة حماس للهجوم على المستوطنات والمراكز العسكرية في غلاف غزة وأن قيادة الجيش الإسرائيلي تجاهلت ذلك. تقرير يؤكد تقارير صحافية سابقة تتعزز هذا الأمر. مالذي جاء تحديدا في وثيقة الوحدة 8200 للجيش الاسرائيلي؟ وما هي أخبار التحقيق الذي فتح نهاية العام 2023 حول هذا الموضوع؟                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240619-chronique-internationale-8h,19/06/2024 - 08:28,"

                                    الشرق الأوسط
                            "
