,source,title,content,description,url,published_at,tags
0,France 24,رصد أول حالة وفاة داخل كبسولة الانتحار في سويسرا وﺍﻟﺸﺮﻃﺔ ﺗﻌﺘﻘﻞ أربعة أشخاص للتحقيق,,"
                                                ﻫﻞ ﺗﺬﻛﺮﻭﻥ ﻛﺒﺴﻮﻟﺔ ﺍﻻﻧﺘﺤﺎﺭ ساركو ﻫﺬﻩ ﺍﻟﺘﻲ ﺃﺛﺎﺭﺕ ﺟﺪﻻ ﻭﺍﺳﻌﺎ ﻓﻲ ﺳﻮﻳﺴﺮﺍ؟ ﻟﻨﺘﺬﻛﺮ ﻣﻌﺎ ﻛﻴﻒ ﻛﺎﻧﺖ ﺗﻌﻤﻞ؟ يشرح ﻓﻴﻠﻴﺐ ﻧﻴﺘﺸﻜﻲ، ﻣﺨﺘﺮﻉ الكبسوبة ﺳﺎﺭﻛﻮ قائلا ""ﻳﺪﺧﻞ ﺍﻷﺷﺨﺎﺹ ﺇﻟﻰ ﺍﻟﻜﺒﺴﻮﻟﺔ ﻭﻳﻐﻠﻘﻮﻥ ﺍﻟﻐﻄﺎﺀ ﻭﻳﺘﻢ ﻃﺮﺡ ﺃﺳﺌﻠﺔ ﻋﻠﻴﻬﻢ ﻟﻤﻌﺮﻓﺔ ﺃﻫﻠﻴﺘﻬﻢ ﺍﻟﻌﻘﻠﻴﺔ ﻣﻦ ﺃﻧﺖ ﺃﻳﻦ ﺃﻧﺖ ﻣﺎﺫﺍ ﻳﺤﺪﺙ ﺇﺫﺍ ﺿﻐﻄﺖ ﻋﻠﻰ ﻫﺬﺍ ﺍﻟﺰﺭ؟ ﻫﺬﺍ ﻳﺴﻤﺢ ﺑﺘﺸﻐﻴﻞ ﺳﺎﺭﻛﻮ ﺛﻢ ﻳُﺴﺄﻝ ﺍﻟﺸﺨﺺ ﻫﻞ ﺗﺮﻳﺪ ﺃﻥ ﺗﻤﻮﺕ؟ ﺍﻟﺼﻮﺕ ﺍﻟﻤﻮﺟﻮﺩ ﺩﺍﺧﻞ ﺍﻟﻜﺒﺴﻮﻟﺔ ﻳﻘﻮﻝ ﺇﺫﺍ ﻛﻨﺖ ﺗﺮﻳﺪ ﺍﻟﻤﻮﺕ ﺍﺿﻐﻂ ﻋﻠﻰ ﻫﺬﺍ ﺍﻟﺰﺭ ﺇﺫﺍ ﺿﻐﻂ ﺍﻟﺸﺨﺺ ﻋﻠﻰ ﺍﻟﺰﺭ ﻋﻠﻰ ﺍﻟﻔﻮﺭ ﻳﺘﻢ ﺗﺸﻐﻴﻞ ﺍﻟﻤﻮﻟﺪ ﻹﻧﺘﺎﺝ ﻛﻤﻴﺔ ﻛﺒﻴﺮﺓ ﻣﻦ ﺍﻟﻨﻴﺘﺮﻭﺟﻴﻦ ﻣﻤﺎ ﻳﺰﻳﻞ ﻛﻞ ﺍﻷﻛﺴﺠﻴﻦ ﺍﻟﻤﻮﺟﻮﺩ ﺩﺍﺧﻞ ﺍﻟﻜﺒﺴﻮﻟﺔ ﻧﻔﺴﻬﺎ"".                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240926-%D8%B1%D8%B5%D8%AF-%D8%A3%D9%88%D9%84-%D8%AD%D8%A7%D9%84%D8%A9-%D9%88%D9%81%D8%A7%D8%A9-%D8%AF%D8%A7%D8%AE%D9%84-%D9%83%D8%A8%D8%B3%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AD%D8%A7%D8%B1-%D9%81%D9%8A-%D8%B3%D9%88%D9%8A%D8%B3%D8%B1%D8%A7-%D9%88%EF%BA%8D%EF%BB%9F%EF%BA%B8%EF%BA%AE%EF%BB%83%EF%BA%94-%EF%BA%97%EF%BB%8C%EF%BA%98%EF%BB%98%EF%BB%9E-%D8%A3%D8%B1%D8%A8%D8%B9%D8%A9-%D8%A3%D8%B4%D8%AE%D8%A7%D8%B5-%D9%84%D9%84%D8%AA%D8%AD%D9%82%D9%8A%D9%82,26/09/2024 - 18:00,"
                                    الأخبار المغاربية
                            "
1,France 24,ارتفاع حصيلة الغارات الإسرائيلية على لبنان الأربعاء إلى 72 قتيلا,,"
                                                ارتفعت حصيلة القتلى جراء الغارات الإسرائيلية الأربعاء على مناطق عدة في لبنان الى 72 قتيلا، وفق ما أوردت وزارة الصحة، في وقت تستهدف غارات اسرائيلية كثيفة مناطق في شرق البلاد.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240926-%D9%85%D9%82%D8%AA%D9%84-72-%D8%B4%D8%AE%D8%B5%D8%A7-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%A3%D8%B1%D8%A8%D8%B9%D8%A7%D8%A1,26/09/2024 - 09:57,"
                                    الأخبار المغاربية
                            "
2,France 24,ما رد المغرب على قرار الجزائر فرض تأشيرة دخول على مواطنيه؟,,"
                                                رد المغرب على قرار الجزائر فرض تأشيرة دخول على مواطنيه                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240926-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8,26/09/2024 - 22:15,"

                                    الأخبار المغاربية
                            "
3,France 24,الإمارات.. طفلة ضحية للتنمر في برنامجٍ تلفزيوني,,"
                                                تستعرض هذه الحلقة من باب الويب العناوين التالية: الإمارات.. طفلة ضحية للتنمر, المغرب.. شاب يرغم فتاة على الركوب السيارة, مصر.. زفة لطفل في أول يوم دراسي, تونس.. مدير يرمم أرضية مدرسته وفي البحرين.. 20 توأم في مدرسة واحدة.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%88%D9%8A%D8%A8/20240926-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B7%D9%81%D9%84%D8%A9-%D8%B6%D8%AD%D9%8A%D8%A9-%D9%84%D9%84%D8%AA%D9%86%D9%85%D8%B1-%D9%81%D9%8A-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC%D9%8D-%D8%AA%D9%84%D9%81%D8%B2%D9%8A%D9%88%D9%86%D9%8A,26/09/2024 - 11:59,"

                                    أفريقيا
                            "
4,France 24,الدوري الأوروبي: نيس ويونايتد يحققان تعادلان وغلطة سراي يفوز على باوك,,"
                                                تعادل نيس 1-1 مع ريال سوسيداد في الدوري الأوروبي لكرة القدم بعدما سجل أندير بارينيتكسيا قائد الفريق الإسباني الهدف الأول قبل أن يسجل بابلو روزاريو هدف التعادل للفريق الفرنسي. واستهل مانشستر يونايتد مشواره بالتعادل 1-1 مع ضيفه تفينتي تحت الأمطار في ملعب أولد ترافورد اليوم الأربعاء. وحقق غلطة سراي بطل تركيا الفوز 3-1 على ضيفه باوك اليوناني بفضل هدف عبد الرحمن بابا بالخطأ في مرماه وهدفين من يونس أكجون وماورو إيكاردي. وسجل يانيس كونستانتيلياس للفريق الزائر.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240926-%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D9%85%D8%A8%D8%A7%D8%B1%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D9%88%D8%B1%D9%8A-%D8%A7%D9%84%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D9%8A,26/09/2024 - 11:31,"
                                    الأخبار المغاربية
                            "
5,France 24,نزوح نحو نصف مليون لبناني من الجنوب بسبب الغارات الإسرائيلية,,"
                                                أعلنت الأمم المتحدة الأربعاء أن أكثر من تسعين ألف شخص نزحوا على وقع الغارات الإسرائيلية الكثيفة على مناطق عدة في لبنان في الأيام الأخيرة، في خضم التصعيد المتواصل مع حزب الله.  وكان وزير الخارجية اللبناني عبد الله بوحبيب قال الثلاثاء إنّ النازحين بسبب التصعيد الراهن ""ربما يقترب عددهم الآن من نصف مليون"".                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240926-%D9%86%D8%B2%D9%88%D8%AD-%D9%86%D8%AD%D9%88-%D9%86%D8%B5%D9%81-%D9%85%D9%84%D9%8A%D9%88%D9%86-%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A-%D9%85%D9%86-%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%A8-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%A3%D8%B4%D8%B1%D9%81-%D8%B9%D8%A8%D9%8A%D8%AF,26/09/2024 - 14:44,"
                                    الأخبار المغاربية
                            "
6,France 24,مع رجال الإسعاف والإطفاء في النبطية بلبنان بعد غارات إسرائيلية,,"
                                                تقصف إسرائيل بلا هوادة لبنان وخاصة جنوبه ومنطقة النبطية. ويحاول يقوم رجال الإطفاء بالتدخل بشكل دوري لإنقاذ ضحايا التفجيرات والصربات الإسرائيلية المتواصلة.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240926-%D9%85%D8%B9-%D9%81%D8%B1%D9%82-%D8%A7%D9%84%D8%A5%D8%B3%D8%B9%D8%A7%D9%81-%D9%88%D8%A7%D9%84%D8%A5%D8%B7%D9%81%D8%A7%D8%A1-%D9%81%D9%8A-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D9%86%D8%A8%D8%B7%D9%8A%D8%A9-%D8%A8%D9%84%D8%A8%D9%86%D8%A7%D9%86,26/09/2024 - 12:14,"
                                    الأخبار المغاربية
                            "
7,France 24,قبل عرض مشروع الميزانية أمام البرلمان... استطلاع يؤكد استياء غالبية الفرنسيين من الحكومة الجديدة,"
بينما يستعد رئيس الوزراء الفرنسي الجديد ميشال بارنييه لعرض السياسة العامة لحكومته أمام البرلمان، أظهر استطلاع للرأي أجراه معهد ""إيلاب"" لصالح قناة ""بي إيف إيم"" أن 6 فرنسيين من أصل 10 غير راضين عن التشكيلة التي اختارها.
وأشار الاستطلاع إلى وجود نوع من الاستياء لدى ما يقارب 80 بالمائة من الفرنسيين بسبب ""عدم الأخذ بعين الاعتبار نتائج الانتخابات التشريعية المبكرة في تشكيل الحكومة الجديدة"".
وسرعان ما برزت خلافات داخل الحكومة (التي تم كشفها في 21 سبتمبر/أيلول)، لا سيما بين وزيري العدل والداخلية حول تطبيق الأحكام القضائية، فيما صرح وزير الاقتصاد تيري أرمون بأنه ""منفتح للعمل مع جميع الأحزاب الجمهورية باستثناء التجمع الوطني كونه غير جمهوري"".
لكن ساعات قليلة بعد هذا التصريح، انتقدت زعيمة اليمين المتطرف مارين لوبان ورئيسة كتلة حزبها التجمع الوطني في الجمعية الوطنية تصريح الوزير، ووصفته بأنه ""غير مناسب"" خاصة ""قبل بضعة أيام من طرح مشروع ميزانية الدولة 2025 أمام البرلمان"".

وكانت لوبان تلمح لإمكانية حزبها عدم التصويت على الميزانية، الأمر الذي قد يخلق أزمة جديدة في البلاد.
وللحيلولة دون وقوع هذا السيناريو، طلب رئيس الحكومة ميشال بارنييه من وزير الاقتصاد تيري أرمون العدول عن موقفه.
وأظهر استطلاع معهد ""إيلاب"" أن 64 بالمائة من أنصار التجمع الوطني يعارضون الحكومة الجديدة، مقابل 78 بالمائة لليساريين. وفي الوقت ذاته، أعرب 75 بالمائة من مناصري حزب ""الجمهوريون"" (اليمين المعتدل) و69 بالمائة من مناصري حزب التحالف الرئاسي عن دعمهم للتشكيلة الحكومية الجديدة.
وفي استطلاع أخر أجراه نفس المعهد في 6 سبتمبر/أيلول، اعتبر 74 بالمائة من الفرنسيين أن ""تعيين ميشال بارنييه على رأس الحكومة الفرنسية لا يتناسب مع النتائج التي أفرزتها صناديق الاقتراع في 7 يوليو/تموز"".
وقال 80 بالمائة منهم بأن الحكومة لا ""تعكس نتائج الانتخابات"".

من جهة أخرى، كشف الاستطلاع أن 78 بالمائة من الفرنسيين يرون أن الحكومة الجديدة غير قادرة على ""تحسبن قدرتهم الشرائية وتقليص الفوارق الاجتماعية ولن تحسن النظام الصحي ولن ترفع التحديات التي تطرحها الأزمة المناخية"".
وبينما ستطرح الحكومة مشروع ميزانية 2025 للمصادقة على نواب البرلمان في 9 أكتوبر/تشرين الأول، حذر وزير الاقتصاد الجديد أن وضع الميزانية في ""خطر"" داعيا الفرنسيين إلى ""تشديد الحزام"" من أجل عودة التوازن المالي.
من جهته، أكد وزير الخزينة لوران سان مرتان أن ""الوضع المالي صعب للغاية"". وحذر أمام أعضاء اللجنة المالية التابعة للجمعية الوطنية من أن قطاعات اقتصادية عديدة ستخضع لتخفيضات في ميزانيتها، قبل ربما التفكير في رفع نسبة الضرائب.
وأكد في هذا السياق: ""لا نريد أن نمس الطبقات الوسطى. يجب أن نفتح النقاش حول هذا الموضوع"".","
                                        قبل أيام من طرح مشروع الميزانية 2025 للنقاش أمام نواب الجمعية الوطنية، أظهر استطلاع للرأي أن معظم الفرنسيين لا يساندون الحكومة الجديدة التي يقودها ميشال بارنييه لأنها لا تعكس نتائج الانتخابات التشريعية المبكرة التي جرت في يوليو/تموز. فيما شدد العجز المالي من حدة الأزمة، ليضع الحكومة في موقع حرج خاصة وأنها بحاجة إلى أصوات اليمين المتطرف للحصول على مصادقة البرلمان.                ",https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240926-%D9%82%D8%A8%D9%84-%D8%B9%D8%B1%D8%B6-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%A7%D9%84%D9%85%D9%8A%D8%B2%D8%A7%D9%86%D9%8A%D8%A9-%D8%A3%D9%85%D8%A7%D9%85-%D8%A7%D9%84%D8%A8%D8%B1%D9%84%D9%85%D8%A7%D9%86-%D8%A7%D8%B3%D8%AA%D8%B7%D9%84%D8%A7%D8%B9-%D9%8A%D8%A4%D9%83%D8%AF-%D8%A7%D8%B3%D8%AA%D9%8A%D8%A7%D8%A1-%D8%BA%D8%A7%D9%84%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D9%86-%D9%85%D9%86-%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,26/09/2024 - 15:44,"

                                    فرنسا
                            "
8,France 24,بوتين يهدد من جديد باستخدام الأسلحة النووية.. ما الجديد هذه المرة؟,,"
                                                أشار الكرملين الخميس إلى أن العقيدة النووية الجديدة التي طرحها بوتين وتسمح لموسكو باستخدام أسلحة نووية ضد بلدان غير نووية يجب أن تكون بمثابة تحذير للغرب. وكان الرئيس الروسي فلاديمير بوتين قد حذر الأربعاء من أن بلاده قد تنظر في ""إمكان"" استخدام الأسلحة النووية في حال ""إطلاق كثيف"" لطائرات أو صواريخ أو طائرات مسيّرة على أراضيها.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240926-%D8%A8%D9%88%D8%AA%D9%8A%D9%86-%D9%8A%D9%87%D8%AF%D8%AF-%D9%85%D9%86-%D8%AC%D8%AF%D9%8A%D8%AF,26/09/2024 - 11:24,"
                                    الأخبار المغاربية
                            "
9,France 24,"فيلم ""حلوة يا أرضي"" يمثل الأردن في سباق الأوسكار لأفضل فيلم دولي","
رشح الأردن الفيلم الوثائقي الطويل ""حلوة يا أرضي"" للمخرجة سارين هيرابديان لتمثيله في المنافسة على جائزة أوسكار أفضل فيلم دولي في الدورة السابعة والتسعين للجوائز الأشهر عالمياً في مجال السينما.
وقالت الهيئة الملكية الأردنية للأفلام في بيان الأربعاء: ""اختارت لجنة مستقلة بالكامل مؤلفة من ستة أعضاء - خبراء ومهنيين أردنيين معنيين بالقطاع المرئي والمسموع - الفيلم"".
العمل المرشح من إنتاج الأردنية عزة حوراني، وحصل على منحة تطوير من صندوق الأردن لدعم الأفلام، وهو الفيلم الطويل الأول لمخرجته التي حاز فيلمها الوثائقي السابق ""لم ننته بعد"" على العديد من الجوائز.
ويتناول الفيلم قصة الطفل فريج البالغ من العمر 11 عاما، والذي يحلم بأن يصبح طبيب أسنان في قريته، لكن الصراع يندلع فجأة حوله، ويضطر للفرار مع عائلته التي لم تجد عند عودتها سوى وطن مدمر.
وكتبت مخرجة الفيلم على صفحتها في فيس بوك بالإنجليزية: ""نمر بأوقات صعبة، والحاجة إلى إعلاء أصوات الذين يعانون أصبحت أكثر إلحاحا من أي وقت مضى"".
وأضافت: ""نتشرف بهذا الاختيار، وممتنون للفريق الرائع الذي آمن دائما بأهمية سرد قصة فريج. مبروك"".
من المنتظر أن تعلن الأكاديمية الأمريكية لفنون وعلوم السينما القائمة الأولية للأفلام المنافسة على جائزة أفضل فيلم دولي في كانون الأول/ديسمبر، فيما سيعلن عن القائمة المختصرة في كانون الثاني/يناير 2025.","
                                        يمثل فيلم ""حلوة يا أرضي"" الأردن في المنافسة على جائزة أوسكار لأفضل فيلم دولي في الدورة السابعة والتسعين. الفيلم من إنتاج الأردنية عزة حوراني ومن إخراج سارين هيرابديان، ويتناول قصة الطفل فريج الذي يحلم بأن يصبح طبيب أسنان في قريته، ولكن صراعات الحرب تجبره على الفرار مع عائلته. وقالت الهيئة الملكية الأردنية للأفلام في بيان الأربعاء: ""اختارت لجنة مستقلة بالكامل مؤلفة من ستة أعضاء - خبراء ومهنيين أردنيين معنيين بالقطاع المرئي والمسموع - الفيلم"".                ",https://www.france24.com/ar/%D8%AB%D9%82%D8%A7%D9%81%D8%A9/20240925-%D9%81%D9%8A%D9%84%D9%85-%D8%AD%D9%84%D9%88%D8%A9-%D9%8A%D8%A7-%D8%A3%D8%B1%D8%B6%D9%8A-%D9%8A%D9%85%D8%AB%D9%84-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86-%D9%81%D9%8A-%D8%B3%D8%A8%D8%A7%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D9%83%D8%A7%D8%B1-%D9%84%D8%A3%D9%81%D8%B6%D9%84-%D9%81%D9%8A%D9%84%D9%85-%D8%AF%D9%88%D9%84%D9%8A,26/09/2024 - 01:13,"

                                    ثقافة
                            "
