,source,title,content,description,url,published_at,tags
0,France 24,الادعاء الأمريكي العام يقدم لائحة اتهام جديدة ضد ترامب في قضية محاولة تغيير نتيجة انتخابات 2020,"
في قضية محاولته قلب نتائج الانتخابات الرئاسية التي فاز فيها جو بايدن في العام 2020, قدم الادعاء الأمريكي العام الثلاثاء لائحة اتهامية معدلة ضد الرئيس السابق دونالد ترامب. وأبقت اللائحة على التهم الأربع لكنها باتت تأخذ في الاعتبار القرار الذي أصدرته المحكمة العليا مؤخرا والذي قضى بأن ترامب يتمتع بحصانة تحميه على نطاق واسع من الملاحقة القضائية في قضايا جنائية.
وتقع اللائحة الاتهامية الجديدة في 36 صفحة، فيما السابقة كانت تقع في 45 صفحة، وقد حذفت منها مواد شملها قرار المحكمة العليا ذات الغالبية المحافظة. لكن نواة اللائحة الاتهامية بقيت نفسها، إذ إنها تشير إلى أن ترامب خسر انتخابات 2020 وكان مع ذلك ""مصمما على البقاء في السلطة"" وحاول تاليا قلب النتائج.
وفي تموز/يوليو أصدرت المحكمة العليا قرارا قضى بأن الرؤساء السابقين يتمتعون بحصانة تحميهم على نطاق واسع من الملاحقة القضائية في قضايا جنائية عن أفعالهم الرسمية خلال توليهم المنصب. وأثار القرار تساؤلات حول إمكان مواصلة ملاحقة ترامب قضائيا.
ووصف ترامب اللائحة الاتهامية المعدلة بأنها ""عمل يائس"" يندرج في إطار ما يعتبره حملة اضطهاد يتعرض لها. وقال الرئيس السابق في منشور على منصته تروث سوشال إن ""المستشار الخاص المعين خلافا للقانون جاك سميث، قدم لائحة اتهام جديدة سخيفة ضدي، تحوي كل مشاكل اللائحة الاتهامية القديمة، ويجب ردها على الفور"".
ويأتي تقديم اللائحة الاتهامية المعدلة قبل ثلاثة أيام من موعد تقديم المدعي الخاص جاك سميث الذي وجّه التهم لترامب ومحامي الرئيس السابق جدولا زمنيا للإجراءات التمهيدية للمحاكمة. وكانت القاضية تانيا تشاتكان التي ترأس المحاكمة، قد حددت موعدا لجلسة تقييمية في الخامس من أيلول/سبتمبر، لكن لم يتضح على الفور ما إذا كانت الجلسة ستعقد في موعدها بعد تقديم اللائحة الاتهامية المعدلة.
ويسعى محامو ترامب إلى تأجيل المحاكمة إلى ما بعد الانتخابات الرئاسية المقرر إجراؤها في الخامس من تشرين الثاني/نوفمبر والتي يتنافس فيها الرئيس السابق مع نائبة الرئيس كامالا هاريس. وترامب متهم بالتآمر للاحتيال على نظام الولايات المتحدة والتآمر لعرقلة إجراءات رسمية خلال الجلسة المشتركة للكونغرس في السادس من كانون الثاني/يناير 2021 التي هاجمها خلالها مناصرون له مبنى الكابيتول. وهو متهم أيضا بالسعي لحرمان ناخبين أمريكيين من حق التصويت من خلال حملة ادعاءات كاذبة زعم فيها أنه فاز في انتخابات 2020.
وكان مقررا أن تبدأ محاكمته في الرابع من آذار/مارس، لكنها عُلقت بعدما استدعى دفع محاميه بتمتعه بالحصانة بت المحكمة العليا بالأمر. وسيقع على عاتق تشاتكان التي عينها الرئيس السابق باراك أوباما أن تقرر أي أفعال لترامب في ما يتصل بانتخابات 2020 كانت رسمية وأيها كانت غير رسمية وبالتالي تُمكِن ملاحقته قضائيا عنها. ومن المتوقع أن يستغرق ذلك، إلى جانب مسائل أخرى في الإجراءات التمهيدية للمحاكمة، أشهرا، ما يعني أنه سيكون من غير المرجح أن تحال القضية إلى المحاكمة قبل الانتخابات الرئاسية.
وتم في اللائحة الاتهامية الجديدة إسقاط كل ما يشير إلى جيفري كلارك، وهو مسؤول رفيع سابق في وزارة العدل كان واحدا من ستة شركاء في التآمر مدرجين في اللائحة الاتهامية الأصلية. وجاء في قرار المحكمة العليا أن تواصل الرئيس مع موظفين في وزارة العدل يعد من الأفعال الرسمية. أما بقية الشركاء في التآمر، ومن بينهم المحامي الشخصي السابق لترامب رودي جولياني، ""فكانوا يتصرفون على نحو شخصي""، وفق اللائحة الاتهامية المعدلة ""لمساعدته في جهوده الإجرامية لقلب النتائج الشرعية للانتخابات الرئاسية لعام 2020 والاحتفاظ بالسلطة"".
وصدرت بحق ترامب 34 إدانة قضائية تتعلق بتزوير سجلات تجارية للتستر على دفع مبلغ 130 ألف دولار لشراء صمت ممثلة الأفلام الإباحية ستورمي دانييلز في المرحلة الأخيرة من الحملة الانتخابية في 2016. وكان من المقرر أن تعقد جلسة إصدار الحكم في 18 أيلول/سبتمبر، لكن محامي ترامب طلبوا إلغاء إدانته بعد صدور قرار المحكمة العليا المتصل بتمتعه بالحصانة، وإرجاء جلسة النطق بالحكم.
ويواجه ترامب أيضا تهما في ولاية جورجيا على صلة بسعيه لقلب نتائج انتخابات 2020. ووُجّهت إلى ترامب في فلوريدا 31 تهمة على صلة باحتفاظه بوثائق مصنفة سرية أخذت من البيت الأبيض لدى انتهاء ولايته. لكن في الشهر الماضي أسقطت القاضية آيلين كانون الناظرة في القضية الدعوى الجنائية المرفوعة ضده، وخلصت إلى أن تعيين المدعي الخاص جاك سميث كان مخالفا للقانون. وتقدم سميث بطعن في قرار كانون.
","
                                        نظرا لتمتعه بحصانة تحميه على نطاق واسع من الملاحقة القضائية في قضايا جنائية، قدم الادعاء الأمريكي العام الثلاثاء لائحة اتهامات معدلة ضد الرئيس السابق دونالد ترامب في قضية محاولته قلب نتائج الانتخابات الرئاسية في العام 2020، تأخذ في الحسبان قرار المحكمة العليا في يوليو/تموز الماضي. وهاجم ترامب اللائحة الجديدة معتبرا أنها فصل جديد فيما يعتبره حملة اضطهاد منظمة بحقه.                ",https://www.france24.com/ar/%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D8%A7/20240828-%D8%A7%D9%84%D8%A7%D8%AF%D8%B9%D8%A7%D8%A1-%D8%A7%D9%84%D8%A3%D9%85%D8%B1%D9%8A%D9%83%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%85-%D9%8A%D9%82%D8%AF%D9%85-%D9%84%D8%A7%D8%A6%D8%AD%D8%A9-%D8%A7%D8%AA%D9%87%D8%A7%D9%85-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%B6%D8%AF-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%81%D9%8A-%D9%82%D8%B6%D9%8A%D8%A9-%D9%85%D8%AD%D8%A7%D9%88%D9%84%D8%A9-%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1-%D9%86%D8%AA%D9%8A%D8%AC%D8%A9-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-2020,28/08/2024 - 10:13,"

                                    أمريكا
                            "
1,France 24,"الأمم المتحدة تحذر من ""تفاقم الوضع الكارثي أصلا"" في الضفة الغربية المحتلة","
أهم الأحداث:
الأمم المتحدة تحذر من ""تفاقم الوضع الكارثي أصلا"" في الضفة الغربية المحتلة
","
                                        حذرت الأمم المتحدة من أن العملية العسكرية الواسعة النطاق التي بدأتها إسرائيل الأربعاء في الضفة الغربية المحتلة ""تهدد بشكل خطير بمفاقمة الوضع الكارثي أصلا"" في الأراضي الفلسطينية. فيما قال المتحدث باسم الهلال الأحمر إن فلسطينيَين اثنين قتلا في جنين، وأربعة في قصف استهدف سيارة قرب المدينة وأربعة آخرين في مخيم الفارعة قرب طوباس، وقطع الرئيس محمود عباس زيارته إلى السعودية لمتابعة ""العدوان الإسرائيلي"" على الضفة. ومن جهته، أكد مصدر مقرب من حزب الله اللبناني ""استهداف شاحنة على الأقل"" بغارة إسرائيلية.                ",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240828-%F0%9F%94%B4-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D9%85%D9%82%D8%AA%D9%84-%D8%B9%D8%B4%D8%B1%D8%A9-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D8%B9%D9%85%D9%84%D9%8A%D8%A9-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D9%84%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A8%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9,28/08/2024 - 07:27,"

                                    الشرق الأوسط
                            "
2,France 24,موسكو تحذر واشنطن من اندلاع حرب عالمية ثالثة لن تقتصر على أوروبا,,"
                                                قالت روسيا إن الغرب ""يلعب بالنار"" عبر التفكير في السماح لأوكرانيا بضرب أراضي داخل روسيا بصواريخ غربية وحذرت الولايات المتحدة اليوم الثلاثاء من اندلاع حرب عالمية ثالثة لن تقتصر على أوروبا.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240828-%D9%85%D9%88%D8%B3%D9%83%D9%88-%D8%AA%D8%AD%D8%B0%D8%B1-%D9%85%D9%86-%D8%AD%D8%B1%D8%A8-%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9-%D8%AB%D8%A7%D9%84%D8%AB%D8%A9,28/08/2024 - 14:42,"
                                    الأخبار المغاربية
                            "
3,France 24,القضاء التونسي يقبل طعن المرشح عبد اللطيف المكي ويعيده إلى السباق الرئاسي,,"
                                                أعادت محكمة تونسية المرشح الثلاثاء المرشح عبد اللطيف المكي إلى السباق الرئاسي بعد أن قبلت طعنا تقدم به ضد قرار حرمانه من الترشح للانتخابات. وكان المكي قياديا بارزا في النهضة لكنه خرج من الحزب وأسس حزبا آخر، ومع ذلك لا يزال يحظى على نطاق واسع بدعم من أنصار الحزب الإسلامي. وبفضل هذا القرار النهائي، ينضم المكي إلى مرشحين مقبولين يتقدمهم الرئيس المنتهية ولايته قيس سعيّد والسياسيان العياشي زمال وزهير المغزاوي.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240828-%D8%A7%D9%84%D9%82%D8%B6%D8%A7%D8%A1-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A-%D9%8A%D8%B3%D9%85%D8%AD-%D9%84%D9%82%D9%8A%D8%A7%D8%AF%D9%8A-%D8%B3%D8%A7%D8%A8%D9%82-%D9%81%D9%8A-%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D9%86%D9%87%D8%B6%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%83%D8%A9-%D8%A8%D8%A7%D9%84%D8%B1%D8%A6%D8%A7%D8%B3%D9%8A%D8%A7%D8%AA,28/08/2024 - 10:03,"
                                    الأخبار المغاربية
                            "
4,France 24,فرنسا - تعيين رئيس الوزراء الجديد : طريق مسدود؟,,"
                                                رئيس الجمهورية الفرنسية إيمانويل ماكرون الذي حل الجمعية الوطنية  في يونيو الماضي، فتح صفحة جديدة من التاريخ السياسي أهم ما يميزها هو الشعور العام بما يشبه الطريق المسدودلا اليمين ولا اليسار ولا أقصى اليمين ولا أقصى اليسار. فمن سيكون رئيس الوزراء القادم ؟ وإلى أي مدى سيطول الانتظار؟ ضيوف الحلقة : إعجاب خضر خوري عضو في حزب ""الجمهوريون"" و المحامية سيفي ايزولي محامي والمحلل السياسي كارول سابا                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A7%D9%84%D9%86%D9%82%D8%A7%D8%B4/20240828-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%AA%D8%B9%D9%8A%D9%8A%D9%86-%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF-%D8%B7%D8%B1%D9%8A%D9%82-%D9%85%D8%B3%D8%AF%D9%88%D8%AF,28/08/2024 - 21:15,"

                                    الشرق الأوسط
                            "
5,France 24,هل يفتح الجيش الإسرائيلي جبهة جديدة في الضفة الغربية؟,,"
                                                قتل تسعة فلسطينيين على الأقل خلال عملية عسكرية بدأتها القوات الإسرائيلية في شمال الضفة الغربية المحتلة فجر الأربعاء، وفق مصادر فلسطينية وإسرائيلية، بينما أكد الجيش الإسرائيلي أنه يشن عملية ""لإحباط الإرهاب"" ما زالت متواصلة جوا وبرا.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240828-%D9%85%D9%82%D8%AA%D9%84-9-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9,28/08/2024 - 14:50,"
                                    الأخبار المغاربية
                            "
6,France 24,"شركة ""ليغو"" لصناعة الألعاب ترفع أرباحها رغم تباطؤ السوق العالمية","
كشفت شركة الألعاب الدانماركية ''ليغو"" الأربعاء أن مبيعاتها في النصف الأول من هذا العام ارتفعت بمقدار 13 بالمئة إلى 31 مليار كرونة (4,6 مليارات دولار) بينما ارتفع صافي الربح إلى 6 مليارات كرونة.
وقال رئيسها التنفيذي نيلز كريستيانسن في مقابلة مع وكالة الأنباء الفرنسية ""هذا النمو كان مدفوعا بحصة أكبر لمجموعة ليغو"".
وقد أطلقت المجموعة، المعروفة بقطع التركيب البلاستيكية والتي يتكون اسمها من اختصار عبارة تعني ""اِلعب جيدا"" باللغة الدانماركية (""Leg godt"")، حوالي 300 منتج جديد خلال النصف الأول للعام 2024، بينما استمرت في تسجيل عائدات أعلى من الألعاب المرتبطة بامتيازات تجارية شهيرة، مثل أفلام ""حرب النجوم"" أو ""هاري بوتر"".
هذا، وأعلنت الشركة مؤخرا عن شراكة مع ""نايكي"" لتطوير منتجات ومحتوى بصورة مشتركة.
ويشار إلى أن الشركة الدانماركية سجلت أقوى مبيعاتها في أوروبا وأمريكا الشمالية، لكنها كانت أبطأ في الصين. وقال كريستيانسن ""سنواصل بناء علامة ""ليغو"" التجارية في الصين، وكذلك فتح المتاجر... الإمكانات موجودة"".
ويذكر أن الشركة العالمية يسيرها أحفاد مؤسسها، وهي غير مدرجة في سوق الأوراق المالية.
فرانس24/ أ ف ب","
                                        أفادت ""ليغو""، أكبر شركة لصناعة الألعاب في العالم، الأربعاء بأن صافي أرباحها ارتفع بنسبة 16 بالمئة في النصف الأول من العام، لتوسع بذلك نموها بالرغم من التباطؤ في السوق. ويسير الشركة العالمية أحفاد مؤسسها، وهي غير مدرجة في سوق الأوراق المالية.                ",https://www.france24.com/ar/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF/20240828-%D8%B4%D8%B1%D9%83%D8%A9-%D9%84%D9%8A%D8%BA%D9%88-%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%AA%D8%B1%D9%81%D8%B9-%D8%A3%D8%B1%D8%A8%D8%A7%D8%AD%D9%87%D8%A7-%D8%B1%D8%BA%D9%85-%D8%AA%D8%A8%D8%A7%D8%B7%D8%A4-%D8%A7%D9%84%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9,28/08/2024 - 15:45,"

                                    اقتصاد
                            "
7,France 24,من أجل عيش تجربة الألعاب.. زكية خودادادي يجب أن تفوز بميداليات! (السلسلة 4/2),,"
                                                قبل عام من انطلاق دورة الألعاب البارالمبية في باريس. ضاعفت زكية خودادادي لاعبة التيكواندو البارالمبية جهودها للحصول على الجنسية الفرنسية ما سيسمح لها بارتداء القميص الفرنسي أو اختيار قميص فريق اللاجئين للمشاركة في الألعاب البارالمبية.تقرير: إيلودي رادناك وأعدته إلى العربية نسرين قسنطيني. (السلسلة 4/2)                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240828-%D8%A7%D9%84%D9%81%D8%BA%D8%A7%D9%86%D9%8A%D8%A9-%D8%B2%D9%83%D9%8A%D8%A9-%D8%AE%D9%88%D8%AF%D8%A7%D9%86%D8%AF%D8%A7%D8%AF%D9%8A-%D8%A7%D9%84%D9%87%D8%AF%D9%81-%D8%AD%D8%B5%D8%AF-%D9%85%D9%8A%D8%AF%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D8%A7%D9%84%D9%85%D8%A8%D9%8A%D8%A9,28/08/2024 - 15:48,"
                                    الأخبار المغاربية
                            "
8,France 24,"وردي اللون وقابل للطي... نوكيا تطلق هاتف ""باربي"" تزامنا مع إتمام الدمية عامها الـ65","
به القليل من خصائص الهواتف الذكية، لكنه صغير الحجم، وردي اللون، قابل للطي، وبتصميم كلاسيكي. هذه هي مواصفات هاتف إتش.إم.دي باربي الذي قالت شركة إتش.إم.دي غلوبال المصنعة للهواتف التي تحمل علامة نوكيا إنها تعاونت مع شركة صناعة الألعاب ماتيل لإطلاقه.
ومن المقرر إتاحة الهاتف اعتبارا من الأربعاء بسعر 99 جنيها إسترلينيا (131,24 دولار). ويسمح الجهاز للمستخدمين بإجراء مكالمات وإرسال رسائل نصية، لكنه لا يتيح الوصول إلى تطبيقات التواصل الاجتماعي.
يتزامن الإطلاق مع إتمام دمية باربي عامها الخامس والستين هذا العام، ويأتي بعد نجاح فيلم باربي العام الماضي الذي قامت ببطولته مارغو روبي، والذي حقق 1,4 مليار دولار في شباك التذاكر عالميا.
وتشير تقديرات شركة الأبحاث سي.سي.إس إنسايتس إلى أن إتش.إم.دي قد تبيع أكثر من 400 ألف هاتف باربي في بريطانيا، حيث تتوفر من خلال شركتي فودافون وأرغوس.
أطلقت إتش.إم.دي الفنلندية، المدعومة من غوغل التابعة لألفابت وكوالكوم، عددا من الهواتف الكلاسيكية التي تضم القليل من خصائص الهواتف الذكية، وهو ما تضمن إعادة إصدار نسخ جديدة من هواتف نوكيا الكلاسيكية مثل 3210 و3310.","
                                        في بريطانيا، اعتبارا من الأربعاء وبسعر 99 جنيها إسترلينيا، ستتيح شركة إتش.إم.دي غلوبال المصنعة لهواتف نوكيا، هاتفها الجديد الوردي اللون القابل للطي (إتش.إم.دي باربي) الذي يتزامن مع إتمام دمية باربي عامها 65 كذلك بعد نجاح فيلم باربي العام الماضي الذي حقق 1,4 مليار دولار.                ",https://www.france24.com/ar/%D9%85%D8%AC%D8%AA%D9%85%D8%B9/20240828-%D9%88%D8%B1%D8%AF%D9%8A-%D8%A7%D9%84%D9%84%D9%88%D9%86-%D9%88%D9%82%D8%A7%D8%A8%D9%84-%D9%84%D9%84%D8%B7%D9%8A-%D9%86%D9%88%D9%83%D9%8A%D8%A7-%D8%AA%D8%B7%D9%84%D9%82-%D9%87%D8%A7%D8%AA%D9%81-%D8%A8%D8%A7%D8%B1%D8%A8%D9%8A-%D8%AA%D8%B2%D8%A7%D9%85%D9%86%D8%A7-%D9%85%D8%B9-%D8%A5%D8%AA%D9%85%D8%A7%D9%85-%D8%A7%D9%84%D8%AF%D9%85%D9%8A%D8%A9-%D8%B9%D8%A7%D9%85%D9%87%D8%A7-%D8%A7%D9%84%D9%8065,28/08/2024 - 08:52,"

                                    مجتمع
                            "
9,France 24,افتتاح دورة الألعاب البارالمبية باريس 2024 بعد حفل بهيج في الهواء الطلق,"
افتتح الرئيس الفرنسي إيمانويل ماكرون الأربعاء دورة الألعاب البارالمبية باريس 2024 بعد حفل أقيم في الهواء الطلق، بين جادة الشانزليزيه وساحة الكونكورد وسط العاصمة الفرنسية.

ويتوقع أن تلقى هذه الألعاب نفس الإقبال والحماس الذين ميزا الألعاب الأولمبية. فيما وعد رئيس اللجنة المنظمة توني إستانغيه بأن تكون المنافسة بمثابة ""مباراة العودة"" وعبر عن تفاؤله بالقول: ""سيكتشف العديد من الفرنسيين هذه الألعاب البارالمبية، ولن يخيب أملهم لأنها ستتميز بنفس روح الألعاب الأولمبية""، واعدا بـ""رياضيين مذهلين"" و ""مواقع متميزة"".
وتماما مثل زملائهم الأولمبيين، سيكون للرياضيين من ذوي الاحتياجات الخاصة الحق في الحصول على بطاقة بريدية تذكارية لمعالم معروفة عالميا في العاصمة الفرنسية: جسر ألكسندر الثالث (سباق الترياثلون)، القصر الكبير (المبارزة على الكراسي المتحركة والباراتايكواندو)، وملعب برج إيفل (كرة القدم للمكفوفين)، ثم أنفاليد (الرماية لذوي الاحتياجات الخاصة)، ورولان غاروس (كرة المضرب على الكراسي المتحركة)، وقصر فرساي (ركوب الخيل).
وستستضيف صالة أرينا جنوب باريس لعبة البوتشيا وكرة المرمى، وهما مجالان لا يوجد لهما معادل أولمبي. وفي ما يتعلق بالميداليات، تتميز تلك التي سيتم منحها للفائزين باحتوائها على قطعة من الحديد الأصلي لبرج إيفل، على غرار الألعاب الأولمبية.
لكن يبقى التحدي الأبرز الذي يواجه المنظمين هو تسهيل عملية نقل الرياضيين ذوي الاحتجاجات الخاصة خاصة أن باريس ليست في القمة فيما يتعلق بالمرافق المخصصة لتنقل ذوي الاحتياجات الخاصة، على غرار مترو الأنفاق وعدم وجود عدد كبير من السلالم المتحركة إضافة إلى مرافق أخرى.
لكن سلطات العاصمة باريس في منطقة ""إيل دو فرانس"" وعدت بتوفير كل الإمكانيات لتسهيل تنقل الرياضيين ومنحهم كل الوسائل والإمكانيات الضرورية والتي تسمح لهم بتحطيم أرقام قياسية في شتى المجالات الرياضية.
وجدير بالذكر أقيمت الألعاب البارالمبية للمرة الأولى بروما سنة 1960، وقد جذبت 400 مشاركا من 23 دولة، تنافسوا في ثماني رياضات. منذ ذلك الحين، باتت دورة الألعاب تقام مرة كل أربع سنوات، وهي من أكبر الفعاليات الرياضية التي تعزز الإدماج الاجتماعي، وتكرس قيم التسامح وتكافؤ الفرص.
يشارك في هذه الدورة نحو 4400 رياضي خلال 11 يوما من المنافسة. وتحضر مجموعة من الدول العربية لهذا العرس الأولمبي، حيث يمثل السعودية 9 أبطال، منهم حسن الدوشي في الوثب الطويل، وعبد الرحمن القرشي في سباقي 100 و400 متر على الكراسي المتحركة، كما تشارك الإمارات بـ13 بطلا بينهم البطلتان في رياضة الرماية عائشة المهيري وعائشة الشامسي.
ومن الأردن، يشارك 8 رياضيين في رفع الأثقال، من بينهم أسماء عيسى وثروة الحجاج، وأحمد هندي الذي سيتنافس في دفع الكرة الحديدية. أما تونس، فتشارك بـ30 رياضيا، ومصر بـ54 لاعبا ولاعبة في 10 رياضات مختلفة، إلى جانب مشاركة 20 رياضيا من العراق، و38 من المغرب، و26 من الجزائر.

فرانس24","
                                        أعلن الرئيس الفرنسي إيمانويل ماكرون الأربعاء افتتاح دورة الألعاب البارالمبية باريس 2024 بعد حفل بهيج وسط العاصمة الفرنسية. وأقيم حفل الافتتاح في الهواء الطلق، بين جادة الشانزليزيه وساحة الكونكورد وسط باريس. وتشارك مجموعة من الدول العربية في هذا العرس الأولمبي بعدد من الأبطال في أنواع مختلفة من الرياضات.                ",https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240828-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D8%AA%D8%A7%D8%A8%D8%B9%D9%88%D8%A7-%D9%86%D8%B4%D8%B1%D8%A9-%D8%AE%D8%A7%D8%B5%D8%A9-%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD-%D8%A7%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D8%A7%D9%84%D9%85%D8%A8%D9%8A%D8%A9-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3,28/08/2024 - 18:30,"

                                    رياضة
                            "
