,source,title,content,description,url,published_at,tags
0,France 24,ماكرون في زيارة دولة للمغرب لتكريس المصالحة بين باريس والرباط وطي صفحة الخلافات,"
وصل الرئيس الفرنسي إيمانويل ماكرون عصر الإثنين إلى مطار العاصمة المغربية الرباط سلا حيث يبدأ زيارة دولة تدوم ثلاثة أيام، وذلك بدعوة من الملك محمد السادس.
ويشارك في الزيارة ما لا يقل عن تسعة وزراء ورؤساء عدة مجموعات اقتصادية فرنسية، ويرتقب أن يتم خلالها التوقيع على عدة اتفاقيات لإعطاء زخم جديد لشراكة تاريخية بين المغرب والقوة الاستعمارية السابقة.
وكان قد أفاد وزير الخارجية الفرنسي جان-نويل بارو للأسبوعية الفرنسية ""لا تريبون دو ديمانش""، ""نريد تجديد (علاقاتنا) فضلا عن التطلع للعقود المقبلة"" من خلال ""تحديد أهداف طموحة جدا في مجالات كثيرة"".

وفي مؤشر إلى الإرادة الفرنسية في تعزيز هذه الشراكة بالكامل، يرافق وفد كبير إيمانويل ماكرون. إذ يشارك في الزيارة ما لا يقل عن تسعة وزراء بينهم وزير الداخلية برونو ريتايو الذي سوف تكون تصريحاته حول الهجرة موضع ترقب، فضلا عن وزراء الاقتصاد أنطوان رمان والتربية الوطنية آن جينيته والثقافة رشيدة داتي، وهي من أصول مغربية.
ويشارك في الزيارة أيضا رؤساء مجموعات مثل ""إنجي"" و""ألستوم"" و""سافران"" و""توتال إنرجي"" و""سوييز""، فضلا عن ممثلين لشركات مثل ""إيرباص"" و""فيوليا"" و""تاليس"".
وستكون الأوساط الثقافية الفرنسية المغربية أيضا ممثلة مع الكاتبين الطاهر بن جلون وليلى سليماني والفكاهي جمال دبوز والممثل جيرار دارمون.
من الجانب المغربي، سيكون الملك محمد السادس شخصيا في استقبال ضيفه في المطار على وقع 21 طلقة مدفعية.
ويتوجهان بعد ذلك إلى القصر الملكي في سيارة مخصصة للمراسم لإجراء لقاء ثنائي يليه توقيع اتفاقيات في مجالات الطاقة والمياه والتعليم والأمن الداخلي.
ويسعى الرئيس الفرنسي والملك المغربي بهذه المناسبة إلى طي صفحة سلسلة من الخلافات، بينها شبهات تنصت من جانب المغرب على هاتف ماكرون، وخفض فرنسا عدد تأشيرات الدخول الممنوحة إلى مواطني المغرب بين العامين 2021 و2022 لدفع الرباط إلى استعادة مواطنين يقيمون بطريقة غير نظامية في فرنسا.
وزاد في توتر العلاقة، الأولوية التي خص بها الرئيس الفرنسي الجزائر بعد إعادة انتخابه في 2022، فيما المغرب والجزائر في مواجهة لا سيما حول مسألة الصحراء الغربية، المستعمرة الإسبانية السابقة التي تصنفها الأمم المتحدة ضمن ""الأقاليم غير المتمتعة بالحكم الذاتي""، والتي تشكّل محور نزاع بين المغرب وجبهة بوليساريو المدعومة من الجزائر منذ نحو نصف قرن.
وأسفرت هذه الخضات المتعددة إلى إرجاء زيارة ماكرون التي كانت مقررة أساسا في مطلع 2020، بعد زيارة أولى في 2017 وثانية في 2018.
واختار ماكرون في نهاية المطاف تحسين العلاقة مع المغرب حيث لفرنسا مصالح اقتصادية كبيرة من خلال إعلانه في تموز/يوليو دعم حلّ قضية الصحراء الغربية ""في إطار السيادة المغربية"".
ويتوقّع أن يعيد تأكيد هذا الموقف خلال كلمة مرتقبة جدا الثلاثاء أمام البرلمان. وتشكّل الصحراء الغربية قضية وطنية رئيسية في االمغرب.
وباتت الرباط تأمل بأن ينعكس هذا الموقف الفرنسي الجديد استثمارات فرنسية واسعة في هذه المنطقة التي تزخر بموارد سمكية ضخمة وعلى صعيد الطاقة الشمسية والرياح والفوسفات.
وقد تنعكس زيارة الرئيس الفرنسي أيضا مجموعة واسعة من العقود، مع أن الطرفين توخيا التكتم حول آخر المفاوضات الجارية بهذا الشأن.
وقد تتمكّن شركة ""إيرباص هليكوبترز"" من بيع 12 إلى 18 مروحية ""كاراكال"" للقوات المسلحة المغربية خلال الزيارة، وفق مصادر متطابقة.
وتأمل فرنسا في أن تبقى الطرف الرئيسي في توسيع خط القطارات السريعة بين طنجة وأغادير بعد تدشين الجزء الأول بحفاوة من جانب محمد السادس وإيمانويل ماكرون في 2018.
وعلى صعيد الهجرة، يريد وزير الداخلية الجديد الذي يعتمد نهجا صارما بهذا الخصوص، دفع المغرب إلى استعادة مواطنين أوقفوا لإقامتهم بطريقة غير نظامية في فرنسا. وبعد أزمة تأشيرات الدخول في 2021-2022، تعد الحكومة الفرنسية باعتماد روح الحوار في هذا الإطار.
وشدّد وزير الخارجية الفرنسي على ضرورة ""استخلاص العبر من أخطاء الماضي"" والتطرق إلى المسألة ""في إطار شراكة شاملة"".
فرانس24/ أ ف ب","
                                        حطّت طائرة إيمانويل ماكرون عصر الإثنين بمطار الرباط سلا حيث يبدأ الرئيس الفرنسي زيارة دولة مدتها ثلاثة أيام، بدعوة من الملك محمد السادس، لتوطيد علاقات البلدين بعد توترات السنوات الثلاث الأخيرة. فيما تسعى فرنسا في إطار هذه الزيارة لرسم ""أهداف طموحة في مجالات كثيرة"" مع المغرب. ومن أبرز محاور هذا اللقاء توقيع اتفاقيات بمجالات الطاقة والمياه والتعليم والأمن الداخلي إضافة إلى سعي البلدين لطي صفحة سلسلة من الخلافات.                ",https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20241028-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%AA%D8%B1%D9%8A%D8%AF-%D8%B1%D8%B3%D9%85-%D8%A3%D9%87%D8%AF%D8%A7%D9%81-%D8%B7%D9%85%D9%88%D8%AD%D8%A9-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84%D8%A7%D8%AA-%D9%83%D8%AB%D9%8A%D8%B1%D8%A9-%D9%85%D8%B9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D8%A3%D8%AB%D9%86%D8%A7%D8%A1-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%84%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9,28/10/2024 - 10:29,"

                                    الأخبار المغاربية
                            "
1,France 24,تجنبا للفراغ السياسي.. رئيس الوزراء الياباني يتعهّد البقاء في المنصب رغم الهزيمة الانتخابية,,"
                                                تعهّد رئيس الوزراء الياباني شيغيرو إيشيبا الاثنين البقاء في منصبه رغم تحقيق حزبه أسوأ نتيجة منذ 15 عاما في انتخابات تشريعية مبكرة جازف سياسيا بالدعوة إليها.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D8%AA%D8%AC%D9%86%D8%A8%D8%A7-%D9%84%D9%84%D9%81%D8%B1%D8%A7%D8%BA-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A-%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D9%88%D8%B2%D8%B1%D8%A7%D8%A1-%D8%A7%D9%84%D9%8A%D8%A7%D8%A8%D8%A7%D9%86%D9%8A-%D9%8A%D8%AA%D8%B9%D9%87%D9%91%D8%AF-%D8%A7%D9%84%D8%A8%D9%82%D8%A7%D8%A1-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D8%B5%D8%A8-%D8%B1%D8%BA%D9%85-%D8%A7%D9%84%D9%87%D8%B2%D9%8A%D9%85%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D9%8A%D8%A9,28/10/2024 - 10:43,"
                                    أفريقيا
                            "
2,France 24,الرئيس ماكرون في المغرب.. هل ستفتح الزيارة فصلا جديدا في العلاقات الفرنسية المغربية؟,,"
                                                يصل الرئيس الفرنسي إيمانويل ماكرون الاثنين إلى الرباط في زيارة سيسعى فيها مع ملك المغرب محمد السادس الى توطيد علاقات بلديهما المتوترة جراء خلافات وقعت في السنوات الثلاث الأخيرة وإعطاء زخم جديد لشراكة تاريخية بين المغرب والقوة الاستعمارية السابقة. للحديث عن هذه الزيارة نستضيف في ""ضيف اليوم""  الخبير في الشؤون السياسية والاستراتيجية عبد الرحمن مكاوي.                     ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B6%D9%8A%D9%81-%D8%A7%D9%84%D9%8A%D9%88%D9%85/20241028-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8-%D9%87%D9%84-%D8%B3%D8%AA%D9%81%D8%AA%D8%AD-%D8%A7%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D9%81%D8%B5%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A7-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9,28/10/2024 - 16:01,"

                                    الأخبار المغاربية
                            "
3,France 24,مقترح مصري لوقف موقت لإطلاق النار في غزة ومفاوضات بالدوحة أملا في إنهاء الحرب,,"
                                                بعد أن أصبحت مؤشرات توسع التوتر في الشرق الأوسط أكثر من احتوائه، تعود التحركات الدبلوماسية لوقف إطلاق النار في غزة وإنهاء التصعيد المتزايد بالمنطقة. وعشية جولة محادثات جديدة حول وقف إطلاق النار الأحد في قطر، قدم الرئيس المصري عبد الفتاح السيسي مقترحا لوقف إطلاق النار لمدة يومين فقط بالقطاع المحاصر، حيث تخوض إسرائيل حربا منذ أكثر من عام راح ضحيتها حوالي 43 ألف قتيل، معظمهم من النساء والأطفال وفق وزارة الصحة المحلية.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D9%85%D9%82%D8%AA%D8%B1%D8%AD-%D9%85%D8%B5%D8%B1%D9%8A-%D9%84%D9%88%D9%82%D9%81-%D9%85%D8%A4%D9%82%D8%AA-%D9%84%D8%A5%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D9%86%D8%A7%D8%B1-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9,28/10/2024 - 03:26,"
                                    أفريقيا
                            "
4,France 24,"هل تحدد ""الولايات المتأرجحة"" هوية الرئيس الأمريكي القادم؟",,"
                                                في ""السباق الرئاسي"" إلى البيت الأبيض، سنتحدث عن الولايات الأمريكية التي ستساهم في تحديد اسم وهوية الفائز في الانتخابات الرئاسية والتي تسمى بـ ""الولايات المتأرجحة""، فما هي هذه الولايات تحديدا، وما هو الدور الذي لعبته تاريخياً، وما هو الواقع السياسي فيها اليوم؟                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D8%A7%D9%84%D8%B3%D8%A8%D8%A7%D9%82-%D8%A7%D9%84%D8%B1%D8%A6%D8%A7%D8%B3%D9%8A-2,28/10/2024 - 15:37,"

                                    أمريكا
                            "
5,France 24,غارات إسرائيلية مكثفة على جنوب لبنان,,"
                                                تشير مراسلتنا في لبنان كارلا سماحة أن الجيش الإسرائيلي لم يغير على بيروت في الـ24 ساعة الأخيرة، ولكنه يواصل حملته العسكرية في جنوب لبنان برا وجوا.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D8%BA%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D9%85%D9%83%D8%AB%D9%81%D8%A9-%D8%AC%D9%86%D9%88%D8%A8-%D9%84%D8%A8%D9%86%D8%A7%D9%86,28/10/2024 - 10:36,"
                                    أفريقيا
                            "
6,France 24,جورجيا: نتائج الانتخابات التشريعية تعكس تقربا من روسيا,,"
                                                دعت المعارضة الجورجية الأحد إلى التظاهر احتجاجا على نتائج الانتخابات بينما طالب الاتحاد الأوروبي بإجراء تحقيق في حصول ""مخالفات""، عقب انتخابات تشريعية مثيرة للجدل أظهرت فوز الحزب الحاكم المقرب من روسيا.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D8%AC%D9%88%D8%B1%D8%AC%D9%8A%D8%A7-%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%B4%D8%B1%D9%8A%D8%B9%D9%8A%D8%A9-%D8%AA%D8%B9%D9%83%D8%B3-%D8%AA%D9%82%D8%B1%D8%A8%D8%A7-%D9%85%D9%86-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7,28/10/2024 - 15:37,"
                                    أفريقيا
                            "
7,France 24,شركة تبيع ضوء الشمس أثناء الليل: لأي غاية؟,,"
                                                في فقرة تكنو اليوم نتحدث عن مشروع  تشرف عليه شركة كاليفورنية تقترح بيع ضوء الشمس خلال الليل.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%AA%D9%83%D9%86%D9%88/20241028-%D8%B4%D8%B1%D9%83%D8%A9-%D8%AA%D8%A8%D9%8A%D8%B9-%D8%B6%D9%88%D8%A1-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-%D8%A3%D8%AB%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D9%84%D9%8A%D9%84-%D9%84%D8%A3%D9%8A-%D8%BA%D8%A7%D9%8A%D8%A9,28/10/2024 - 14:11,"

                                    أفريقيا
                            "
8,France 24,"فرنسا تريد رسم ""أهداف طموحة في مجالات كثيرة"" مع المغرب أثناء زيارة ماكرون للمملكة",,"
                                                في زيارة دولة تستمر ثلاثة أيام، يصل الرئيس الفرنسي إيمانويل ماكرون إلى المغرب الإثنين للقاء العاهل المغربي محمد السادس. وتسعى فرنسا في إطار هذه الزيارة لرسم ""أهداف طموحة في مجالات كثيرة"" مع المغرب. ومن أبرز محاور هذا اللقاء توقيع اتفاقيات بمجالات الطاقة والمياه والتعليم والأمن الداخلي إضافة إلى سعي البلدين لطي صفحة سلسلة من الخلافات.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20241028-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%81%D9%8A-%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%BA%D8%B1%D8%A8,28/10/2024 - 12:24,"
                                    أفريقيا
                            "
9,France 24,فيديو: إسرائيل تعتزم إقرار قانون لحظر عمل الأونروا بالقدس والضفة الغربية,,"
                                        تسعى إسرائيل لإقرار قانون جديد يهدف إلى حظر عمل وكالة الأمم المتحدة لإغاثة وتشغيل اللاجئين الفلسطينيين (الأونروا) في القدس والضفة الغربية. وتتهم إسرائيل الوكالة قائلة إن العديد من الموظفين الذين يعملون بها هم أعضاء في حماس وفصائل مسلحة أخرى. من جهته كان المفوض العام للوكالة الأممية فيليب لازاريني أكد في آخر إحصائية، في شهر أيلول/ سبتمبر الماضي أن ما لا يقل عن 223 موظفا في الأونروا قتلوا منذ اندلاع الحرب في السابع من تشرين الأول/أكتوبر 2023 إثر هجوم غير مسبوق لحماس على جنوب إسرائيل.                ",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20241028-%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%AA%D8%B9%D8%AA%D8%B2%D9%85-%D8%A5%D9%82%D8%B1%D8%A7%D8%B1-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%AD%D8%B8%D8%B1-%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D8%A3%D9%88%D9%86%D8%B1%D9%88%D8%A7-%D8%A7%D9%84%D9%82%D8%AF%D8%B3-%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9,28/10/2024 - 11:43,"

                                    الشرق الأوسط
                            "
