,source,title,content,description,url,published_at,tags
0,France 24,هل يواكب الإعلام الفرنسي تحديات الانتخابات الأوروبية؟,,"
                                                يقبل المواطنون في 27 دولة أوروبية على انتخابات البرلمان الأوروبي، موعد انتخابي هام، ولكن هل تواكب التغطية الإعلامية أهمية الحدث؟ وما مدى مساهمة الإعلام التقليدي والبديل في بلورة الوعي والانخراط السياسي للأوروبيين؟ أسئلة تناقشها رامتان عوايطية مع ضيوف حلقة ""منتدى الصحافة"" الكاتبة والصحفية شيماء غرسلاوي، والصحفي في جريدة النهارسمير تويني، والصحفي يوسف الهلالي.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%85%D9%86%D8%AA%D8%AF%D9%89-%D8%A7%D9%84%D8%B5%D8%AD%D8%A7%D9%81%D8%A9/20240529-%D9%87%D9%84-%D9%8A%D9%88%D8%A7%D9%83%D8%A8-%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A-%D8%AA%D8%AD%D8%AF%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D9%88%D8%B1%D9%88%D8%A8%D9%8A%D8%A9,29/05/2024 - 19:43,"

                                    أوروبا
                            "
1,France 24,بوتين يحذر من استخدام أسلحة غربية لضرب الأراضي الروسية,,"
                                                حذّر الرئيس الروسي فلاديمير بوتين الثلاثاء من  ""عواقب خطيرة"" إذا أعطت الدول الغربية موافقتها لأوكرانيا على استخدام اسلحتها لضرب الأراضي الروسية، في حين دعا  نظيره الفرنسي إيمانويل ماكرون إلى ""تحييد"" القواعد العسكرية الروسية التي تنطلق منها الصواريخ على أوكرانيا.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240529-%D8%A8%D9%88%D8%AA%D9%8A%D9%86-%D9%8A%D8%AD%D8%B0%D8%B1-%D9%85%D9%86-%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%84%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A-%D8%A7%D9%84%D8%B1%D9%88%D8%B3%D9%8A%D8%A9,29/05/2024 - 14:00,"
                                    الأخبار المغاربية
                            "
2,France 24,تونس.. هل من رقابة على المنتجات الغذائية المحلية والمستوردة؟,,"
                                                نجحت الدكتورة نرجس الصكلي في إرساء مخبر خاص عصري نموذجي في تونس لرقابة سلامة المنتجات الغذائية المحلية والمنتجات المستوردة. فما هي المخاطر التي تهدد سلامة المنتجات الغذائية وهل توجد الثقافة الصحية الكافية من قبل المستهلكين تجاه المنتجات الغذائية .. تقرير مراسل فرانس 24 من تونس سيف الّله المشّاط.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B1%D9%8A%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC/20240529-%D8%AA%D9%88%D9%86%D8%B3-%D9%87%D9%84-%D9%85%D9%86-%D8%B1%D9%82%D8%A7%D8%A8%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D8%A7%D9%84%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AD%D9%84%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%88%D8%B1%D8%AF%D8%A9,29/05/2024 - 15:38,"

                                    أوروبا
                            "
3,France 24,لأول مرة منذ 30 عاما...الحكومة المصرية ترفع سعر الخبز المدعم أربعة أضعاف,"
أقر مجلس الوزراء المصري الأربعاء رفع سعر رغيف الخبز الذي تدعمه الدولة. وأكد رئيس الوزراء المصري مصطفى مدبولي في مؤتمر صحافي قائلا ""اتخذ مجلس الوزراء قرارا برفع سعر رغيف الخبز المدعم إلى عشرين قرشا اعتبارا من بداية الشهر (حزيران/يونيو)"" مقابل سعر خمسة قروش حاليا.
وأوضح مدبولي أن هذه الخطوة لم تحدث ""منذ أكثر من 30 سنة (...) وهذا حمّل الدولة أعباء مالية أصبحت متزايدة بصورة كبيرة جدا""، مشيرا إلى أن سعر تكلفة الخبز ""تضاعف عدة مرات"" خلال العقود الثلاثة الماضية.
وأضاف: ""كل هدفنا هو تقليص هذا الدعم بصورة قليلة""، لافتا إلى أن ""رغيف الخبز يكلّف الدولة المصرية اليوم جنيها وربع الجنيه (0,0026 دولار) ويباع بخمسة قروش، وبالتالي تتحمل الدولة 120 قرشا عن الرغيف الواحد"".
وتمر مصر بأزمة اقتصادية شديدة من جراء نقص النقد الأجنبي وقد دفعت البنك المركزي المصري في آذار/مارس إلى اتخاذ قرار بتحرير سعر صرف الجنيه ليفقد ثلث قيمته أمام الدولار الأمريكي، وتبع ذلك اتفاق جديد مع صندوق النقد الدولي لزيادة حجم القرض الأخير من ثلاثة إلى ثمانية مليارات دولار.
وبدورها، قررت دولة الإمارات ضخ ""35 مليار دولار استثمارات مباشرة"" في غضون شهرين في مصر، بموجب اتفاق تم توقيعه بين الحكومتين المصرية والإماراتية بهدف ""تنمية 170,8 مليون متر مربع في منطقة رأس الحكمة"" على البحر المتوسط بشمال غرب البلاد. كذلك أمّنت مصر قروضا من الاتحاد الأوروبي والبنك الدولي.
هذا، وكان الرئيس المصري عبد الفتاح السيسي قد أعلن لأول مرة في العام 2021 اعتزام الحكومة زيادة ثمن رغيف الخبز المدعوم، وقال في إحدى الفعاليات العامة ""أتى الوقت أن الرغيف أبو 5 ساغ (قروش) يزيد ثمنه"".
وأضاف: ""ليس من المعقول أن أبيع 20 رغيفا بثمن سيجارة.. هذا الأمر يجب أن يتوقف"".
وفي مصر يستفيد من بطاقات الخبز المدعوم أكثر من 70 مليون مصري في بلد يتجاوز عدد سكانه 106 مليون نسمة، يعيش أكثر من ثلثهم تحت خط الفقر. ويصرف الخبز المدعوم بحصة مقدارها خمسة أرغفة للفرد في اليوم.
ويشار إلى أن ميزانية دعم الخبز والسلع التموينية تناهز 128 مليار جنيه (2,7 مليار دولار) في الموازنة الحالية لعامي 2023/24 التي تبلغ حوالي ثلاثة تريليونات جنيه (نحو 63,4 مليار دولار).
ويذكر أنه في العام 1977، قرر الرئيس أنور السادات خفض دعم أساسية، وعلى الفور اندلعت ""انتفاضة الخبز"" ولم تتوقف حتى عادت الأسعار القديمة.

فرانس24/ أ ف ب","
                                        أخذ مجلس الوزراء المصري الأربعاء قرار رفع سعر رغيف الخبز المدعوم من الدولة والذي يستفيد منه أكثر من سبعين مليون مواطن، في خطوة لم تحدث منذ عقود في بلد يعاني واحدة من أسوأ الأزمات الاقتصادية في تاريخه. ويذكر أنه في العام 1977، قرر الرئيس أنور السادات خفض دعم أساسية، وعلى الفور اندلعت ""انتفاضة الخبز"" ولم تتوقف حتى عادت الأسعار القديمة.                ",https://www.france24.com/ar/%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF/20240529-%D9%84%D8%A3%D9%88%D9%84-%D9%85%D8%B1%D8%A9-%D9%85%D9%86%D8%B0-30-%D8%B9%D8%A7%D9%85%D8%A7-%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9-%D8%AA%D8%B1%D9%81%D8%B9-%D8%B3%D8%B9%D8%B1-%D8%A7%D9%84%D8%AE%D8%A8%D8%B2-%D8%A7%D9%84%D9%85%D8%AF%D8%B9%D9%85-%D8%A3%D8%B1%D8%A8%D8%B9%D8%A9-%D8%A3%D8%B6%D8%B9%D8%A7%D9%81,29/05/2024 - 21:43,"

                                    اقتصاد
                            "
4,France 24,تهديدات إسرائيلية للمحكمة الجنائية الدولية!,,"
                                                أصدرت المحكمة الجنائية الدولية الجمعة تحذيرا إلى ""الأفراد الذين يهدّدون بالانتقام"" منها أو من موظفيها، مؤكدة أنّ أعمالا كهذه قد تشكّل ""هجوما على إدارة العدالة"".                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240529-%D8%AA%D9%87%D8%AF%D9%8A%D8%AF%D8%A7%D8%AA-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D9%84%D9%84%D9%85%D8%AD%D9%83%D9%85%D8%A9%D8%A7%D9%84%D8%AC%D9%86%D8%A7%D8%A6%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9,29/05/2024 - 14:08,"
                                    الأخبار المغاربية
                            "
5,France 24,تونس: هل تنجح محاولة بعض النواب استعجال النظر في تعديل المرسوم 54؟,,"
                                                 تونس: هل تنجح محاولة بعض النواب استعجال النظر في تعديل المرسوم 54؟                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240529-%D8%AA%D9%88%D9%86%D8%B3-%D9%87%D9%84-%D8%AA%D9%86%D8%AC%D8%AD-%D9%85%D8%AD%D8%A7%D9%88%D9%84%D8%A9-%D8%A8%D8%B9%D8%B6-%D8%A7%D9%84%D9%86%D9%88%D8%A7%D8%A8-%D9%81%D9%8A-%D8%A7%D8%B3%D8%AA%D8%B9%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D9%86%D8%B8%D8%B1-%D8%A8%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%B1%D8%B3%D9%88%D9%85-54,29/05/2024 - 21:18,"

                                    الأخبار المغاربية
                            "
6,France 24,"جنوب إفريقيا: انتخابات عامة ""تاريخية"" قد تشكل تهديدا للحزب الحاكم",,"
                                                فتحت مراكز الاقتراع في جنوب إفريقيا الأربعاء أبوابها لانتخابات عامة يتوقع بأن تكون تاريخية بعد ثلاثة عقود على تأسيس النظام الديمقراطي ما بعد حقبة الفصل العنصري.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240529-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D9%81%D9%8A-%D8%AC%D9%86%D9%88%D8%A8-%D8%A7%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7,29/05/2024 - 11:45,"
                                    الأخبار المغاربية
                            "
7,France 24,نادي برشلونة يعيّن الألماني هانزي فليك مدربا جديدا للفريق خلفا لتشافي,"
تعاقد الأربعاء نادي برشلونة مع الألماني هانزي فليك ليصبح مدربا للفريق خلفا لتشافي هرنانديز الذي أخفق في إحراز أي لقب لوصيف الدوري الإسباني.
وقال برشلونة إنه من خلال التوقيع مع فليك سيحظى بمدرّب يُعرف عن فرقه ""الضغط العالي، أسلوب اللعب القوي والجريء ما حقق له نجاحا كبيرا على مستويي الأندية والمنتخبات وفاز تقريبا بكل الألقاب الممكنة"".
ويذكر أن فليك الذي قاد بايرن ميونيخ الألماني لسداسية تاريخية في 2020، بقي من دون وظيفة منذ إقالته الموجعة على رأس المنتخب الألماني في أيلول/سبتمبر 2023.
ووُلد فليك في هايدلبرغ عام 1965 واستهل مشواره التدريبي كلاعب ومدرب في آن واحد عام 1996 مع فيكتوريا بامنتال. ثم استلم فريق هوفنهايم عام 2000 حيث بقي خمسة مواسم قبل الانتقال إلى سالزبورغ النمساوي ضمن الجهاز الفني للإيطالي جوفاني تراباتوني ولوتار ماتيوس.
وأصبح فليك عام 2006 مدرّبا مساعدا ليواكيم لوف في منتخب ألمانيا بعد استقالة يورغن كلينسمان، فقادا مرحلة إعادة البناء لـ""دي مانشافت"" تضمّنت بلوغ نهائي كأس أوروبا 2008.
وفي العام 2010، بلغ نصف نهائي كأس العالم ثم الدور عينه في كأس أوروبا 2012 قبل إنجاز الفوز بمونديال 2014.
وانتقل فليك ليشغل منصب المدير الرياضي في الاتحاد الألماني، قبل العودة إلى هوفنهايم عام 2017 كمدير رياضي. وفي 2019، وصل إلى بايرن ميونيخ الذي حمل ألوانه لاعبا بين 1985 و1990، في منصب المدرب المساعد للكرواتي نيكو كوفاتش الذي أقيل بعد أشهر وعُيّن فليك بدلا عنه بعد إثبات نفسه كمدرب مؤقت.
ويشار إلى أن هانزي فليك فاز في 22 مباراة من أوّل 25 مع ""دي روتن""، وأنهى موسمه الرائع بإحراز دوري أبطال أوروبا متجاوزا برشلونة بالذات 8-2. وفي العام ذاته، حصل على جائزة أفضل مدرّب أوروبي.
فرانس24/ أ ف ب","
                                        تم تعيين الألماني هانزي فليك الأربعاء مدربا لفريق برشلونة حتى عام 2026 بدلا من المقال تشافي هرنانديز، بعد موسم بدون ألقاب لوصيف الدوري الإسباني لكرة القدم. وفي 2006 أصبح فليك مدرّبا مساعدا ليواكيم لوف في منتخب ألمانيا بعد استقالة يورغن كلينسمان، وقاد إلى جانب لوف مرحلة إعادة البناء لـ""دي مانشافت"" تضمّنت بلوغ نهائي كأس أوروبا 2008.                ",https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20240529-%D9%86%D8%A7%D8%AF%D9%8A-%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9-%D9%8A%D8%B9%D9%8A%D9%91%D9%86-%D8%A7%D9%84%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A-%D9%87%D8%A7%D9%86%D8%B2%D9%8A-%D9%81%D9%84%D9%8A%D9%83-%D9%85%D8%AF%D8%B1%D8%A8%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A7-%D9%84%D9%84%D9%81%D8%B1%D9%8A%D9%82-%D8%AE%D9%84%D9%81%D8%A7-%D9%84%D8%AA%D8%B4%D8%A7%D9%81%D9%8A,29/05/2024 - 18:46,"

                                    رياضة
                            "
8,France 24,ذا غارديان.. رئيس الموساد السابق هدد المدعية العامة السابقة للمحكمة الجنائية الدولية,,"
                                                في جولتنا اليوم.. صحف تصف معركة رفح بالواقع الذي لا مفر منه، صحيفة الغارديان تكشف أن رئيس الموساد السابق هدد مسؤولاً في المحكمة الجنائية الدولية بشأن التحقيق في جرائم حرب، وصحف ترى أنه لا بد من المزيد من الوقت كي تستوعب إسرائيل معنى حرب غزة وأبعادها. الرئيس الفرنسي مستعد للسماح لكييف بضرب المواقع العسكرية الروسية بصواريخ سلمتها فرنسا.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240529-%D9%82%D8%B1%D8%A7%D8%A1%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B5%D8%AD%D9%81,29/05/2024 - 08:39,"
                                    الأخبار المغاربية
                            "
9,France 24,البابا فرنسيس يعتذر بعد استخدام كلمة مهينة بحق المثليين,,"
                                                قال الفاتيكاناليوم الثلاثاء إن البابا فرنسيس بابا الفاتيكان لم يتعمد استخداملغة مسيئة لمجتمع الميم وإنه يعتذر لكل من شعر بالإهانة مناستخدامه تلك اللغة. جاء ذلك بعدما نُقل عنه على نطاق واسعاستخدامه كلمة مهينة بشدة لوصف المثليين الجنسيين.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240529-%D8%A7%D9%84%D8%A8%D8%A7%D8%A8%D8%A7-%D9%8A%D8%B9%D8%AA%D8%B0%D8%B1-%D8%A8%D8%B9%D8%AF-%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%83%D9%84%D9%85%D8%A9-%D9%85%D9%87%D9%8A%D9%86%D8%A9-%D8%A8%D8%AD%D9%82-%D8%A7%D9%84%D9%85%D8%AB%D9%84%D9%8A%D9%8A%D9%86,29/05/2024 - 16:17,"
                                    الأخبار المغاربية
                            "
