,source,author,title,content,description,url,image_url?,published_at,tags
0,France 24,No Author,كوريا الشمالية تطالب الولايات المتحدة بوقف تهديداتها العسكرية لضمان أمنها,"

أفادت وكالة الأنباء المركزية الكورية نقلا عن مسؤول في وزارة الدفاع في كوريا الشمالية أن بيونغ يانغ قالت السبت إنه يتعين على الولايات المتحدة التخلي عن تهديداتها العسكرية إذا كان لديها مخاوف بشأن سلامة أراضيها.
ونقلت الوكالة عن قائد القيادة الشمالية الأمريكية تعليقه في الأونة الأخيرة على قدرة الصواريخ الباليستية العابرة للقارات في كوريا الشمالية على الوصول إلى البر الرئيسي للولايات المتحدة.
وأشار التقرير أن الولايات المتحدة هي التي انخرطت في سلوكيات مواجهة مثل التخطيط لتدريبات حربية مع كوريا الجنوبية وإرسال غواصة نووية إلى شبه الجزيرة الكورية.
وتابع التقرير أن من حق كوريا الشمالية السيادي تحسين قوتها للدفاع عن نفسها.
فرانس24/ رويترز","
                                        نقلت وكالة الأنباء الرسمية الكورية عن مسؤول في وزارة الدفاع في كوريا الشمالية أن بيونغ يانغ قالت السبت إنه يتعين على الولايات المتحدة التخلي عن تهديداتها العسكرية إذا كان لديها مخاوف بشأن سلامة أراضيها.                ",https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20250215-%D9%83%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%AA%D8%B7%D8%A7%D9%84%D8%A8-%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D8%A8%D9%88%D9%82%D9%81-%D8%AA%D9%87%D8%AF%D9%8A%D8%AF%D8%A7%D8%AA%D9%87%D8%A7-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9-%D9%84%D8%B6%D9%85%D8%A7%D9%86-%D8%A3%D9%85%D9%86%D9%87%D8%A7,https://s.france24.com/media/display/aa79a164-d221-11ef-a5d7-005056bfb2b6/w:1280/p:16x9/AFP__20250114__36TL297__v1__Preview__SkoreaNkoreaMissile.jpg,15/02/2025 - 13:44,آسيا
1,France 24,No Author,كوماك... شركة صينية تسعى لكسر احتكار بوينغ وإيرباص عالم الطيران,"
نجحت شركة تصنيع الطائرات الصينية ""كوماك"" في تحقيق قفزة هائلة في سنة 2024. إذا سجلت هذه الشركة الحكومية 300 طلبية لطائراتها من طراز سي 919 مقابل 615 طلبية لطائرات إيرباص 320 الأوروبية و415 طلبية لطائرات بوينغ 737 ماك خلال عام 2024. وتعد هذه الطلبات قفزة تاريخية لكوماك، إذ استفادت الشركة الصينية من طلبات محلية على طائراتها.
واستفادت الشركة الصينية بالأساس من طلبات كبيرة من شركتي الطيران المحليتين إير تشاينا وتشاينا سوذرن. من جهتها، وقعت شركة الطيران الصينية الخاصة هاينان إيرلاينز عقودا لاقتناء 60 طائرة من طراز سي 919. وكانت شركة الطيران الصينية إيسترن تشاينا، وهي أول شركة مشغلة لطائرات سي 919، أمضت عقدا ضخما لاقتناء 100 طائرة من هذا الطراز.
ويمثل هذا الاختراق الكبير لسوق تصنيع الطائرات خسارة فعلية لبوينغ وإيرباص تصل إلى ما بين 20 و25 بالمئة على المدى المتوسط في السوق الصينية، وفق ما ذكرته صحيفة ليزيكو الفرنسية الاقتصادية.
""بالنظر إلى المسافات القادرة على قطعها، فإن الطائرة تمثل وسيلة نقل مثالية في الصين وآسيا التي تمثل سوقا كبيرة في مجال الطيران التجاري""، وفق تقدير مارك إيفالدي الأستاذ في مدرسة تولوز للاقتصاد في فرنسا.
ومع ارتفاع مستوى العيش في البلاد، ستتربع الصين هذا العام على عرش أكبر أسواق الطيران في العالم، متقدمة على الولايات المتحدة، ومن المتوقع أن يصل عدد المسافرين جوا في الصين إلى 1,6 مليار شخص بحلول عام 2037 (مقابل 610 مليون مسافر في 2018)، وفق تقديرات الجمعية الدولية للنقل الجوي.
وتطلّب تحليق طائرة سي 919 في السماء، وهي أكبر طائرة تجارية تصنعها الصين على الإطلاق، وقتا طويلا. فبالرغم من تمتعها بدعم حكومي هائل، تأخر برنامج تصنيع الطائرة الذي أطلق في 2007 في تحقيق هدفه. ولم تحصل الطائرة على ترخيص التحليق من وكالة سلامة الملاحة الجوية الصينية إلا في سنة 2022.
إضافة إلى النمو المطرد لحصتها في السوق المحلي للطيران في الصين، تسعى الشركة إلى الذهاب أبعد من ذلك. وتعمل بالخصوص على حصول طائرة سي 919 على الترخيص الأوروبي للطيران. إلا أن هذه العملية المعقدة والطويلة أصلا تعطلت مع جائحة كورونا، فيما يسعى المشرفون على كوماك للحصول على هذا الترخيص ""الثمين"" هذا العام.
ومع المشاكل التي تواجهها شركة بوينغ وتأخرها في تسليم الطلبات، فإن الطائرة التي ""صنعت في الصين"" تسعى لاستغلال هذا العامل لتوسيع حصتها في سوق تصنيع الطائرات خلال الأعوام المقبلة، خصوصا وأن سوق الطيران الأوروبي يعرف نسقا تصاعديا. ووفق المنظمة الأوروبية لسلامة الملاحة الجوية ""يوروكونترول""، من المنتظر أن ينمو سوق الطيران الأوروبي بمقدار 52 في المئة بحلول سنة 2050.
إلا أن طائرة شركة كوماك أمامها طريق طويل قبل أن تصبح منافسا حقيقيا لبوينغ وإيرباص، وفق رؤية مارك إيفالدي.
""مقارنة بطائرة إيرباص 320، فإن الطائرة الصينية مليئة بالعيوب. إذ إنها لم تحمل أي جديد على المستوى التكنولوجي. فهي أثقل بكثير وتستهلك كمية أكبر من الوقود. وهو ما يصعب عليها اقتحام أسواق أخرى"" يضيف هذا الخبير في مجال الطيران بدون أن يستبعد أن تفرض سلطات بكين ضغوطات على الشركات الصينية لاقتناء هذا الطراز محلي الصنع.
من جهته، قال المحلل شوكور يوسف من سنغافورة إن عبارة ""صُنع في الصين لا تزال موصومة سلبا في القطاع الصناعي على الرغم من أن الصين تتربع اليوم على عرش تصنيع السيارات الكهربائية، يتطلب الأمر مزيدا من الوقت حتى تحصل سي 919 على طلبات من شركة طيران من الصف الأول. المسألة تتعلق بالوقت فحسب، وليس ما إذا كانت شركات طيران ضخمة ستقتني طائرات تجارية مصنوعة في الصين"".
ولجذب اهتمام شركات الطيران الأجنبية، قد تلجأ شركة كوماك لعرض أسعار مغرية للدول الآسيوية الصاعدة مثل فيتنام وكمبوديا. ولكن هذه المرة أيضا، المهمة ليست سهلة وفق مارك إيفالدي الذي يردف ""يجب أن تعرض الشركة أسعارا منخفضة جدا لأن كلفة تشغيل سي 919 أعلى بكثير من إيرباص 320، كما أن هذه الشركات يمكن أن تحصل على تخفيضات من بوينغ وإيرباص تصل إلى ما بين 30 و35 بالمئة.
ومثلما فعلت مع قطاراتها فائقة السرعة وسياراتها الكهربائية، تواصل الصين -في مجال الطيران- استراتيجيتها الممنهجة بعناية للتخلص من التخلف التكنولوجي. ووفق المركز الأمريكي للدراسات الاستراتيجية والدولية، تمتعت كوماك بدعم حكومي يصل إلى 45 مليار دولار. وعلى الرغم من دعم السلطات، لم تحقق طائرة سي 919 سوى نجاح جزئي.
هنا، يقول مارك إيفالدي: ""سي 919 تواصل استخدام العديد من القطع المصنعة في أوروبا والولايات المتحدة، خصوصا من شركة ’سافران‘ التي ستستفيد من عدد كبير من الطلبات الصينية. في المحصلة، وفي عالم الطيران المتشابك، فإن شركات تصنيع الطائرات الأوروبية ستستفيد من هذا العامل"".
ويتعلق الأمر بالكابلات الكهربائية والأبواب المدرعة ومقاعد الطيارين، وأجهزة الكمبيوتر بقمرة القيادة. وفي المجمل، يقدر الخبراء أن نصف ثمن هذه الطائرة سيذهب إلى جيوب المزودين الأوروبيين. وتستخدم طائرة سي 919 محركين تصنعهما معا شركتا سافران الفرنسية و""جي إي أيروسبيس"" الأمريكية، وهي نفس المحركات لدى منافساتها من طراز إيرباص إي320 نيو وبوينغ 737 ماكس.
لكن شركة كوماك الصينية تواجه مشكلة إضافية مع تصاعد الاحتقان الجيوسياسي بعد عودة دونالد ترامب إلى البيت الأبيض. ومنذ يناير/كانون الثاني الماضي، أضاف البنتاغون شركة كوماك إلى قائمة الشركات الصينية المشتبه في دعمها للصناعة الحربية في الصين.
ولا يمنع إدراج كوماك في هذه القائمة الشركات الأمريكية من بيع منتوجاتها لها. إلا أن الشركة الصينية معرضة أكثر من أي وقت مضى إلى عقوبات أخرى، تماما مثل مصنع الطائرات الروسي ''يواك UAC"" المحروم من القطع الأمريكية منذ 2019.
","
                                        حصلت الطائرة سي 919 التي تصنعها شركة كوماك الصينية على قرابة ربع الطلبات على المدى المتوسط في سنة 2024، ما جعلها منافسا شرسا لطائرة بوينغ 737 وإيرباص إي 320. فهل تشكل هذه الطائرة تهديدا حقيقيا لمصنعي الطائرات الغربيين؟                ",https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20250213-%D9%83%D9%88%D9%85%D8%A7%D9%83-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%B5%D9%8A%D9%86-%D8%B3%D9%8A-919-%D8%A7%D8%AD%D8%AA%D9%83%D8%A7%D8%B1-%D8%A8%D9%88%D9%8A%D9%86%D8%BA-%D8%A5%D9%8A%D8%B1%D8%A8%D8%A7%D8%B5-%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9,https://s.france24.com/media/display/27674af6-e955-11ef-99ce-005056a97e36/w:720/p:16x9/000_34JR8J4.jpg,13/02/2025 - 18:30,آسيا
2,France 24,No Author,"""آلوو""، روبوت صيني ذكي.. البحث عن الدفء حتى لو كان افتراضيا",,"
                                                في عالمنا الحديث الذي تسوده التكنولوجيا، تتغير مفاهيم التواصل والعلاقات الإنسانية بشكل جذري. في العاصمة الصينية بكين، شابة تُدعى تشانغ ياتشون وجدت رفيقها الأقرب وهو روبوت يعمل بالذكاء الاصطناعي، ويشكل صديقا ومصدرا للراحة النفسية.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B1%D9%8A%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC/20250212-%D8%A2%D9%84%D9%88%D9%88-%D8%B1%D9%88%D8%A8%D9%88%D8%AA-%D8%B5%D9%8A%D9%86%D9%8A-%D8%B0%D9%83%D9%8A-%D8%A7%D9%84%D8%A8%D8%AD%D8%AB-%D8%B9%D9%86-%D8%A7%D9%84%D8%AF%D9%81%D8%A1-%D8%AD%D8%AA%D9%89-%D9%84%D9%88-%D9%83%D8%A7%D9%86-%D8%A7%D9%81%D8%AA%D8%B1%D8%A7%D8%B6%D9%8A%D8%A7,https://s.france24.com/media/display/49b77a24-e7be-11ef-8e58-005056a97e36/w:720/p:16x9/capture-121284150567aa12118a3a41.23694985.jpg,12/02/2025 - 15:15,آسيا
3,France 24,No Author,الولايات المتحدة - الأردن: لماذا لا يستطيع العاهل الأردني قبول تهجير الفلسطينيين؟,,"
                                                الولايات المتحدة - الأردن: لماذا لا يستطيع العاهل الأردني قبول تهجير الفلسطينيين؟                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250211-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D9%84%D9%87,https://s.france24.com/media/display/e21e64f0-e8c0-11ef-833c-005056a97e36/w:720/p:16x9/capture-159914649667abc3eb6f2587.32624704.jpg,11/02/2025 - 22:39,آسيا
4,France 24,No Author,"""رمز للقوة"".. اقتناء الأسود والنمور كحيوانات أليفة هوس باكستاني بالشهرة!",,"
                                                في باكستان، أصبح اقتناء الأسد أو النمر كحيوان أليف يماثل اقتناء القطة أو الكلب، بل أصبح يحظى بشعبية أكبر. المؤثرون على وسائل التواصل الاجتماعي تبنوا مؤخراً هذا الاتجاه كي يصبحوا معروفين بفضل حيواناتهم البرية التي يعرضونها كرمز للقوة. منظمات حقوق الحيوان تدين سوء معاملتها على أيدي هواة لا يملكون الكفاءات اللازمة لرعايتها، بينما تبدو السلطات غير معنية ويبدو القانون متساهلاً، التفاصيل في تقرير فرانس24  أعده شهزايب واهلاه وصونيا غزالي بالتعاون مع طلحة سعيد وأعده إلى العربية كمال البني.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%81%D9%8A-%D8%B9%D9%85%D9%82-%D8%A7%D9%84%D8%AD%D8%AF%D8%AB/20250211-%D8%B1%D9%85%D8%B2-%D9%84%D9%84%D9%82%D9%88%D8%A9-%D8%A7%D9%82%D8%AA%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D8%A3%D8%B3%D9%88%D8%AF-%D9%88%D8%A7%D9%84%D9%86%D9%85%D9%88%D8%B1-%D9%83%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA-%D8%A3%D9%84%D9%8A%D9%81%D8%A9-%D9%87%D9%88%D8%B3-%D8%A8%D8%A7%D9%83%D8%B3%D8%AA%D8%A7%D9%86%D9%8A-%D8%A8%D8%A7%D9%84%D8%B4%D9%87%D8%B1%D8%A9,https://s.france24.com/media/display/b344588c-e880-11ef-836d-005056a90284/w:720/p:16x9/capture-212884244067ab583d103742.05099694.jpg,11/02/2025 - 16:39,آسيا
5,France 24,No Author,"إيران تحيي الذكرى الـ46 للثورة الإسلامية وسط ""ضغوط قصوى"" من إدارة ترامب","
أحيت الجمهورية الإسلامية في إيران الإثنين الذكرى السادسة والأربعين لانتصار الثورة الإسلامية والإطاحة بنظام الشاه في 1979، بتنظيم مسيرات في طهران وفي جميع أنحاء البلاد.
ومنذ الصباح، يبث التلفزيون الرسمي مشاهد حية للناس في شوارع المدن والقرى، على وقع أغان شعبية وأناشيد وطنية.
وفي طهران، بدأ السكان بالتوجه منذ ساعات الصباح الباكر إلى مكان التجمع الرئيسي حول برج آزادي (""الحرية"" بالفارسية) في غرب العاصمة.
وسيلقي الرئيس مسعود بزشكيان كلمة خلال التجمع في طهران، بحسب وسائل الإعلام الرسمية.
كما خرج المتظاهرون إلى الشوارع في شيراز وبندر عباس (جنوب) ورشت (شمال) ومشهد (شرق) وكرمانشاه وسنادج (غرب) مرددين شعارات معادية لأميركا وإسرائيل، بحسب صور تلفزيونية.
ويرفع الإيرانيون وبينهم الكثير من العائلات المشاركة في المسيرات، أعلام إيران الخضراء والبيضاء والحمراء، ورايات الجماعات الموالية لإيران، بما في ذلك حزب الله في لبنان، بالإضافة إلى صور المرشد الأعلى آية الله علي خامنئي.
ويحيي الإيرانيون في هذا اليوم ذكرى سقوط الحكومة الأخيرة في عهد الشاه محمد رضا بهلوي، بعد أيام من عودة الإمام آية الله روح الله الخميني الى البلاد في الأول من شباط/فبراير 1979. وكان الشاه قد غادر في كانون الثاني/يناير من العام ذاته بعد أشهر من الاحتجاجات ضد حكمه.
وفي الأيام الأخيرة، دعا العديد من المسؤولين الشعب إلى المشاركة بأعداد كبيرة في الاحتفالات التي تأتي في ظل بدء ولاية جديدة للرئيس الأمريكي دونالد ترامب الذي اعتمد في ولايته الأولى سياسة ""ضغوط قصوى"" على إيران.
","
                                        خرجت مسيرات في طهران وفي جميع أنحاء إيران الإثنين في الذكرى السادسة والأربعين لانتصار الثورة الإسلامية والإطاحة بنظام الشاه في 1979، بعد دعوات من مسؤولين للمشاركة بأعداد كبيرة في الاحتفالات التي تأتي في ظل بدء ولاية جديدة للرئيس الأمريكي دونالد ترامب الذي اعتمد في ولايته الأولى سياسة ""ضغوط قصوى"" على إيران.                ",https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20250210-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D8%AA%D8%AD%D9%8A%D9%8A-%D8%A7%D9%84%D8%B0%D9%83%D8%B1%D9%89-%D8%A7%D9%84%D9%8046-%D9%84%D9%84%D8%AB%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D8%A9-%D9%88%D8%B3%D8%B7-%D8%B6%D8%BA%D9%88%D8%B7-%D9%82%D8%B5%D9%88%D9%89-%D9%85%D9%86-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8,https://s.france24.com/media/display/a1a84a58-e7cb-11ef-ae2e-005056a90284/w:720/p:16x9/000_36XJ3UN.jpg,10/02/2025 - 18:19,آسيا
6,France 24,No Author,الذكاء الاصطناعي: الهند تستعد لاقتحام سوق المنافسة العالمية كعملاق في مجال الابتكار,,"
                                                تحتضن باريس القمة الدولية للذكاء الاصطناعي، قمة ترأسها فرنسا بالشراكة مع الهند، من بين كل القوى العظمى التي تريد اقتحام المنافسة في الذكاء الاصطناعي، تُبدي الهند طموحاتها في هذه التكنولوجيا، حيث أطلقت حكومة ناريندرا مودي منصات ومبادرات متعددة للمساعدة في إنشاء شركات ناشئة هندية مائة في المئة تتعلق بالذكاء الاصطناعي، سواء في قطاعات الترجمة أو الروبوتات أو الرعاية الصحية، وتعتمد الحكومة الهندية في ذلك على مجموعة من المواهب الشابة. تقرير مراسل فرانس 24  في الهند ألبان ألفاريز أعده للعربية خالد فلياشي.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%81%D9%8A-%D8%B9%D9%85%D9%82-%D8%A7%D9%84%D8%AD%D8%AF%D8%AB/20250210-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D8%A7%D9%84%D9%87%D9%86%D8%AF-%D8%AA%D8%B3%D8%AA%D8%B9%D8%AF-%D9%84%D8%A7%D9%82%D8%AA%D8%AD%D8%A7%D9%85-%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D9%81%D8%B3%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9-%D9%83%D8%B9%D9%85%D9%84%D8%A7%D9%82-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D8%A7%D8%A8%D8%AA%D9%83%D8%A7%D8%B1,https://s.france24.com/media/display/7c55d67a-e7a4-11ef-bc15-005056a90284/w:720/p:16x9/capture-73006513167a9e6c79683c8.04884266.jpg,10/02/2025 - 16:00,آسيا
7,France 24,No Author,بسبب موجة برد شديدة... إيران تغلق المدارس والمكاتب في عشر محافظات على الأقل,"
قالت وسائل إعلام رسمية إيرانية إن السلطات قررت الأحد إغلاق المدارس والمكاتب في 10 محافظات على الأقل لتوفير الطاقة في وقت تواجه فيه البلاد موجة برد شديد.
وفي النصف الشمالي من البلاد، أدت الأجواء الصقيعية نتيجة القر الكبير على مدى الأيام القليلة الماضية إلى ارتفاع ملموس في استهلاك الطاقة.
وبسبب هذه الأجواء الباردة جدا، ""أغلقت جميع المكاتب الحكومية والمدارس الأحد، وتم الترتيب لتعلم الطلاب عن بعد""، وفق ما ذكرت وكالة أنباء الجمهورية الإسلامية الإيرانية ""إرنا"". ومن بين المحافظات العشر، التي شملها الإغلاق، لرستان في الغرب وسمنان في الشرق وغيلان في الشمال.
ويأتي القرار عقب إجراء مماثل السبت عندما أمرت السلطات بإغلاق مؤسسات في أكثر من 20 محافظة بسبب الظروف الجوية القاسية. وأغلقت العاصمة طهران السبت وأعيد فتحها الأحد، وهو يوم عمل في إيران، رغم تساقط الثلوج.
وأفادت ""إرنا"" أن بعض مناطق طهران تلقت ما يصل إلى 30 سنتيمترا من الثلج ليل السبت إلى الأحد. وتسبب تساقط الثلوج بتعطيل حركة المرور على نطاق واسع في أنحاء المدينة.
وشوهد بعض السكان وهم يجرفون الثلوج من الأرصفة بينما توجه آخرون إلى الحدائق للهو بكرات الثلج.
وتساقط الثلوج في فبراير/ شباط ليس بالأمر غير المعتاد في طهران، لكن البلاد تفاجأت بتساقط الثلوج الكثيف الذي صاحبه انخفاض لم يكن متوقعا في درجات الحرارة. وأدى تساقط الثلوج والأمطار الغزيرة في معظم أنحاء البلاد الأحد إلى إغلاق طرق.
وذكرت وكالة إرنا أن الظروف الجوية عطلت طرقا في 25 من محافظات البلاد البالغ عددها 31، وأثرت بشكل كبير في الشمال والغرب.
ونصحت السلطات المواطنين بتجنب السفر إلى هذه المناطق خلال الـ24 ساعة القادمة. وانخفضت درجات الحرارة في 19 محافظة على الأقل إلى الصفر أو دونه الأحد، وفقا للوكالة.
وكثيرا ما تأمر إيران بإغلاق المؤسسات التعليمية والمكاتب خلال موسم البرد، مشيرة إلى الطقس القاسي ونقص الوقود.
فرانس24/ أ ف ب","
                                        بغرض توفير الطاقة، قامت السلطات الإيرانية الأحد بإغلاق المدارس والمكاتب في 10 محافظات على الأقل فيما تجتاج البلاد موجة من البرد الشديد، وفق ما أفادت به وسائل الإعلام المحلية. وهذا القرار جاء عقب إجراء مماثل لهذه السلطات حيث أمرت السبت بإغلاق مؤسسات في أكثر من 20 محافظة بسبب الظروف الجوية القاسية. وذكرت وكالة إرنا إن أحوال الطقس أدت إلى تعطيل طرقا في 25 من محافظات البلاد البالغ عددها 31.                ",https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20250209-%D8%A8%D8%B3%D8%A8%D8%A8-%D9%85%D9%88%D8%AC%D8%A9-%D8%A8%D8%B1%D8%AF-%D8%B4%D8%AF%D9%8A%D8%AF%D8%A9-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D8%AA%D8%BA%D9%84%D9%82-%D8%A7%D9%84%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D9%88%D8%A7%D9%84%D9%85%D9%83%D8%A7%D8%AA%D8%A8-%D9%81%D9%8A-%D8%B9%D8%B4%D8%B1-%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D9%82%D9%84,https://s.france24.com/media/display/d19139e8-e6ed-11ef-8e3d-005056a90284/w:720/p:16x9/000_36XG7C8.jpg,09/02/2025 - 15:26,آسيا
8,France 24,No Author,قرد يتسبب في حدوث أزمة انقطاع التيار الكهربائي عن كامل سريلانكا,"
أدى دخول قرد إلى محطة فرعية لتوليد الكهرباء في سريلانكا إلى انقطاع التغذية بالتيار الكهربائي في أنحاء مختلفة من الجزيرة الأحد، حسبما أعلن مسؤولون حكوميون.
وبدأ الانقطاع الكهربائي عند قرابة الساعة 11,30 صباحا (06,00 بتوقيت غرينيتش)، ولم تُستأنف التغذية بالكامل بعد مرور أكثر من ثلاث ساعات.
في هذا الإطار، قال وزير الطاقة كومارا جاياكودي للصحافيين: ""دخل قرد إلى محوّل على شبكتنا مما تسبب في خلل في النظام""، مشيرا إلى أن الحادثة حصلت في ضاحية بجنوب العاصمة كولومبو.
وفيما استعيدت التغذية بالتيار الكهربائي في بعض المناطق، لم يتضح على الفور إلى متى سيستمر الانقطاع.
كما قال الوزير: ""يعمل المهندسون على محاولة استعادة الخدمة في أسرع وقت ممكن"".
واضطرت الحادثة السريلانكيين إلى تحمل انقطاع الكهرباء لأشهر في صيف 2022 مع انزلاق البلاد إلى أزمة اقتصادية خانقة.
ونفد البنزين والديزل من محطات الوقود، ما أجبر محطات الطاقة الحرارية على تقنين الكهرباء إلى 13 ساعة كل يوم.
فرانس24/ أ ف ب","
                                        قالت السلطات في سريلانكا إن الجزيرة عانت الأحد من انقطاع للتيار الكهربائي بسبب دخول قرد إلى محطة فرعية لتوليد الطاقة في ضاحية بجنوب العاصمة كولومبو. وفيما استعيدت التغذية بالكهرباء في مناطق من البلاد لم يتضح بعد إلى متى سيستمر الانقطاع.                ",https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20250209-%D9%82%D8%B1%D8%AF-%D9%8A%D8%AA%D8%B3%D8%A8%D8%A8-%D9%81%D9%8A-%D8%AD%D8%AF%D9%88%D8%AB-%D8%A3%D8%B2%D9%85%D8%A9-%D8%A7%D9%86%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%AA%D9%8A%D8%A7%D8%B1-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D9%86-%D9%83%D8%A7%D9%85%D9%84-%D8%B3%D8%B1%D9%8A%D9%84%D8%A7%D9%86%D9%83%D8%A7,https://s.france24.com/media/display/0121ff54-e6de-11ef-927b-005056a97e36/w:720/p:16x9/000_36XD7RN.jpg,09/02/2025 - 14:00,آسيا
9,France 24,No Author,"الهند في قلب ""الثورة الخضراء"" للنسيج: ريادة في القطن العضوي وسوق الأزياء المستعملة",,"
                                                تتصدر الهند قائمة الدول المنتجة للقطن العضوي عالميًا، إذ تستحوذ على واحد وخمسين في المئة من الإنتاج العالمي. كما أصبحت مركزا آسيويا جديدًا لسوق الملابس المستعملة في أوروبا. وتسعى خامس أكبر قوة اقتصادية إلى أن تكون فاعلًا رئيسا في التحول الأخضر لصناعة النسيج، وهو سوق يشهد ازدهارا متزايدا، ويتوقع أن ينمو بنسبة عشرة في المئة بحلول عام ألفين وستة وعشرين. لكن، لتحقيق التزام طويل الأمد بـ""الموضة"" المستدامة، لا بد للبلاد من تجاوز تحديات لوجستية معقدة، فضلًا عن ضمان مراقبة صارمة لشهادات المنتجات العضوية.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%81%D9%8A-%D8%B9%D9%85%D9%82-%D8%A7%D9%84%D8%AD%D8%AF%D8%AB/20250209-%D8%A7%D9%84%D9%87%D9%86%D8%AF-%D9%81%D9%8A-%D9%82%D9%84%D8%A8-%D8%A7%D9%84%D8%AB%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%AE%D8%B6%D8%B1%D8%A7%D8%A1-%D9%84%D9%84%D9%86%D8%B3%D9%8A%D8%AC-%D8%B1%D9%8A%D8%A7%D8%AF%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%B7%D9%86-%D8%A7%D9%84%D8%B9%D8%B6%D9%88%D9%8A-%D9%88%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D8%A3%D8%B2%D9%8A%D8%A7%D8%A1-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B9%D9%85%D9%84%D8%A9,https://s.france24.com/media/display/61fbfe72-e6d1-11ef-8a88-005056a90284/w:720/p:16x9/capture-32373689267a8849b8c0ad4.84366314.jpg,09/02/2025 - 11:36,آسيا
