source,title,description,url,image_url,published_at,tags
Sky News Arabic,توقف العمل في مصفاة نفط رئيسية في ليبيا جراء اشتباكات,توقفت مصفاة نفط رئيسية في غرب ليبيا عن العمل، في أعقاب اندلاع اشتباكات بين مجموعات محلية مسلّحة صباح الأحد تسبّبت بنشوب حرائق في عدّة خزانات، حسبما أعلنت المؤسسة الوطنية للنفط.,https://www.snabusiness.com/article/1762370,/v1/2024/01/14/1685112/800/450/1-1685112.jpg,2024-12-15T13:41:44Z,['ملف ليبيا']
Sky News Arabic,دخان كثيف ملوث فوق الخرطوم.. الأقمار الاصطناعية ترصد السبب,"أظهرت بيانات الأقمار الصناعية التي حللتها وكالة ""أسوشيتد برس""، السبت، أن القتال حول أكبر مصفاة نفط في السودان أشعل النيران فيها، مما أدى إلى انتشار دخان أسود كثيف ملوث فوق الخرطوم عاصمة البلاد.",https://www.skynewsarabia.com/middle-east/1771973,/v1/2025/01/25/1771972/800/450/1-1771972.png,2025-01-25T05:05:04Z,['شرق أوسط']
Sky News Arabic,سامسونغ تواجه أزمة سلامة جديدة بعد فضيحة النوت 7.. ما القصة؟,قالت لجنة سلامة المنتجات الاستهلاكية الأميركية، الجمعة، إن سامسونغ تستدعي أكثر من مليون فرن كهربائي في الولايات المتحدة بعد تقارير عن حرائق عرضية أصابت 40 شخصًا وقتلت حيوانات أليفة.,https://www.snabusiness.com/article/1734570,/v1/2024/08/09/1734569/800/450/1-1734569.jpg,2024-08-09T11:28:28Z,['أخبار الشركات']
Sky News Arabic,"كتاب صادم لضابط إسرائيلي.. يكشف خفايا ""جيش الميليشيات""","نشرت صحيفة ""هآرتس"" الإسرائيلية مقالا للكاتب رونين تال استعرض فيه كتابا من تأليف عقيد احتياط في الجيش الإسرائيلي حمل اسم ""السيف سيفتك بطريقة أو بأخرى"".",https://www.skynewsarabia.com/middle-east/1774258,/v4/2024/09/02/1739074/800/450/1-1739074.JPG,2025-02-03T08:47:11Z,['شرق أوسط']
Sky News Arabic,بعد جحيم لوس أنجلوس.. رياح شديدة البرودة تضرب أميركا,تشير توقعات الأرصاد الجوية إلى موجة أخرى من الصقيع في أجزاء من الولايات المتحدة في الأيام المقبلة، بما في ذلك رياح شديدة البرودة في السهول الواقعة شمالي البلاد، وثلوج وجليد غير معتاد في منطقة الساحل الغربي.,https://www.skynewsarabia.com/world/1770105,/v1/2025/01/18/1770104/800/450/1-1770104.jpg,2025-01-18T19:53:05Z,['مناخ']
Sky News Arabic,سبّاح يضحي بميدالياته لإنقاذ كلبه من حريق في لوس أنجلوس,فقد السباح الأولمبي الأميركي السابق غاري هول جونيور، في حريق باليساديس بلوس أنجلوس، جميع الميداليات التي أحرزها خلال مسيرته الرياضية.,https://www.skynewsarabia.com/varieties/1768132,/v1/2025/01/11/1768131/800/450/1-1768131.jpg,2025-01-10T23:42:46Z,['حوادث وكوارث']
Sky News Arabic,التغير المناخي وانتشار الفئران.. علماء يدقون ناقوس الخطر,ربط علماء ظاهرة التغير المناخي بزيادة انتشار الفئران في عدد من المدن الأميركية، ومدن أخرى خارج الولايات المتحدة.,https://www.skynewsarabia.com/technology/1773922,/v1/2025/02/02/1773921/800/450/1-1773921.jpg,2025-02-02T00:49:06Z,['بيئة']
Sky News Arabic,المخاطر المناخية تؤثّر بشكل متزايد على أسعار النفط,تحتل المخاطر المناخية مثل حرائق الغابات والأعاصير والكوارث الطبيعية، مكانة مهمة بشكل متزايد في تحديد الأسعار في أسواق النفط، في وقت لا يزال العالم يواجه صعوبة في التخلّص من الوقود الأحفوري.,https://www.snabusiness.com/article/1729660,/v1/2024/04/09/1705523/800/450/1-1705523.JPG,2024-07-17T12:07:27Z,['نفط']
Sky News Arabic,جفاف شديد يعود إلى منطقة نهر الأمازون قبل الموعد المتوقع,بدأ حوض الأمازون، الذي يمتلك خُمس المياه العذبة في العالم، موسم الجفاف الذي يشهد انخفاض منسوب العديد من أنهاره بالفعل إلى مستويات منخفضة للغاية، ما دفع الحكومات إلى توقع تدابير طارئة لمعالجة قضايا تتراوح من تعطل الملاحة إلى زيادة حرائق الغابات.,https://www.skynewsarabia.com/technology/1733309,/v1/2024/08/03/1733308/800/450/1-1733308.jpg,2024-08-03T08:45:35Z,['بيئة']
Sky News Arabic,"جحيم لوس أنجلوس مستمر.. تحذير من 4 أيام ""مخيفة""",حذر خبراء الأرصاد الجوية من عودة رياح قوية من الإثنين إلى الخميس، مما يجدد مخاطر تأجج الحرائق في لوس أنجلوس من جديد.,https://www.skynewsarabia.com/world/1770132,/v1/2025/01/18/1770024/800/450/1-1770024.jpg,2025-01-18T23:40:27Z,['حوادث وكوارث']
Sky News Arabic,أسعار النفط ترتفع وسط توقعات شح الإمدادات,ارتفعت أسعار النفط، خلال تعاملات الثلاثاء المبكرة، وسط توقعات بتقلص الإمدادات في ظل تعطل محتمل للإنتاج في كندا بسبب حرائق الغابات، فضلا عن قوة الطلب وتخفيضات طوعية في الإنتاج.,https://www.snabusiness.com/article/1713546,/v1/2024/05/02/1710622/800/450/1-1710622.JPG,2024-05-14T02:53:02Z,['نفط']
Sky News Arabic,"عالم يكشف سر نبوءة ""الأعشاب"" التي أنقذت الكثيرين بلوس أنجلوس",مع الانتشار السريع لحرائق لوس أنجلوس، انتشر اسم إدغار مكغريغور عالم المناخ الشاب الذي تنبأ بالكارثة، وساعدت تنبؤاته إلى إنقاذ مئات الأرواح، والسر في ذلك كانت معلومة بسيطة لكن لا يلحظها سوى عبقري.,https://www.skynewsarabia.com/varieties/1768919,/v1/2025/01/14/1768974/800/450/1-1768974.png,2025-01-14T17:29:54Z,['مناخ']
Sky News Arabic,جدل مشتعل.. كيف يسيطر زوجان مليارديران على ماء كاليفورنيا؟,"انتقادات حادة، طالت ""الزوجين المليارديرين""، الأغنى في لوس أنجلوس، بسبب امتلاكهما لـ60 بالمئة من موارد المياه في المدينة العملاقة، وهو ما عمق أزمة الحرائق التي تلتهم المدينة.",https://www.skynewsarabia.com/world/1768783,/v1/2025/01/14/1768782/800/450/1-1768782.png,2025-01-14T06:14:56Z,['أخبار أميركا']
Sky News Arabic,"""كارثة جديدة"" في شمال كاليفورنيا.. وأمر عاجل بالإخلاء",صدرت أوامر لمئات الأشخاص بالإخلاء في شمال ولاية كاليفورنيا بالولايات المتحدة إثر اندلاع حريق ضخم في أحد أكبر مصانع تخزين البطاريات في العالم عصر الخميس.,https://www.skynewsarabia.com/world/1769738,/v1/2025/01/10/1767904/800/450/1-1767904.jpg,2025-01-17T08:57:37Z,['أخبار أميركا']
Sky News Arabic,"بـ ""أجهزة تدليك"".. شكوك غربية في ""مخطط روسي"" لإشعال طائرات","قال مسؤولون أمنيون غربيون إنهم يعتقدون أن جهازين حارقين، تم شحنهما عبر شركة ""DHL""، كانا جزءًا من عملية روسية سرية تهدف إلى إشعال حرائق على متن طائرات شحن أو ركاب متجهة إلى الولايات المتحدة وكندا، في إطار حملة تخريبية تقودها موسكو ضد واشنطن وحلفائها، بحسب تقرير لصحيفة وول ستريت جورنال.",https://www.skynewsarabia.com/world/1752622,/v1/2024/11/04/1752623/800/450/1-1752623.jpg,2024-11-04T18:16:17Z,['أخبار روسيا']
Sky News Arabic,رياح قوية تؤجج حريقين هائلين في لوس أنجلوس,واجه رجال الإطفاء في لوس أنجلوس بولاية كاليفورنيا الأميركية رياحا قوية وجافة مما أدى إلى تأجيج حريقين هائلين.,https://www.skynewsarabia.com/world/1769365,/v1/2025/01/16/1769364/800/450/1-1769364.jpg,2025-01-16T02:32:12Z,['أخبار أميركا']
Sky News Arabic,"أوكرانيا تهاجم كورسك الروسية بـ""صواريخ أميركية""",تعرضت بلدة لجوف الصغيرة في منطقة كورسك الروسية الحدودية لقصف صاروخي من الجيش الأوكراني للمرة الثانية خلال أيام قليلة، وفقا لما أعلنته السلطات يوم الاثنين.,https://www.skynewsarabia.com/world/1765597,/v1/2024/12/31/1765596/800/450/1-1765596.jpg,2024-12-30T22:42:40Z,['أزمة أوكرانيا']
Sky News Arabic,"لوس أنجلوس.. أجهزة الإطفاء تحقق في سبب ""غير متوقع""",كشفت شركة ساذرن كاليفورنيا إديسون، الجمعة، أن أجهزة الإطفاء تحقق فيما إذا كان حريق اندلع بإحدى ضواحي لوس أنجلوس، والذي لا يزال مشتعلا، راجع إلى مشكلة في البنية التحتية للمرافق التابعة للشركة، مضيفة أنه لم يتم البت في الأمر بعد.,https://www.skynewsarabia.com/world/1768188,/v1/2025/01/11/1768187/800/450/1-1768187.jpg,2025-01-11T10:06:00Z,['حوادث وكوارث']
Sky News Arabic,"المنزل ""المعجزة"".. كشف سبب نجاته من جحيم لوس أنجلوس","أثار المنزل ""المعجزة"" الذي لم يصب بالأذى رغم الحرائق التي التهمت أحياء بأكملها في لوس أنجلوس، دهشة الكثر وسط تساؤلات عن الأسباب التي أبقته سليما في محيط من الخراب والدمار.",https://www.skynewsarabia.com/varieties/1769147,/v2/2025/01/11/1768193/800/450/1-1768193.jpg,2025-01-15T08:41:14Z,['أخبار العالم']
Sky News Arabic,"جحيم لوس أنجلوس.. ""الأعاصير النارية"" تنذر بكارثة غير مسبوقة",في الوقت الذي يواجه فيه رجال الإطفاء في ولاية كاليفورنيا الأميركية تحديات كبيرة بالفعل، قد يتعين عليهم أيضا التعامل مع الأعاصير النارية، وهي ظاهرة نادرة ولكن خطيرة.,https://www.skynewsarabia.com/world/1769081,/v1/2025/01/13/1768496/800/450/1-1768496.jpg,2025-01-15T06:14:27Z,['أخبار أميركا']
Sky News Arabic,"""تحذير"" إلى بوتين بعد تقرير استخباراتي أميركي","أرسل مساعدون للرئيس الأميركي جو بايدن ""تحذيرا"" للرئيس الروسي فلاديمير بوتين، من نقل الحرب في أوكرانيا إلى الولايات المتحدة، وفقا لتقرير نشرته صحيفة نيويورك تايمز.",https://www.skynewsarabia.com/world/1768772,/v1/2024/12/16/1762551/800/450/1-1762551.jpg,2025-01-14T05:01:29Z,['أخبار روسيا']
Sky News Arabic,الكونغرس الأميركي يكشف عن تشريع مؤقت لتجنب الإغلاق الحكومي,كشف كبار الجمهوريين والديمقراطيين في الكونغرس الأميركي عن تشريع مؤقت للحفاظ على تمويل الوكالات الاتحادية حتى 14 مارس، وهو ما من شأنه أن يجنب الحكومة إغلاقا جزئيا يبدأ يوم السبت في حال عدم إقرار التشريع.,https://www.snabusiness.com/article/1762983,/v2/2020/12/03/1397720/800/450/1-1397720.jpg,2024-12-18T06:21:59Z,['اقتصاد']
Sky News Arabic,النيران تلتهم غابات تركيا.. ورجال الإطفاء يكافحون لإخمادها,قال وزير الزراعة والغابات التركي إبراهيم يومقلي، الجمعة، إن رجال الإطفاء الذين يعملون على احتواء أربعة حرائق غابات منفصلة في البلاد تمكنوا من احتواء أحدها والسيطرة على آخر بشكل جزئي، مضيفا أن الجهود تتواصل للتعامل مع الحريقين المتبقيين.,https://www.skynewsarabia.com/world/1735958,/v1/2023/11/25/1672895/800/450/1-1672895.jpg,2024-08-16T07:51:28Z,['أخبار تركيا']
Sky News Arabic,فيديو: النيران تلتهم خيام النازحين في المواصي بغزة,أفادت وسائل إعلام فلسطينية بمقتل 7 فلسطينيين وإصابة العشرات بجروح، مساء الأحد، جرّاء استهداف الطيران الإسرائيلي لعدد من خيام النازحين بالقرب من المستشفى البريطاني في منطقة المواصي غرب خان يونس جنوب قطاع غزة,https://www.skynewsarabia.com/middle-east/1763966,/v1/2024/12/23/1763964/800/450/1-1763964.JPG,2024-12-22T22:26:24Z,['أخبار فلسطين']
